,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,0.81,1.43,,,0.93,1.06,1.76,1.52,,,0.99,1.04,2.11,,1.05,0.7,0.72,0.83,0.54,1.14,1.07,,1.04,0.93,0.73
TEMP_0_0,1.65,0.76,,,1.35,0.82,3.91,0.73,,,1.63,1.05,0.83,,1.1,0.82,1.05,1.11,0.63,0.8,0.58,0.5,1.09,1.1,0.8
TEMP_1_1,,,0.56,,4.36,,0.62,,,,1.16,2.53,,0.38,1.44,1.06,1.08,1.12,0.83,1.7,,,1.4,1.3,1.28
TEMP_0_2,,,,0.36,,,,,0.35,0.29,,,0.89,,2.23,1.6,2.01,2.78,1.12,1.59,,,2.31,2.07,1.75
PRES_0_0,0.88,1.04,2.47,,0.82,1.51,,3.61,,,0.97,1.02,1.56,,1.0,0.73,0.78,0.87,0.57,0.94,0.87,0.61,1.05,0.9,0.65
PRES_1_0,1.47,1.09,,,2.33,0.62,,,,,1.93,1.21,1.26,,1.38,0.92,1.14,1.24,0.66,1.09,0.8,,1.27,1.42,1.09
PRES_0_1,2.89,4.25,0.59,,,,0.58,,,,1.12,2.6,,0.39,1.33,1.07,1.09,1.19,0.8,1.73,0.93,,1.35,1.27,1.28
PRES_1_1,2.13,1.09,,,5.63,,,0.54,,,4.5,1.45,0.93,,1.74,0.97,1.04,1.21,0.8,1.14,1.18,,1.43,1.56,1.46
PRES_1_3,,,,0.38,,,,,0.34,,,,0.94,,2.56,1.59,2.01,2.68,1.14,1.53,,,2.27,2.32,1.92
PRES_1_2,,,,0.69,,,,,,0.19,,,1.65,,3.06,,,,,,,,,3.03,
DEWP_1_0,1.02,1.41,0.76,,1.1,1.24,0.76,3.73,,,0.79,1.94,,,0.96,0.77,0.86,0.98,0.57,1.13,,,1.09,0.92,0.72
DEWP_0_0,1.06,0.94,1.94,,1.12,0.88,2.11,0.9,,,1.97,0.78,,,1.16,0.72,0.77,0.86,0.57,1.13,0.68,0.49,1.0,1.06,0.93
DEWP_0_1,2.61,1.14,,0.49,2.19,1.26,,0.86,0.48,0.41,,,0.57,,1.67,1.03,1.23,1.24,0.77,0.78,0.83,,1.49,1.41,0.9
DEWP_1_1,,,1.44,,,,1.53,,,,,,,0.22,3.24,2.55,2.08,,2.2,,,,3.19,3.41,
WSPM_0_1,1.11,1.05,1.02,0.86,1.16,0.98,1.01,1.25,0.92,0.53,0.99,1.23,1.21,0.62,0.79,1.36,1.07,1.68,0.7,,,,1.13,0.92,0.73
WSPM_0_0,1.44,1.38,1.45,1.24,1.58,1.34,1.51,1.23,1.15,,1.51,1.37,1.5,,2.21,0.64,1.09,1.44,0.51,2.94,,,1.3,1.4,1.26
WSPM_1_1,1.51,1.63,1.49,1.48,1.68,1.5,1.52,1.31,1.38,,1.77,1.44,1.63,,2.23,0.78,0.58,5.69,0.78,2.86,,,1.4,1.45,1.28
WSPM_1_2,1.57,1.86,1.39,1.71,1.68,1.65,1.54,1.45,1.67,,2.03,1.49,1.55,,2.6,1.45,2.32,0.54,2.23,,,,1.41,1.61,1.6
WSPM_1_0,1.71,1.77,1.77,1.36,1.87,1.68,1.78,1.68,1.28,,1.84,1.84,1.7,,1.86,0.86,1.81,2.52,0.63,2.76,,,1.63,1.69,1.54
WSPM_0_2,2.33,1.5,2.48,1.22,2.0,1.59,2.65,1.44,1.1,,2.33,2.18,1.12,,,2.97,3.13,,1.76,0.46,,,2.22,1.71,0.82
WSPM_1_3,4.82,2.18,,,4.77,2.04,2.56,2.14,,,,2.39,2.21,,,,,,,,0.29,,2.32,3.51,
WSPM_0_3,4.51,2.49,,,3.03,,,,,,,2.64,,,,,,,,,,0.22,,3.43,1.37
PM10_0,1.11,1.0,0.99,0.87,1.2,0.92,1.0,0.91,0.81,,1.18,1.0,1.03,0.63,1.09,0.66,0.8,0.81,0.52,1.22,0.67,,0.82,1.26,2.08
PM10_1,1.06,1.09,1.04,0.86,1.11,1.06,1.06,1.13,0.91,0.52,1.03,1.18,1.1,0.91,1.0,0.8,0.78,1.03,0.61,0.89,0.85,0.64,1.41,0.8,0.77
PM10_2,1.76,1.56,2.22,1.91,1.69,1.6,2.27,2.13,2.05,,1.75,2.03,1.49,,1.69,1.5,1.49,1.62,1.0,0.89,,0.68,2.8,1.66,0.52
