,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.39,0.22,0.98,0.57,0.29,0.83,0.68,0.61,0.58,0.57,0.5,0.49,0.38,0.97,0.59
PRES_0_1,1.0,1.0,,,0.98,0.57,0.3,0.83,0.68,0.61,0.59,0.57,0.51,0.49,0.38,0.97,0.59
PRES_0_0,2.64,,1.02,,2.6,,,2.13,1.86,1.5,,1.48,,,0.94,2.56,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.38,0.22,1.0,,,0.84,0.69,0.62,0.6,0.58,0.52,0.5,0.38,0.99,0.6
DEWP_1_0,1.75,1.74,,,,1.0,0.34,1.45,1.4,1.07,,1.01,0.86,,,1.7,1.05
DEWP_0_0,3.68,3.37,,,,2.59,1.09,2.71,,1.65,,1.44,1.87,,,3.58,
WSPM_0_1,1.21,1.2,0.47,,1.18,0.68,0.29,1.0,0.83,0.76,,0.72,0.53,,0.34,1.18,0.7
WSPM_0_2,1.47,1.46,0.54,0.32,1.44,0.73,,1.16,1.0,0.91,,0.86,,,,1.42,0.82
WSPM_0_0,1.64,1.63,,,1.6,0.93,,1.31,0.95,1.0,0.96,0.92,1.04,,0.62,1.59,0.97
WSPM_0_3,1.71,1.7,,,1.68,,,,,1.13,1.0,0.94,,,,1.67,1.02
WSPM_1_0,1.75,1.74,,,1.71,0.99,,1.41,1.22,1.09,0.98,1.0,1.19,,,1.69,1.15
WSPM_1_1,1.98,1.97,,,1.93,1.19,0.67,1.87,,0.99,,0.88,1.0,,,1.91,1.32
WSPM_0_4,2.05,2.04,,,2.01,,,,,,,1.43,,1.0,,1.98,1.22
WSPM_1_2,2.69,2.62,,,2.66,,,2.9,,1.58,,1.57,,,1.02,2.61,
PM10_0,1.03,1.03,0.4,0.22,1.01,0.59,0.3,0.85,0.7,0.64,0.6,0.6,0.53,0.5,0.39,1.0,0.6
PM10_1,1.7,1.7,,,1.67,0.94,,1.42,1.2,0.89,0.99,0.82,0.73,0.83,,1.65,1.0
