,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,0.85,0.96,,,,1.45,0.9,1.01,0.85,1.01,,,1.45,0.95,0.83,1.15,1.26,1.39,1.45,0.92,0.87,1.05,0.86,0.64,0.55,0.63,0.65,0.86,1.45,1.08,0.85
TEMP_0_0,0.95,0.85,1.64,,,,0.97,0.88,0.96,0.91,,,,1.04,0.86,1.56,0.86,0.8,,0.92,0.96,0.85,1.11,0.66,0.57,0.65,0.72,0.65,,1.08,0.84
TEMP_1_1,,,0.76,,,,0.95,,0.9,,0.72,,,1.27,1.68,0.8,,,,1.01,0.91,1.04,1.13,0.66,0.56,0.73,0.87,,,1.16,1.04
TEMP_0_2,,,,0.67,,,1.3,,,0.99,,0.66,,1.35,1.04,,,0.8,,1.65,1.19,1.3,0.86,0.78,0.7,0.75,0.87,,,1.35,1.1
TEMP_0_1,,,,,0.66,,2.06,1.57,1.78,0.96,,0.77,,3.88,,,0.78,,,1.48,1.22,1.03,,0.9,0.84,0.85,0.94,0.53,,1.44,1.07
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,0.94,1.07,0.94,1.51,0.91,1.19,0.83,1.34,0.9,1.06,,,1.19,1.02,0.98,0.94,1.16,1.33,1.19,1.02,0.89,1.04,0.9,0.6,0.53,0.63,0.64,0.59,1.19,1.11,0.85
PRES_1_1,1.02,0.9,,,0.98,,1.22,0.82,1.42,,,,,1.1,0.89,,0.87,0.8,,0.93,0.94,0.89,1.24,0.67,0.58,0.66,0.77,0.7,,1.12,0.88
PRES_1_0,0.94,0.98,1.16,,,,0.93,1.36,0.78,,,,,1.03,0.97,1.13,1.12,,,0.97,1.03,0.99,0.91,0.82,0.64,0.85,0.79,1.31,,1.16,0.99
PRES_1_2,1.17,1.16,,0.79,0.78,,2.01,,,0.73,,,,1.19,0.95,,0.91,,,1.14,1.18,1.12,0.98,0.76,0.69,0.7,0.8,0.7,,1.28,0.99
PRES_0_1,,,0.87,,,,,,,,0.64,,,,,0.86,,,,1.09,1.01,,,0.7,0.62,0.77,,,,1.32,1.08
PRES_1_3,,,,0.73,0.88,,2.48,,,,,0.64,,1.7,1.11,,1.05,0.79,,1.64,1.09,1.1,1.04,0.82,0.71,0.77,0.93,0.48,,1.35,1.14
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.86,0.93,1.14,0.87,0.96,0.98,0.85,0.96,0.83,0.95,,0.9,0.98,0.88,0.92,,,,0.98,0.88,0.91,0.88,0.82,0.61,0.53,0.58,0.55,,0.98,1.05,0.8
DEWP_0_0,1.01,0.92,2.4,0.94,,,1.18,1.07,1.02,0.86,,1.03,,1.11,0.78,,,,,1.07,0.96,1.04,1.07,0.74,0.62,0.74,0.77,0.73,,1.16,0.99
DEWP_1_1,1.19,1.28,0.81,,,,0.96,,0.92,,0.72,,,,,0.76,,,,1.04,0.88,1.36,1.13,0.66,0.56,0.7,1.01,,,1.17,0.97
DEWP_0_2,1.65,1.21,,,0.67,,1.4,1.08,1.28,1.0,,0.8,,,,,0.71,,,1.19,1.21,0.95,,0.81,0.7,0.77,0.9,0.55,,1.31,1.01
DEWP_0_1,1.5,1.11,,0.8,,,1.27,1.05,,,,0.75,,3.59,1.89,,,0.69,,1.19,1.11,1.13,1.01,0.71,0.66,0.71,0.74,0.66,,1.29,1.07
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,0.98,1.01,1.09,0.94,1.16,,0.9,1.01,0.98,0.95,0.87,0.87,,1.02,1.04,1.05,0.93,0.92,,0.81,1.37,0.82,1.9,0.62,0.64,0.53,0.46,,,1.13,0.84
WSPM_0_1,1.03,0.99,0.93,1.04,1.32,,1.01,1.08,0.93,1.12,0.88,0.96,,1.12,0.87,0.91,1.29,0.98,,0.82,0.8,1.15,1.52,0.75,0.52,0.79,0.94,0.82,,1.12,0.94
WSPM_0_3,1.0,1.1,1.23,1.12,0.73,,0.95,1.04,1.02,1.08,,0.9,,1.09,1.08,1.25,0.88,1.03,,2.62,1.29,0.78,,0.75,0.72,0.81,,,,1.2,0.84
WSPM_0_4,1.07,1.22,1.13,0.81,,,0.98,1.25,0.96,1.13,,0.8,,1.08,1.13,1.25,,1.07,,1.73,1.11,,0.73,0.89,0.84,0.94,,,,1.28,0.88
WSPM_0_0,1.33,1.2,1.19,1.11,0.99,,1.55,1.36,1.09,1.02,1.03,1.23,,1.45,1.1,1.23,1.02,1.16,,1.54,1.06,1.2,1.22,0.68,0.61,0.85,0.79,,,1.33,1.68
WSPM_1_0,1.29,1.2,1.22,1.21,1.17,,1.38,1.37,1.2,1.15,1.13,1.28,,1.45,1.09,1.22,1.18,1.35,,1.23,1.11,1.45,1.48,0.78,0.67,1.07,0.97,,,1.38,1.37
WSPM_1_1,1.27,1.14,1.3,1.3,1.4,,1.77,1.3,1.27,1.19,1.03,1.18,,1.71,1.07,1.39,1.27,1.08,,1.96,0.85,1.45,1.48,0.72,0.65,0.64,1.24,,,1.43,1.76
