,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,8.32,,,,,32.16,199.61,3758.26,8417.62,73578.51,,3.57,202.59,3153469889.24,123212046260.52,,656.96,815.63,2307.11,28876.35,23074.38,158537.51,385786.25,195055.76,1074011.92,,12.14,304.56,15291.26
TEMP_0_1,,2255.29,,,,13.73,276.78,12906.96,15162.63,104302.64,,4.35,,,,,570.25,809.39,3914.02,34071.97,32395.39,205414.83,434631.53,,497098.14,,11.99,370.81,20421.03
TEMP_0_0,,,25827.24,7504560323721.31,4.610801862894371e+16,23.92,,9989.93,32183.46,195493.01,4.610801862894371e+16,,1086.86,,,4.610801862894371e+16,402.89,1160.44,1807.08,35813.03,18778.12,248289.63,490851.98,,935019.33,4.610801862894371e+16,11.68,326.23,14867.9
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,6.51,251.64,2973.31,,,59.37,,,1594.2,23364.56,,3.45,234.75,,,,697.13,846.96,2168.87,33551.7,26021.47,208441.89,438534.93,81908.65,612599.85,,13.12,291.66,11299.27
PRES_1_3,5.76,692.86,,,,,686.8,,,6353.64,,3.73,170.65,2723078745.83,125015121919.22,,404.42,682.28,3140.29,27455.85,24070.58,157222.99,375353.44,337972.9,1528682.77,,10.55,328.6,22769.94
PRES_1_1,2.98,927.88,5914.74,20147928576033.32,,,14.0,51616.89,6099.16,75821.23,,2.1,561.16,,266632038371.43,,771.56,646.9,2224.31,34071.03,36847.96,121302.62,367593.54,,1099231.03,,12.73,297.33,15038.39
PRES_1_0,3.52,508.55,9299.24,,2.879204697889857e+16,2.28,,1961.69,78496.08,328277.03,2.879204697889857e+16,2.8,391.33,,,2.879204697889857e+16,430.79,1508.08,3254.07,33599.59,12725.84,207955.69,500723.36,,1091584.33,2.879204697889857e+16,12.35,377.33,15545.68
PRES_0_0,4.43,435.37,7263.81,,,9.23,19.83,3544.1,48232.79,590604.26,,3.0,308.14,12744733074.7,228232070011.32,,809.43,984.22,2712.96,17573.58,13685.22,142648.78,292394.51,,,,9.55,442.66,26265.27
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,5.94,645.9,,,,28.71,216.78,4488.56,11088.21,85383.82,,4.35,5.05,672543660.84,34779117833.65,,681.29,805.49,2955.67,30268.05,21690.69,181663.55,409916.47,114329.07,686912.55,,12.05,334.78,17448.44
DEWP_0_1,3.86,24.01,14069.29,9292254918984.08,2.4467834666673504e+16,23.2,108.92,12969.82,17329.74,116562.89,2.4467834666673504e+16,0.09,1096.46,,105403797039.02,2.4467834666673504e+16,333.88,1047.9,1568.52,33698.51,33756.93,181428.95,421591.24,160480.94,1704272.05,2.4467834666673504e+16,12.24,277.53,12807.24
DEWP_0_0,8.33,,,,,,,,53512.89,482915.73,,,,180951608303.15,3379102592112.0,,1820.05,,,,,,,,,,7.66,475.33,
