,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,0.92,1.0,,,0.99,0.88,1.02,0.98,,,0.98,0.99,1.19,,0.97,0.7,0.7,0.74,0.57,0.81,0.59,0.66,1.12,0.83
TEMP_0_0,1.16,0.9,,,1.15,0.83,1.55,0.77,,,1.2,1.02,0.83,,1.04,0.78,0.79,0.83,0.62,0.72,0.51,0.43,1.2,0.93
TEMP_1_1,,,0.81,,2.28,2.23,0.86,,,,1.26,1.69,,0.42,1.33,0.99,0.94,0.99,0.81,1.12,,,1.53,1.2
TEMP_0_2,,,,0.69,,,,,0.68,0.47,,,1.22,,2.0,1.45,1.52,1.78,1.1,1.27,,,2.29,1.61
PRES_0_0,0.93,0.92,1.16,,0.93,0.92,,1.2,,,0.95,0.97,1.05,,0.96,0.7,0.7,0.74,0.58,0.76,0.48,0.49,1.1,0.79
PRES_1_0,1.28,1.15,,,1.49,0.84,,,,,1.49,1.18,1.09,,1.23,0.9,0.94,0.99,0.68,0.85,0.68,,1.42,1.2
PRES_0_1,1.88,1.84,0.81,,,,0.82,,,,1.23,1.64,,0.41,1.26,0.99,0.93,0.99,0.79,1.11,0.69,,1.49,1.16
PRES_1_1,1.57,1.22,,,2.08,,,0.8,,,1.78,1.4,1.01,,1.39,0.98,0.96,1.04,0.79,0.97,0.94,,1.58,1.29
PRES_1_3,,,,0.72,,,,,0.67,,,,1.28,,2.16,1.49,1.65,1.81,1.16,1.37,,,2.37,1.76
PRES_1_2,,,,1.23,,,,,,0.55,,,2.12,,3.13,,,,1.65,,,,4.32,2.26
DEWP_1_0,1.01,1.07,0.77,,1.07,0.92,0.78,1.54,,,0.92,1.18,1.7,,0.98,0.73,0.71,0.74,0.59,0.8,,,1.14,0.85
DEWP_0_0,1.02,0.93,1.08,,1.06,0.85,1.16,0.81,,,1.2,0.91,,,1.0,0.73,0.73,0.8,0.58,0.83,0.58,0.42,1.14,0.9
DEWP_0_1,1.6,1.19,,0.64,1.56,1.11,,0.94,0.61,0.47,,,0.81,,1.4,0.96,1.01,1.02,0.76,0.81,0.67,,1.55,1.12
DEWP_1_1,,,1.89,,,,1.97,,,,,,,0.57,2.91,2.01,1.72,,2.06,,,,3.5,
WSPM_0_1,1.02,0.99,0.85,0.67,1.07,0.87,0.87,0.96,0.68,0.42,0.98,1.07,0.95,0.41,0.92,0.82,0.72,0.9,0.61,0.64,,,1.16,0.84
WSPM_0_0,1.33,1.23,1.15,0.88,1.43,1.13,1.16,1.02,0.84,,1.35,1.26,1.17,,1.42,0.85,0.99,1.0,0.69,1.39,1.04,,1.46,1.12
WSPM_1_1,1.47,1.36,1.21,0.96,1.53,1.2,1.24,1.14,0.85,,1.49,1.36,1.23,,1.44,0.89,0.82,1.54,0.7,1.34,,,1.58,1.28
WSPM_1_2,1.5,1.44,1.19,0.9,1.55,1.27,1.27,1.22,1.03,,1.7,1.46,1.23,,1.51,1.11,1.01,0.8,1.2,1.77,,,1.58,1.35
WSPM_1_0,1.58,1.47,1.37,1.02,1.68,1.42,1.37,1.28,0.96,,1.58,1.6,1.36,,1.55,1.07,1.37,1.42,0.83,1.52,,,1.76,1.31
WSPM_0_2,1.83,1.5,1.78,1.05,1.72,1.39,1.85,1.26,0.93,,1.81,1.69,1.21,,4.91,1.31,1.56,1.33,1.16,0.76,,,1.95,1.35
WSPM_1_3,3.4,2.22,,,3.75,1.8,2.12,1.59,,,,2.33,1.98,,,1.78,,,,,0.63,,2.78,2.91
WSPM_0_3,2.97,2.64,,,2.74,,,,,,,2.76,,,,,,,,,,0.58,,2.13
PM10_0,0.9,0.84,0.74,0.58,0.95,0.75,0.75,0.73,0.55,0.37,0.9,0.88,0.77,0.41,0.85,0.63,0.63,0.68,0.5,0.71,0.48,,0.97,0.81
PM10_1,1.15,1.11,1.08,0.78,1.2,1.01,1.13,1.01,0.81,0.54,1.17,1.2,1.02,,1.16,0.83,0.8,0.83,0.69,0.73,,0.5,1.41,0.87
