,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.65,0.67,,,,0.8900000000000001,1.04,0.45,0.98,0.2,,,0.8900000000000001,1.2,0.5,0.25,0.03,0.03,0.8900000000000001,0.71,0.64,0.42,0.55,0.77,1.37,0.49,0.23,0.11,0.8900000000000001,0.93,1.15,0.71
TEMP_0_0,0.73,1.68,0.01,,,,0.46,1.13,0.5,0.34,,,,0.69,1.06,0.01,0.39,0.55,,0.66,0.7,0.55,0.15,0.96,1.37,0.67,0.59,0.17,,1.02,1.07,0.57
TEMP_1_1,,,2.33,,,,1.05,,0.6,,1.44,,,0.35,0.05,1.82,,,,0.56,1.15,0.25,0.22,1.02,2.06,0.43,0.09,,,1.27,0.96,0.06
TEMP_0_2,,,,3.72,,,0.08,,,1.1,,2.59,,0.59,0.68,,,1.42,,0.24,0.43,0.28,1.34,0.84,1.16,0.48,0.43,,,0.92,0.88,0.81
TEMP_0_1,,,,,4.19,,0.19,0.41,0.19,1.58,,0.87,,0.08,,,3.06,,,0.21,0.13,1.55,,0.96,1.16,0.55,0.29,0.93,,0.9,1.16,1.46
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.0,0.51,0.73,0.02,0.03,1.1099999999999999,1.85,0.12,0.63,0.02,,,1.1099999999999999,0.98,0.31,0.66,0.06,0.06,1.1099999999999999,0.63,0.77,0.45,0.47,0.73,1.49,0.32,0.25,0.07,1.1099999999999999,0.95,1.18,0.66
PRES_1_1,0.79,1.41,,,0.16,,0.16,1.88,0.05,,,,,0.67,0.73,,0.54,0.65,,0.64,0.73,0.61,0.17,0.91,1.42,0.64,0.48,0.18,,0.98,1.07,0.7
PRES_1_0,1.21,0.85,0.42,,,,0.75,0.03,2.18,,,,,1.05,0.74,0.43,0.1,,,0.5,0.69,0.46,0.54,0.97,1.44,0.52,0.34,0.13,,1.13,1.07,0.32
PRES_1_2,0.72,0.84,,0.8,1.08,,0.06,,,2.88,,,,0.7,1.17,,0.77,,,0.61,0.43,0.45,0.41,1.25,1.51,0.82,0.46,0.32,,1.01,1.05,0.63
PRES_0_1,,,2.29,,,,,,,,3.91,,,,,2.36,,,,0.94,1.11,,,1.0,2.04,0.58,,,,1.22,0.87,0.07
PRES_1_3,,,,2.95,0.88,,0.09,,,,,4.21,,0.23,0.41,,0.66,1.83,,0.3,0.56,0.73,0.75,0.57,0.95,0.64,0.34,0.24,,0.97,0.75,1.23
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,1.25,0.8,0.24,0.2,0.01,0.7,0.97,0.49,0.84,0.29,,0.05,0.7,1.48,0.38,,,,0.7,0.71,0.5,0.57,0.63,0.55,1.18,0.26,0.08,,0.7,0.86,1.23,0.8
DEWP_0_0,0.93,1.38,0.02,0.34,,,0.41,0.75,0.55,0.74,,0.17,,0.51,2.23,,,,,0.37,1.07,0.31,0.13,1.49,1.92,1.12,0.84,0.24,,1.23,0.76,0.21
DEWP_1_1,0.33,0.03,1.89,,,,0.98,,0.69,,1.52,,,,,2.4,,,,0.6,1.27,0.12,0.23,1.0,2.08,0.38,0.1,,,1.19,1.11,0.12
DEWP_0_2,0.17,0.8,,,2.29,,0.3,0.97,0.34,0.84,,0.49,,,,,3.14,,,0.58,0.2,1.11,,0.99,1.21,0.71,0.38,0.52,,0.98,1.06,1.16
DEWP_0_1,0.22,1.13,,1.28,,,0.18,1.2,,,,1.45,,,,,,3.32,,0.59,0.47,0.47,0.36,1.08,1.07,0.87,1.01,0.56,,1.11,0.84,0.67
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.0,0.91,0.39,0.09,0.08,,0.71,0.63,0.63,0.35,0.37,0.09,,0.88,0.45,0.39,0.3,0.27,,1.99,0.3,0.02,,0.26,1.12,0.16,0.03,,,1.02,1.19,0.42
WSPM_0_1,0.72,0.71,0.76,0.18,0.04,,0.71,0.54,0.54,0.19,0.48,0.2,,0.58,0.8,0.83,0.08,0.17,,0.14,1.99,0.06,0.05,1.21,2.41,0.69,0.28,,,1.22,0.87,0.17
WSPM_0_3,0.7,0.92,0.25,0.15,0.74,,0.67,0.74,0.62,0.33,,0.34,,0.84,0.41,0.1,0.75,0.28,,0.06,0.1,2.3,,0.28,0.6,0.23,,,,0.72,1.28,1.29
WSPM_0_4,1.04,0.54,0.24,0.98,,,0.91,0.24,0.89,0.44,,0.45,,1.15,0.27,0.25,,0.31,,,0.06,,2.8,0.16,0.39,0.09,,,,0.71,1.42,1.09
WSPM_0_0,0.74,0.76,0.54,0.3,0.29,,0.71,0.45,0.61,0.6,0.42,0.15,,0.59,0.88,0.47,0.37,0.31,,0.29,0.68,0.17,0.07,3.16,3.43,1.19,0.64,,,1.23,0.75,0.32
WSPM_1_0,0.86,0.74,0.63,0.24,0.2,,0.77,0.48,0.74,0.39,0.39,0.14,,0.65,0.8,0.63,0.25,0.17,,0.29,1.03,0.21,0.13,2.03,2.65,0.59,0.3,,,1.17,0.83,0.34
WSPM_1_1,0.77,1.04,0.31,0.19,0.28,,0.62,0.68,0.47,0.54,0.23,0.24,,0.65,0.97,0.31,0.45,0.52,,0.54,0.63,0.27,0.12,1.94,1.46,4.11,,,,1.3,0.85,
WSPM_1_2,0.72,1.07,0.13,0.35,0.22,,0.8,0.72,0.61,0.43,,0.27,,0.51,1.09,0.13,0.37,0.92,,,0.53,,,1.75,1.08,0.16,4.8,,,1.26,0.74,
WSPM_1_3,0.47,0.84,,,1.52,,0.57,0.63,0.5,0.69,,0.52,,,0.69,,1.14,1.12,,,,,,1.15,,,,8.18,,1.33,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.75,0.79,0.54,0.27,0.19,,0.63,0.55,0.67,0.36,0.32,0.25,,0.66,0.75,0.47,0.3,0.36,,0.6,0.89,0.29,0.2,1.29,1.87,0.8,0.59,0.25,,1.31,0.72,0.17
PM10_1,0.95,0.82,0.35,0.22,0.23,,0.82,0.58,0.6,0.36,0.23,0.11,,0.89,0.47,0.45,0.24,0.19,,0.68,0.56,0.63,0.56,0.47,1.09,0.26,0.03,,,0.78,1.64,0.64
PM10_2,0.92,0.89,,0.43,0.59,,0.95,0.65,0.5,0.32,,0.64,,0.98,0.18,,0.71,0.36,,0.36,0.07,1.21,0.84,,0.31,,,,,0.11,1.19,3.14
