,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,0.92,0.97,,,0.99,0.87,1.0,0.97,,,0.97,0.98,1.19,,0.96,0.69,0.69,0.73,0.55,0.81,0.56,0.6,1.11,0.82
TEMP_0_0,1.13,0.9,,,1.14,0.82,1.55,0.77,,,1.19,1.01,0.84,,1.04,0.76,0.76,0.82,0.6,0.71,0.52,0.44,1.2,0.92
TEMP_1_1,,5.1,0.81,,2.29,2.17,0.86,,,,1.26,1.68,,0.41,1.31,0.98,0.92,0.98,0.79,1.12,,,1.53,1.18
TEMP_0_2,,,,0.69,,,,,0.68,0.47,,,1.22,,1.99,1.41,1.49,1.76,1.07,1.23,,,2.28,1.59
PRES_0_0,0.93,0.91,1.14,,0.93,0.9,,1.15,,,0.94,0.96,1.05,,0.96,0.69,0.68,0.72,0.56,0.77,0.46,0.49,1.1,0.78
PRES_1_0,1.27,1.13,,,1.45,0.83,,,,,1.47,1.18,1.09,,1.21,0.89,0.93,1.0,0.67,0.83,0.68,,1.42,1.18
PRES_0_1,1.89,1.81,0.8,,,,0.82,,,,1.23,1.61,,0.41,1.25,0.97,0.9,0.97,0.77,1.11,0.68,,1.48,1.14
PRES_1_1,1.55,1.21,,,2.01,,,0.8,,,1.73,1.4,1.01,,1.36,0.97,0.94,1.03,0.77,0.96,0.96,,1.58,1.28
PRES_1_3,,,,0.72,,,,,0.67,,,,1.28,,2.15,1.46,1.64,1.78,1.13,1.36,,,2.37,1.74
PRES_1_2,,,,1.23,,,,,,0.55,,,2.12,,3.13,2.76,,,1.56,,,,4.24,2.16
DEWP_1_0,1.01,1.07,0.76,,1.07,0.91,0.77,1.54,,,0.92,1.15,1.7,,0.97,0.72,0.69,0.72,0.58,0.8,,,1.14,0.84
DEWP_0_0,1.02,0.92,1.06,,1.06,0.84,1.15,0.8,,,1.18,0.91,,,0.98,0.72,0.72,0.79,0.57,0.81,0.58,0.42,1.14,0.88
DEWP_0_1,1.56,1.19,,0.64,1.53,1.1,,0.93,0.61,0.48,,,0.81,,1.39,0.94,0.99,1.01,0.74,0.8,0.66,,1.55,1.11
DEWP_1_1,,,1.89,,,,1.97,,,,,,,0.57,2.88,1.93,1.66,,1.97,,,,3.5,
WSPM_0_1,1.01,0.98,0.85,0.66,1.06,0.87,0.87,0.96,0.68,0.42,0.98,1.07,0.95,0.4,0.91,0.78,0.7,0.87,0.59,0.64,0.54,,1.15,0.83
WSPM_0_0,1.33,1.22,1.15,0.9,1.43,1.12,1.15,1.0,0.84,,1.34,1.25,1.16,,1.38,0.84,0.98,0.98,0.68,1.31,0.96,,1.46,1.11
WSPM_1_1,1.45,1.33,1.2,0.96,1.53,1.17,1.24,1.15,0.85,,1.48,1.35,1.23,,1.42,0.89,0.82,1.5,0.69,1.26,,,1.58,1.26
WSPM_1_2,1.5,1.41,1.18,0.86,1.56,1.23,1.27,1.22,1.03,,1.7,1.46,1.22,,1.47,1.07,0.95,0.8,1.11,1.89,,,1.58,1.33
WSPM_1_0,1.58,1.46,1.36,1.02,1.65,1.38,1.36,1.25,0.96,,1.55,1.58,1.36,,1.51,1.07,1.34,1.36,0.82,1.52,,,1.75,1.29
WSPM_0_2,1.8,1.49,1.83,1.07,1.7,1.39,1.91,1.27,0.93,,1.76,1.67,1.21,,4.28,1.25,1.53,1.19,1.1,0.76,,,1.93,1.35
WSPM_1_3,3.46,2.19,,,3.85,1.76,2.12,1.53,,,,2.33,1.98,,4.76,1.72,,,,,0.63,,2.78,2.9
WSPM_0_3,2.91,2.64,,,2.71,,,,,,,2.76,,,,,,,2.1,,,0.58,,2.13
PM10_0,0.9,0.83,0.74,0.57,0.94,0.74,0.75,0.73,0.55,0.36,0.89,0.87,0.77,0.4,0.84,0.62,0.62,0.67,0.49,0.71,0.47,,0.97,0.79
PM10_1,1.14,1.1,1.07,0.78,1.19,1.0,1.13,1.01,0.82,0.54,1.17,1.2,1.02,,1.16,0.81,0.78,0.81,0.67,0.72,,0.51,1.39,0.87
