,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1123.5,,,,,1.41,1.08,0.53,0.59,0.73,,1.49,0.66,1.53,1.54,,1.11,0.93,0.87,0.89,0.94,0.87,0.93,1.58,1.17,,1.04,0.87,0.96
TEMP_0_1,,5065.45,,,,0.36,1.75,2.22,1.19,1.09,,463.33,,,,,0.91,0.88,1.71,1.14,1.38,1.17,1.05,,0.5,,0.93,1.48,1.16
TEMP_0_0,,,504.24,,23.46,0.79,,1.71,3.56,2.52,23.46,,231.97,,,23.46,0.63,1.67,0.67,1.38,0.75,1.42,1.32,,0.99,23.46,0.9,1.09,0.94
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.89,0.45,0.84,,,584.9,,0.05,0.05,0.15,,1.27,0.82,,,,1.19,0.98,0.8,1.16,1.08,1.2,1.11,0.63,0.65,,1.62,0.8,0.62
PRES_1_3,1.19,1.62,,,,,1556.27,,,,,1.94,0.53,1.16,1.6,,0.61,0.74,1.28,0.82,0.98,0.84,0.86,2.95,1.71,,0.64,0.99,1.7
PRES_1_1,0.3,2.55,1.91,9.1,,,,357.01,0.2,0.51,,0.31,3.11,,3.26,,1.36,0.63,0.79,1.29,1.74,0.71,0.98,,1.17,,1.47,0.8,0.74
PRES_1_0,0.39,1.06,3.6,,,0.02,,0.16,265.36,4.43,,0.61,1.66,,,,0.62,2.47,1.31,1.04,0.42,1.14,1.33,,1.14,,0.99,1.47,0.85
PRES_0_0,0.6,0.87,2.51,,,0.13,0.07,0.29,5.46,115.27,,0.68,1.17,8.5,2.86,,1.69,1.41,1.22,0.4,0.53,0.68,0.56,,,,0.33,5.24,2.23
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.32,1.47,,,,1.11,1.2,0.64,0.83,0.86,,539.32,,,0.37,,1.17,0.9,1.18,0.97,0.85,1.03,1.01,0.88,0.72,,0.97,1.1,1.07
DEWP_0_1,0.46,,7.55,4.12,12.330000000000002,0.77,0.5,2.32,1.48,1.25,12.330000000000002,,344.93,,1.13,12.330000000000002,0.47,1.39,0.55,1.15,1.55,0.96,1.02,1.3,1.92,12.330000000000002,1.2,0.72,0.78
DEWP_0_0,,,,,,,,,4.8,24.68,,,,2028.67,89.25,,11.28,,,,,,,,,,0.28,,
DEWP_1_0,,,,,,,,,,,,,,,249.9,,27.39,,,,,,,,,,,1.74,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.27,0.89,0.66,,,1.26,0.6,1.18,0.87,1.3,,1.83,0.46,3.02,1.92,,155.24,0.12,,0.16,,0.11,0.27,,,,0.42,2.32,2.06
WSPM_0_1,0.89,0.89,1.49,,,1.0,0.78,0.72,1.61,1.34,,0.77,1.37,,,,0.15,53.47,0.18,0.72,0.62,0.87,1.78,,0.31,,1.49,0.93,0.6
WSPM_0_2,0.72,1.74,0.79,4.85,,0.71,1.44,0.72,1.27,0.94,,1.99,0.51,,,,0.06,0.17,167.86,0.29,0.11,0.36,0.58,,,,0.73,2.36,0.95
WSPM_0_0,0.74,1.04,1.6,,,1.25,0.76,1.39,0.92,0.72,,0.87,1.18,,,,0.09,0.49,0.38,12.82,1.23,2.01,6.47,,0.73,,5.91,0.37,0.31
WSPM_1_2,0.85,1.43,0.76,,,1.03,1.01,2.09,0.4,0.95,,0.6,1.75,,,,0.2,0.65,0.22,2.06,85.45,0.87,0.42,,0.63,,5.15,0.4,0.56
WSPM_1_1,0.76,1.12,1.42,,,1.38,0.7,0.88,0.91,1.0,,1.06,0.96,,,,,0.97,0.62,3.43,0.79,38.32,1.17,0.45,,,5.52,0.52,0.38
WSPM_1_0,0.94,0.93,1.24,,,1.22,0.73,1.03,1.22,0.81,,1.05,0.99,,,,0.23,1.07,0.46,5.17,0.72,1.04,4.5,,,,2.83,0.46,0.47
WSPM_0_4,189.23,,,,,0.5,6.43,,,,,0.61,1.63,5.93,4.99,,,,,,,,,1371.24,,,0.13,2.59,4.6
WSPM_1_3,1.83,0.38,0.95,,,0.51,2.16,1.1,0.86,0.74,,0.38,2.52,,4.44,,0.3,,,0.33,,,,,675.87,,1.84,0.43,1.78
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.09,0.92,0.95,1.05,5.13,1.27,0.84,1.14,0.8,0.64,5.13,0.93,1.09,0.35,0.57,5.13,0.52,1.24,0.65,1.69,1.83,1.47,1.35,0.27,1.53,5.13,14.16,0.44,0.27
PM10_1,0.83,1.18,1.11,,,0.84,0.93,0.83,1.45,1.57,,1.13,0.84,1.92,1.24,,1.73,0.84,1.73,0.4,0.12,0.5,0.69,1.82,0.18,,0.4,11.27,1.08
PM10_2,1.1,0.85,1.01,,,0.46,2.41,0.57,1.02,1.75,,1.06,0.97,2.18,2.8,,2.71,0.37,1.31,0.23,,0.24,0.36,3.29,0.51,,0.07,1.39,41.13
