,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,0.99,,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_0_1,1.0,1.02,,,1.0,1.02,0.81,1.0,0.97,1.01,1.02,1.0,1.02,1.02,0.91,0.99,1.02,1.02
PRES_0_0,1.0,,66.84,,1.03,,,0.82,2.46,,,,,,6.74,1.43,,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.0,1.02,,1.09,,,0.95,1.08,0.99,1.09,1.0,0.85,1.09,1.02,0.99,1.03,1.07
DEWP_1_0,1.0,1.01,,,,12.25,,1.53,0.14,1.04,,1.01,2.43,,,1.06,0.69,
DEWP_0_0,1.0,0.81,,,,,185.65,,,,,,6.43,,,1.41,,
WSPM_0_1,1.0,1.0,0.82,,0.96,1.54,,2.2,,,,0.6,0.14,,,1.01,0.98,1.02
WSPM_0_2,1.0,0.97,2.38,,1.08,0.13,,,5.33,,,0.27,,,,0.98,1.05,
WSPM_0_0,1.0,1.01,,,0.99,1.03,,,,5.78,,3.61,1.12,,,1.02,0.95,
WSPM_0_3,1.0,1.02,,,1.09,,,,,,10.71,0.16,,,,0.84,1.38,2.93
WSPM_1_0,1.0,1.01,,,1.0,1.02,,0.55,0.26,3.84,0.18,3.3,,,,1.0,1.01,
WSPM_1_1,1.0,1.02,,,0.84,2.43,6.97,0.21,,0.75,,,17.05,,,1.12,0.74,
WSPM_0_4,1.0,1.02,,,1.09,,,,,,,,,23.91,,0.97,0.78,
WSPM_1_2,1.0,0.91,6.74,,1.04,,,,,,,,,,67.41,1.4,,
PM10_0,1.0,0.99,1.42,,0.99,1.06,1.41,1.0,0.97,1.02,0.83,1.05,1.15,0.99,1.42,1.38,0.23,
PM10_1,1.0,1.01,,,1.03,0.69,,1.0,1.09,0.97,1.39,0.84,0.67,0.77,,0.23,2.86,1.11
PM10_2,1.0,1.02,,,1.07,,,0.84,,,2.65,,,,,,1.15,65.27
