,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.02,66.84,1235.36,1.09,12.65,348.09,2.78,5.99,18.62,11.51,39.33,36.02,24.9,95.59,1.76,5.27,295.87
PRES_0_1,1.0,1.03,,,1.09,12.86,312.47,2.79,5.82,18.83,11.7,39.51,36.61,25.3,89.67,1.75,5.34,300.68
PRES_0_0,1.0,,4502.57,,1.17,,,2.41,15.31,,,30.64,,,495.31,2.21,1.36,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.02,68.58,1350.62,1.19,,,2.66,6.47,18.46,12.58,39.38,30.88,27.22,99.15,1.75,5.39,307.62
DEWP_1_0,0.99,1.02,,,,151.02,860.37,4.22,0.92,19.93,,38.95,85.73,,,1.79,3.99,
DEWP_0_0,1.0,0.82,,,,,43316.28,1.96,,27.41,,,190.59,,,2.15,,
WSPM_0_1,1.0,1.02,55.2,,1.04,19.11,176.01,5.22,0.36,10.31,,35.68,17.46,,,1.81,5.17,308.02
WSPM_0_2,1.0,0.99,160.34,6758.1,1.18,1.61,,0.15,29.22,4.18,,16.44,,,,1.76,5.14,190.42
WSPM_0_0,1.0,1.02,,,1.08,13.19,,1.63,1.45,66.1,2.43,106.37,68.3,,88.92,1.78,5.35,341.98
WSPM_0_3,1.0,1.03,,,1.2,,,,,3.24,116.35,9.71,,,,1.48,6.68,693.49
WSPM_1_0,1.0,1.02,,,1.09,13.06,,2.4,2.68,48.65,3.36,79.75,39.75,,,1.72,5.39,312.57
WSPM_1_1,1.0,1.03,,,0.92,34.02,2668.78,2.59,,30.99,,28.53,359.52,,,1.81,5.25,
WSPM_0_4,1.0,1.03,,,1.2,,,,,,,,,576.49,,1.68,4.53,
WSPM_1_2,1.0,0.93,,,1.18,,,,,17.13,,,,,4956.56,2.15,1.69,
PM10_0,1.0,1.01,95.54,1836.39,1.09,13.66,474.32,2.82,5.87,19.51,9.65,41.66,40.81,24.97,135.73,2.15,2.98,127.2
PM10_1,1.0,1.03,,,1.13,8.31,,2.7,6.44,16.54,15.8,33.54,26.51,18.65,,1.03,10.78,475.67
PM10_2,1.0,1.03,,,1.16,,,2.37,,21.09,28.77,40.43,,,,0.54,10.24,8203.84
