,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,4.62,3.63,,,3.3,7.92,1.98,4.3,,,3.71,3.48,1.82,,3.95,19.65,21.31,16.15,63.04,12.24,49.82,76.96,3.15,4.4,30.41
TEMP_0_0,2.25,7.17,,,2.17,11.12,0.53,18.45,,,1.41,3.64,12.52,,3.37,20.39,20.29,13.42,69.06,27.16,185.93,388.86,3.3,3.93,32.81
TEMP_1_1,,0.29,50.16,,0.35,0.35,37.14,,,,4.91,1.59,,1117.58,4.13,19.3,22.71,20.24,65.55,10.09,,,3.66,4.74,23.32
TEMP_0_2,,,,926.01,,,,,1154.62,7069.77,,,44.66,,3.42,20.73,14.0,7.45,79.83,30.07,,,3.34,4.09,26.73
PRES_0_0,4.12,4.4,1.09,,3.98,5.0,,1.49,,,3.49,3.57,3.26,,3.92,18.98,20.23,15.35,64.82,16.29,37.71,305.16,3.03,4.45,34.6
PRES_1_0,2.76,6.09,,,1.76,27.53,,,,,1.9,3.9,8.22,,3.54,20.43,18.92,14.3,67.59,21.34,187.47,,3.41,3.94,32.43
PRES_0_1,0.88,0.5,41.37,,,,40.31,,,,4.99,1.38,,1001.63,4.38,18.55,21.49,16.59,66.1,9.04,126.16,,3.71,4.66,20.8
PRES_1_1,2.08,7.33,,,0.39,,,62.47,,,0.31,3.46,18.28,,2.69,24.08,27.28,18.03,65.25,27.44,136.76,,3.51,3.62,22.43
PRES_1_3,,,,928.63,,,,,1313.49,,,,44.78,,2.99,22.79,16.65,8.86,86.11,35.77,,,3.57,3.91,27.89
PRES_1_2,,,,906.57,,,,,,58423.82,,,43.72,,5.62,12.64,,,55.89,,,,,4.93,
DEWP_1_0,3.25,2.57,13.65,,2.56,5.06,12.52,1.12,,,5.25,1.79,0.29,,4.46,18.31,19.06,12.41,68.01,11.06,,,3.12,4.66,29.31
DEWP_0_0,3.39,5.76,2.05,,2.56,10.51,1.61,11.21,,,1.55,5.77,,,3.28,21.76,24.1,18.66,62.81,15.11,158.69,431.44,3.52,3.94,29.24
DEWP_0_1,1.11,5.69,,220.36,1.35,8.53,,24.31,254.56,2146.18,,,44.87,,2.88,19.57,17.24,16.03,68.8,46.67,157.58,,3.05,4.02,36.46
DEWP_1_1,,,50.33,,,,40.43,,,,,,,25277.56,5.57,16.55,24.13,,92.67,,,,4.3,4.34,
WSPM_0_1,3.08,4.11,7.36,35.81,2.42,8.04,7.2,6.36,37.71,556.42,3.34,2.97,5.44,210.34,5.59,15.42,16.61,9.41,68.42,1.42,15.06,,3.12,4.51,28.76
WSPM_0_0,2.95,4.21,6.81,29.93,2.36,7.49,5.53,10.02,39.58,,2.74,3.23,5.99,,2.17,32.5,25.5,11.35,96.97,8.76,64.32,,3.72,3.9,23.27
WSPM_1_1,3.15,4.5,7.62,28.56,2.26,6.44,6.34,11.35,32.08,,2.77,3.51,5.67,,3.41,23.95,54.04,7.43,55.58,6.09,,,3.47,4.26,25.03
WSPM_1_2,3.02,4.14,9.09,16.39,2.44,6.87,6.71,10.39,23.18,,2.91,3.71,6.81,,2.52,19.44,5.93,69.41,35.76,8.49,,,3.65,4.09,36.4
WSPM_1_0,2.94,4.28,6.67,37.94,2.25,8.7,5.73,8.35,46.73,,2.77,3.12,7.08,,3.24,27.47,20.24,5.65,94.88,8.11,,,3.45,4.04,26.33
WSPM_0_2,2.29,5.29,4.36,60.21,2.33,9.09,3.5,13.19,70.62,,1.89,2.16,18.77,,0.75,5.91,6.97,2.81,31.9,187.67,,,2.08,4.24,57.21
WSPM_1_3,1.84,5.94,,,1.92,9.5,8.4,9.69,,,,4.18,11.76,,1.07,7.0,,,,,4466.53,,4.31,4.27,12.51
WSPM_0_3,2.79,7.5,,,3.21,,,,,,,5.91,,,,,,,27.28,,,21993.86,,4.61,71.22
PM10_0,2.77,4.51,7.32,32.29,2.11,8.54,6.64,10.32,42.23,,2.64,3.47,6.66,219.84,3.31,22.85,23.75,18.87,68.88,12.69,150.84,,4.25,3.29,15.85
PM10_1,3.12,4.01,7.46,37.34,2.47,6.78,6.6,7.58,36.62,689.8,3.12,2.95,6.15,116.84,4.21,18.14,19.32,13.13,65.92,17.27,41.83,244.87,2.71,5.34,27.72
PM10_2,3.29,4.88,4.25,18.45,3.21,8.6,3.73,5.15,26.1,,3.34,2.62,11.33,,3.9,12.41,13.51,6.76,52.55,49.69,,855.96,0.73,4.37,120.17
