,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,1.0,,,,,0.92,0.82,0.68,0.66,0.6,,1.03,0.8,0.34,0.3,,0.78,0.77,0.72,0.66,0.65,0.6,0.59,0.57,0.52,,1.03,0.79
TEMP_0_1,,1.0,,,,1.18,1.06,0.87,0.85,0.78,,1.32,,,,,1.0,1.0,0.93,0.85,0.84,0.77,0.76,,0.68,,1.33,1.02
TEMP_0_0,,,1.0,,,1.32,,0.96,0.95,0.87,,,1.15,,,,1.12,1.12,1.03,0.95,0.93,0.86,0.85,,0.75,,1.48,1.14
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.09,0.85,0.76,,,1.0,,,,,,1.12,0.88,,,,0.85,0.85,0.79,0.73,0.71,0.65,0.65,0.63,0.57,,1.13,0.87
PRES_1_3,1.22,0.95,,,,,1.0,,,,,1.26,0.98,,,,0.95,0.94,0.87,0.81,0.79,0.73,0.72,0.7,0.63,,1.26,0.97
PRES_1_1,1.48,1.15,1.04,,,,,1.0,,,,1.53,1.19,,,,1.16,1.15,1.07,0.99,0.96,0.88,0.86,,0.77,,1.53,1.18
PRES_1_0,1.51,1.17,1.05,,,,,,1.0,0.91,,1.56,1.21,,,,1.15,1.18,1.08,1.04,0.98,0.88,0.88,,0.82,,1.56,1.2
PRES_0_0,1.66,1.29,1.15,,,,,,1.1,1.0,,1.71,1.33,0.58,,,1.3,1.29,1.23,0.96,1.02,0.99,1.14,,,,1.72,1.31
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.97,0.75,,,,0.89,0.8,0.66,0.64,0.59,,1.0,,,,,0.75,0.75,0.7,0.64,0.63,0.58,0.57,0.56,0.51,,1.0,0.77
DEWP_0_1,1.24,,0.87,,,1.14,1.02,0.84,0.82,0.75,,,1.0,,,,0.96,0.96,0.9,0.83,0.81,0.74,0.74,0.71,0.65,,1.29,0.98
DEWP_0_0,2.93,,,,,,,,,1.73,,,,1.0,,,2.27,,,,,,,,,,3.08,2.23
DEWP_1_0,3.38,,,,,,,,,,,,,,1.0,,2.83,,,,,,,,,,,3.07
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.29,1.0,0.89,,,1.18,1.06,0.86,0.87,0.77,,1.33,1.04,0.44,0.35,,1.0,,,,,,0.82,,,,1.34,1.02
WSPM_0_1,1.29,1.0,0.9,,,1.18,1.06,0.87,0.85,0.78,,1.33,1.04,,,,,1.0,,,,0.65,0.81,,,,1.32,1.04
WSPM_0_2,1.38,1.08,0.97,,,1.27,1.14,0.93,0.92,0.82,,1.43,1.11,,,,,,1.0,,,,0.97,,,,1.44,1.08
WSPM_0_0,1.51,1.17,1.05,,,1.38,1.23,1.01,0.96,1.04,,1.55,1.2,,,,,,,1.0,1.04,0.96,0.87,,,,1.56,1.17
WSPM_1_2,1.54,1.2,1.07,,,1.4,1.26,1.04,1.02,0.98,,1.59,1.24,,,,,,,0.96,1.0,,,,,,1.58,1.53
WSPM_1_1,1.68,1.3,1.17,,,1.54,1.36,1.13,1.14,1.01,,1.73,1.35,,,,,1.53,,1.04,,1.0,,,,,1.72,1.42
WSPM_1_0,1.68,1.31,1.17,,,1.55,1.38,1.16,1.13,0.88,,1.74,1.35,,,,1.22,1.24,1.03,1.16,,,1.0,,,,1.73,1.36
WSPM_0_4,1.74,,,,,1.6,1.43,,,,,1.79,1.41,,,,,,,,,,,1.0,,,1.83,1.37
WSPM_1_3,1.92,1.46,1.34,,,1.76,1.57,1.3,1.22,,,1.97,1.53,,,,,,,,,,,,1.0,,1.95,1.75
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.97,0.75,0.67,,,0.89,0.79,0.65,0.64,0.58,,1.0,0.78,0.32,,,0.75,0.76,0.69,0.64,0.63,0.58,0.58,0.54,0.51,,1.0,0.77
PM10_1,1.26,0.98,0.88,,,1.15,1.03,0.84,0.84,0.76,,1.29,1.01,0.45,0.33,,0.98,0.95,0.92,0.86,0.65,0.7,0.74,0.73,0.57,,1.29,1.0
