,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.53,,,,,1.19,1.06,0.56,0.62,0.75,,1.09,0.72,1.53,1.53,,1.08,0.95,0.89,0.92,0.95,0.89,0.96,1.53,1.18,,1.02,0.93,1.0
TEMP_0_1,,4.67,,,,0.5,1.45,1.93,1.14,1.09,,1.34,,,,,0.92,0.91,1.51,1.06,1.31,1.14,1.02,,0.49,,0.97,1.19,1.01
TEMP_0_0,,,7.57,,,0.87,,1.62,2.68,2.14,,,4.03,,,,0.71,1.4,0.72,1.3,0.78,1.32,1.17,,0.97,,0.96,1.07,1.0
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.19,0.5,0.86,,,2.24,,,,0.1,,1.06,0.86,,,,1.13,0.99,0.82,1.12,1.05,1.18,1.08,0.65,0.66,,1.12,0.89,0.65
PRES_1_3,1.06,1.43,,,,,3.67,,,,,1.14,0.59,1.01,1.46,,0.68,0.82,1.23,0.82,0.99,0.83,0.86,2.63,1.66,,0.88,0.98,1.56
PRES_1_1,0.55,1.92,1.71,8.82,,,,8.52,,0.34,,0.65,2.05,,3.28,,1.24,0.7,0.8,1.22,1.62,0.85,1.03,,1.15,,1.1,0.89,0.7
PRES_1_0,0.65,1.05,2.68,,,,,,7.52,2.6,,0.86,1.43,,,,0.66,1.65,1.24,1.04,0.4,0.96,1.2,,1.1,,0.96,1.19,0.87
PRES_0_0,0.81,0.9,2.1,,,0.12,,,2.8,9.17,,0.88,1.13,9.82,,,1.54,1.28,1.21,0.47,0.62,0.81,0.66,,,,0.58,1.65,1.75
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.09,1.34,,,,1.06,1.14,0.66,0.85,0.88,,1.34,,,,,1.13,0.93,1.15,0.98,0.86,1.03,1.01,0.88,0.73,,0.99,1.04,1.04
DEWP_0_1,0.71,,4.06,4.07,,0.86,0.58,2.03,1.42,1.18,,,4.04,,,,0.53,1.25,0.59,1.09,1.46,0.95,0.98,1.29,1.86,,1.06,0.86,0.85
DEWP_0_0,1.53,,,,,,,,2.37,7.44,,,,139.48,,,3.49,,,,,,,,,,0.48,1.91,
DEWP_1_0,1.53,,,,,,,,,,,,,,103.4,,4.01,,,,,,,,,,,1.45,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.08,0.92,0.71,,,1.13,0.68,1.19,0.83,1.4,,1.13,0.53,3.43,2.19,,4.41,0.07,,0.12,,0.08,0.27,,,,0.66,1.42,1.82
WSPM_0_1,0.96,0.9,1.4,,,0.99,0.84,0.73,1.56,1.25,,0.93,1.26,,,,0.08,3.68,0.09,0.43,0.33,0.56,1.13,,,,1.09,0.94,0.62
WSPM_0_2,0.88,1.51,0.77,,,0.82,1.27,0.76,1.2,1.03,,1.15,0.58,,,,,0.08,5.79,0.21,,0.23,0.53,,,,0.8,1.48,1.08
WSPM_0_0,0.89,1.04,1.48,,,1.12,0.8,1.33,0.98,0.65,,0.97,1.13,,,,0.08,0.39,0.22,3.65,1.05,1.7,3.2,,0.51,,1.36,0.43,0.27
WSPM_1_2,0.94,1.31,0.78,,,1.01,1.01,1.76,0.42,0.96,,0.85,1.48,,,,0.11,0.37,0.14,1.08,7.67,0.51,0.28,,,,1.36,0.45,0.37
WSPM_1_1,0.9,1.1,1.35,,,1.19,0.77,0.91,0.82,0.89,,1.02,0.97,,,,,0.79,0.45,2.25,0.48,7.95,0.77,,,,1.36,0.64,0.32
WSPM_1_0,0.98,0.95,1.2,,,1.12,0.77,1.03,1.26,0.66,,1.01,1.0,,,,0.21,0.99,0.35,3.13,0.45,1.11,3.03,,,,1.25,0.62,0.53
WSPM_0_4,1.52,,,,,0.65,2.6,,,,,0.86,1.36,4.94,,,,,,,,,,17.13,,,0.3,1.52,2.75
WSPM_1_3,1.19,0.44,0.95,,,0.66,1.65,1.12,0.83,0.51,,0.72,1.84,,,,,,,0.29,,,,,24.24,,1.24,0.47,1.29
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.03,0.94,0.96,1.39,,1.14,0.88,1.13,0.85,0.57,,0.98,1.08,,0.48,,0.55,1.14,0.65,1.44,1.61,1.44,1.3,0.24,1.46,,1.41,0.48,0.17
PM10_1,0.94,1.14,1.09,,,0.9,0.95,0.85,1.33,1.59,,1.03,0.88,1.95,1.2,,1.52,0.89,1.6,0.39,0.15,0.41,0.65,1.83,0.21,,0.54,2.07,0.92
PM10_2,1.03,0.88,1.01,,,0.59,1.72,0.57,0.92,1.76,,1.02,0.93,2.25,3.34,,1.98,0.48,1.26,0.26,,0.25,0.36,2.92,0.59,,0.09,0.97,5.46
