,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.37,0.27,0.98,0.56,0.39,0.94,0.73,0.96,0.6,1.13,0.75,0.49,0.46,1.01,0.88
PRES_0_1,1.0,1.0,,,0.98,0.57,0.38,0.94,0.72,0.97,0.6,1.14,0.75,0.49,0.44,1.01,0.89
PRES_0_0,1.58,,3.11,,1.6,,,1.43,1.76,0.95,,1.66,,,1.16,1.62,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.37,0.28,1.02,0.16,,0.93,0.76,0.97,0.63,1.14,0.72,0.51,0.47,1.02,0.9
DEWP_1_0,1.28,1.28,,,,1.92,0.65,1.41,0.55,1.26,,1.45,1.33,,,1.27,0.95
DEWP_0_0,1.76,1.48,,,,2.39,4.02,1.38,,1.65,,1.64,2.29,,,1.8,
WSPM_0_1,1.09,1.09,0.37,,1.05,0.71,0.39,1.24,0.45,1.07,0.43,1.34,0.79,0.14,0.31,1.1,0.92
WSPM_0_2,1.19,1.18,0.58,0.67,1.2,0.25,,0.55,1.55,0.8,0.27,1.07,0.22,,,1.19,0.97
WSPM_0_0,1.25,1.25,,,1.22,0.75,0.65,1.2,0.54,1.65,0.41,1.76,1.28,,0.63,1.27,1.22
WSPM_0_3,1.28,1.28,,,1.29,,,0.22,0.56,0.77,1.87,0.9,,,,1.28,1.3
WSPM_1_0,1.29,1.29,,,1.26,0.75,,1.25,0.71,1.52,0.49,1.64,1.11,,,1.3,1.25
WSPM_1_1,1.36,1.37,,,1.24,1.19,1.05,1.37,,1.25,,1.2,2.07,,,1.38,1.42
WSPM_0_4,1.38,1.39,,,1.4,,,0.67,,,,0.92,,2.31,,1.36,1.0
WSPM_1_2,1.6,1.49,,,1.62,,,1.41,,1.58,,1.48,,,3.09,1.63,
PM10_0,1.01,1.01,0.39,0.29,0.99,0.57,0.42,0.95,0.75,0.99,0.59,1.16,0.78,0.48,0.49,1.03,0.81
PM10_1,1.27,1.27,,,1.27,0.51,,1.2,0.92,1.03,0.9,1.29,0.72,0.5,,1.23,1.76
