,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,0.88,1.15,,,,,0.93,1.06,0.9,1.02,,,,1.0,0.94,1.11,1.46,1.43,,0.97,1.0,1.03,0.87,0.71,0.63,0.75,0.72,0.82,,1.18,0.92
TEMP_0_0,1.15,0.87,,,,,1.13,0.91,0.96,0.93,,,,1.13,0.88,1.68,0.86,0.79,,0.98,0.99,0.93,1.11,0.75,0.67,0.68,0.72,0.62,,1.17,0.95
TEMP_1_1,,,0.8,,,,1.05,,1.07,,0.7,,,1.41,2.19,0.83,,,,1.16,1.0,1.22,1.19,0.8,0.67,0.86,1.1,,,1.29,1.28
TEMP_0_2,,,,0.71,,,1.89,,,1.04,,0.71,,1.62,1.25,,,0.89,,1.82,1.47,1.51,0.98,0.96,0.89,1.04,0.98,,,1.63,1.3
TEMP_0_1,,,,,0.69,,2.18,1.68,2.06,1.01,,0.9,,3.31,,,0.84,,,1.8,1.76,1.14,,1.06,1.02,1.02,1.11,0.64,,1.75,1.28
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.02,1.17,0.93,1.46,1.24,,0.85,1.62,1.07,1.49,,,,1.08,1.18,0.94,1.26,1.3,,1.09,0.99,1.06,0.93,0.79,0.7,0.76,0.71,0.7,,1.24,0.94
PRES_1_1,1.13,0.95,,,0.93,,1.66,0.85,1.83,,,,,1.19,0.94,,0.85,0.8,,1.01,1.01,0.96,1.18,0.77,0.67,0.74,0.79,0.68,,1.22,0.99
PRES_1_0,1.05,1.17,1.15,,,,1.16,2.28,0.81,,,,,1.15,1.05,1.12,1.25,,,1.1,1.14,1.08,0.95,0.8,0.66,0.88,0.87,0.94,,1.28,1.18
PRES_1_2,1.39,1.29,,0.85,0.77,,2.89,,,0.76,,,,1.4,1.05,,0.94,,,1.26,1.39,1.23,1.1,0.83,0.8,0.82,0.88,0.73,,1.46,1.17
PRES_0_1,,,0.98,,,,,,,,0.69,,,,,0.97,,,,1.31,1.22,,,0.96,0.82,1.02,,,,1.59,1.42
PRES_1_3,,,,0.78,0.94,,,,,,,0.68,,2.22,1.43,,1.15,0.89,,1.84,1.43,1.31,1.19,1.07,0.97,1.03,1.08,0.7,,1.71,1.34
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.9,1.0,1.07,0.86,1.43,0.99,0.9,1.01,0.86,0.93,,0.99,0.99,0.9,1.12,,,,0.99,0.93,0.99,0.9,0.8,0.76,0.63,0.68,0.69,,0.99,1.13,0.85
DEWP_0_0,1.16,1.03,1.97,0.94,,,1.36,1.11,1.08,0.89,,1.01,,1.41,0.81,,,,,1.17,1.05,1.2,1.23,0.74,0.68,0.77,0.78,0.69,,1.29,1.27
DEWP_1_1,1.36,2.04,0.85,,,,1.07,,1.07,,0.7,,,,,0.79,,,,1.17,0.99,1.49,1.19,0.81,0.67,0.86,1.1,,,1.31,1.18
DEWP_0_2,1.97,1.32,,,0.69,,1.65,1.2,1.47,1.02,,0.9,,,,,0.74,,,1.33,1.55,1.06,,0.93,0.86,0.87,0.93,0.63,,1.53,1.17
DEWP_0_1,1.97,1.24,,0.84,,,1.7,1.17,,,,0.77,,,,,,0.73,,1.36,1.4,1.28,1.18,0.9,0.88,0.89,0.79,0.69,,1.53,1.29
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.09,1.09,1.09,1.08,1.12,,1.04,1.12,1.06,0.98,0.85,1.0,,1.12,1.21,1.06,0.97,0.96,,0.83,2.35,,,0.93,0.87,0.68,,,,1.26,0.97
WSPM_0_1,1.16,1.1,0.95,1.02,1.28,,1.1,1.12,1.0,1.12,0.83,0.93,,1.25,0.96,0.92,1.29,1.06,,1.09,0.83,1.37,1.81,0.93,0.62,0.95,1.04,,,1.23,1.13
WSPM_0_3,1.21,1.15,1.26,1.11,0.75,,1.13,1.13,1.1,1.07,,0.89,,1.2,1.23,1.4,0.87,1.03,,,2.43,0.8,,1.11,1.0,1.02,,,,1.4,0.95
WSPM_0_4,1.2,1.43,1.31,0.83,,,1.17,1.48,1.1,1.13,,0.88,,1.22,1.43,1.33,,1.1,,,2.44,,0.76,1.36,1.19,,,,,1.52,1.03
WSPM_0_0,1.51,1.46,1.32,1.19,1.03,,1.58,1.52,1.38,1.17,1.1,1.29,,1.65,1.22,1.38,1.18,1.25,,1.89,1.35,1.72,,0.73,0.67,0.93,1.04,,,1.57,1.93
WSPM_1_0,1.55,1.58,1.36,1.31,1.25,,1.46,1.58,1.56,1.3,1.24,1.37,,1.68,1.29,1.37,1.36,1.48,,1.44,1.34,1.78,1.71,0.85,0.77,1.22,1.41,,,1.67,2.03
WSPM_1_1,1.5,1.63,1.61,1.43,1.47,,1.95,1.5,1.5,1.38,1.32,1.28,,2.53,1.25,1.74,1.39,1.19,,2.7,1.29,1.77,,0.87,0.87,0.69,,,,1.74,3.97
WSPM_1_2,1.73,1.47,1.96,1.29,1.34,,1.85,1.44,1.47,1.4,,1.28,,2.79,1.19,1.93,1.38,1.12,,,1.63,,,0.89,1.13,,0.66,,,1.76,
WSPM_1_3,1.97,2.13,,,1.13,,2.05,1.94,1.78,1.56,,1.44,,,1.74,,1.37,1.32,,,,,,1.41,,,,0.57,,2.17,2.27
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.88,0.88,0.81,0.75,0.73,1.19,0.87,0.89,0.81,0.79,0.7,0.74,1.19,0.96,0.8,0.81,0.79,0.75,1.19,0.85,0.81,0.88,0.85,0.61,0.54,0.61,0.63,0.55,1.19,0.97,0.95
PM10_1,1.12,1.1,1.32,0.88,0.83,,1.04,1.09,1.08,1.02,1.06,0.81,,1.1,1.14,1.21,0.92,0.98,,1.11,1.3,0.93,0.88,0.67,0.65,0.6,,,,1.47,0.84
