,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,1.0,0.99,,,,1.05,0.98,0.92,0.9,0.76,,,1.05,1.06,0.79,0.9,0.65,0.7,1.05,0.92,0.86,0.93,0.79,0.67,0.64,0.6,0.54,0.54,1.05,1.18,0.92
TEMP_0_0,1.01,1.0,0.75,,,,0.92,0.96,0.9,0.76,,,,1.06,0.92,0.78,0.73,0.73,,0.93,0.98,0.81,0.81,0.72,0.67,0.65,0.66,0.46,,1.2,0.89
TEMP_1_1,,,0.99,,,,1.08,,0.94,,0.82,,,1.17,1.12,0.99,,,,1.05,1.07,0.9,0.92,0.77,0.74,0.72,0.58,,,1.37,1.07
TEMP_0_2,,,,1.0,,,1.07,,,1.18,,0.92,,1.53,1.18,,,1.01,,1.52,1.26,1.23,1.09,0.94,0.9,0.83,0.89,,,1.69,1.31
TEMP_0_1,,,,,1.02,,1.92,1.61,1.63,1.24,,0.9,,2.8,,,1.15,,,1.39,1.11,1.37,,1.12,1.07,0.94,0.91,0.63,,1.84,1.42
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.03,1.04,0.93,0.74,0.49,0.94,1.0,1.04,0.93,0.57,,,0.94,1.11,0.89,0.92,0.7,0.77,0.94,1.01,0.93,0.95,0.82,0.64,0.64,0.57,0.54,0.37,0.94,1.24,0.95
PRES_1_1,1.09,1.05,,,0.69,,1.03,1.0,1.0,,,,,1.12,0.9,,0.79,0.76,,0.95,0.97,0.88,0.92,0.73,0.69,0.66,0.7,0.5,,1.25,0.96
PRES_1_0,1.1,1.09,1.06,,,,1.05,0.93,1.0,,,,,1.18,1.03,1.04,0.76,,,0.97,1.1,0.95,0.88,0.91,0.79,0.83,0.7,0.86,,1.35,1.07
PRES_1_2,1.32,1.31,,0.85,0.87,,1.48,,,1.01,,,,1.34,1.14,,0.96,,,1.21,1.21,1.1,0.94,0.92,0.88,0.8,0.8,0.62,,1.55,1.14
PRES_0_1,,,1.24,,,,,,,,0.98,,,,,1.22,,,,1.36,1.3,,,0.88,0.89,0.88,,,,1.71,1.24
PRES_1_3,,,,1.06,1.01,,2.03,,,,,1.0,,1.67,1.18,,1.15,1.07,,1.62,1.25,1.28,1.2,0.97,0.91,0.92,0.92,0.44,,1.72,1.39
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.94,0.95,0.87,0.63,0.43,0.7,0.9,0.87,0.84,0.75,,0.51,0.7,1.0,0.84,,,,0.7,0.86,0.85,0.81,0.76,0.59,0.6,0.49,0.38,,0.7,1.12,0.86
DEWP_0_0,1.15,1.11,1.28,0.8,,,1.16,1.12,1.02,0.87,,0.76,,1.19,1.0,,,,,1.04,1.1,0.96,0.81,0.9,0.8,0.84,0.81,0.57,,1.37,1.04
DEWP_1_1,1.09,0.81,1.02,,,,1.09,,0.99,,0.83,,,,,0.99,,,,1.09,1.06,1.02,0.93,0.77,0.75,0.68,0.71,,,1.38,1.08
