,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,0.9,1.07,,,,1.01,0.94,1.05,0.87,0.97,,,1.01,1.02,0.87,1.12,1.31,1.38,1.01,0.98,0.95,1.04,0.85,0.64,0.54,0.63,0.6,0.69,1.01,1.23,0.9
TEMP_0_0,1.06,0.89,2.47,,,,1.06,0.92,0.96,0.9,,,,1.15,0.87,1.4,0.84,0.76,,0.96,0.98,0.89,1.05,0.64,0.55,0.61,0.65,0.54,,1.23,0.9
TEMP_1_1,,,0.83,,,,1.09,,1.05,,0.7,,,1.51,2.21,0.86,,,,1.18,1.03,1.22,1.2,0.73,0.59,0.77,1.0,,,1.42,1.24
TEMP_0_2,,,,0.75,,,1.89,,,1.14,,0.74,,1.84,1.33,,,0.94,,2.05,1.6,1.64,1.05,0.94,0.83,0.94,0.96,,,1.88,1.41
TEMP_0_1,,,,,0.74,,2.58,1.97,2.29,1.13,,0.93,,4.51,,,0.91,,,2.0,1.79,1.28,,1.09,1.03,1.01,1.11,0.59,,2.06,1.41
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.04,1.17,0.94,1.42,1.09,0.9,0.87,1.52,1.0,1.29,,,0.9,1.13,1.09,0.95,1.17,1.27,0.9,1.11,0.99,1.07,0.91,0.66,0.57,0.65,0.6,0.56,0.9,1.31,0.93
PRES_1_1,1.13,0.98,,,0.9,,1.48,0.87,1.57,,,,,1.23,0.93,,0.84,0.77,,1.01,0.99,0.95,1.18,0.68,0.57,0.65,0.74,0.6,,1.3,0.96
PRES_1_0,1.08,1.17,1.21,,,,1.12,1.91,0.84,,,,,1.21,1.06,1.16,1.24,,,1.1,1.15,1.08,0.96,0.77,0.62,0.8,0.81,0.96,,1.4,1.15
PRES_1_2,1.45,1.38,,0.86,0.78,,2.74,,,0.8,,,,1.52,1.1,,0.98,,,1.35,1.45,1.29,1.13,0.81,0.74,0.76,0.83,0.67,,1.65,1.21
PRES_0_1,,,1.09,,,,,,,,0.73,,,,,1.07,,,,1.44,1.34,,,0.91,0.76,0.98,,,,1.88,1.47
PRES_1_3,,,,0.84,1.0,,3.72,,,,,0.73,,2.5,1.52,,1.25,0.96,,2.11,1.55,1.45,1.3,1.04,0.9,0.95,1.08,0.6,,1.98,1.5
