,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.98,0.01,,0.92,0.09,0.01,0.61,0.23,0.37,0.11,0.5,0.14,0.05,0.02,0.88,0.59,0.04
PRES_0_1,1.0,1.0,,,0.91,0.09,0.01,0.61,0.22,0.37,0.11,0.5,0.14,0.05,0.02,0.88,0.6,0.05
PRES_0_0,1.0,,0.99,,1.0,,,0.6,0.62,0.13,,0.44,,,0.09,1.0,0.24,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,0.98,0.02,,1.0,,,0.58,0.25,0.37,0.12,0.5,0.12,0.05,0.03,0.89,0.6,0.05
DEWP_1_0,0.98,0.98,,,,0.98,0.04,0.9,0.04,0.4,,0.5,0.34,,,0.86,0.49,0.03
DEWP_0_0,0.92,0.72,,,,0.62,0.79,0.49,,0.46,,0.44,0.49,,,0.92,0.59,
WSPM_0_1,1.0,0.98,0.01,,0.87,0.13,0.01,0.98,0.05,0.38,0.02,0.6,0.14,,0.01,0.9,0.58,0.05
WSPM_0_2,1.0,0.96,0.04,0.01,0.99,0.01,,0.11,0.98,0.15,0.01,0.28,0.01,,,0.89,0.55,0.03
WSPM_0_0,1.0,0.99,,,0.91,0.09,0.02,0.61,0.08,0.82,0.03,0.89,0.24,,0.03,0.89,0.63,0.06
WSPM_0_3,1.0,1.0,,,1.0,,,0.02,0.04,0.11,0.99,0.16,,,,0.79,0.7,0.09
WSPM_1_0,1.0,0.99,,,0.91,0.09,,0.66,0.12,0.6,0.04,0.67,0.14,,,0.88,0.61,0.05
WSPM_1_1,1.0,1.0,,,0.77,0.24,0.05,0.71,,0.44,,0.38,0.83,,,0.87,0.67,0.03
WSPM_0_4,1.0,1.0,,,1.0,,,0.07,,,,0.1,,0.99,,0.83,0.54,
WSPM_1_2,1.0,0.9,,,1.0,,,0.43,,0.44,,0.28,,,0.92,0.99,0.36,
PM10_0,1.0,0.98,0.02,,0.91,0.09,0.01,0.62,0.23,0.39,0.09,0.52,0.16,0.05,0.04,0.99,0.45,0.03
PM10_1,1.0,0.99,,,0.94,0.05,,0.58,0.24,0.33,0.14,0.45,0.11,0.03,,0.72,0.94,0.07
PM10_2,1.0,1.0,,,0.97,,,0.59,,0.37,0.24,0.49,,,,0.5,0.96,0.67
