,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.37,0.23,0.98,0.56,0.34,0.89,0.7,0.82,0.58,0.94,0.63,0.48,0.41,1.0,0.76
PRES_0_1,1.0,1.0,,,0.98,0.56,0.33,0.89,0.69,0.82,0.59,0.94,0.63,0.48,0.4,1.0,0.77
PRES_0_0,1.56,,3.07,,1.58,,,1.3,1.62,0.79,,1.32,,,1.16,1.59,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.37,0.24,1.02,,,0.88,0.73,0.82,0.61,0.95,0.6,0.5,0.41,1.01,0.78
DEWP_1_0,1.28,1.29,,,,1.93,0.5,1.35,0.47,1.08,,1.21,1.12,,,1.27,0.81
DEWP_0_0,1.83,1.59,,,,2.39,4.11,1.33,,1.44,,1.31,2.21,,,1.87,
WSPM_0_1,1.09,1.09,0.37,,1.05,0.71,0.27,1.23,0.28,0.77,,1.03,0.5,,0.2,1.09,0.81
WSPM_0_2,1.19,1.17,0.6,0.55,1.2,0.27,,0.36,1.55,0.58,,0.82,,,,1.19,0.86
WSPM_0_0,1.25,1.25,,,1.22,0.71,,0.93,0.47,1.64,0.41,1.68,1.16,,0.51,1.25,0.98
WSPM_0_3,1.28,1.28,,,1.29,,,,,0.57,1.87,0.68,,,,1.27,1.16
WSPM_1_0,1.29,1.29,,,1.26,0.72,,1.09,0.69,1.51,0.46,1.55,1.0,,,1.28,1.06
WSPM_1_1,1.36,1.37,,,1.24,1.17,1.09,1.33,,1.21,,0.98,2.06,,,1.37,1.14
WSPM_0_4,1.38,1.39,,,1.4,,,,,,,0.7,,2.31,,1.34,0.83
WSPM_1_2,1.57,1.49,,,1.6,,,1.13,,1.26,,0.95,,,3.04,1.6,
PM10_0,1.01,1.01,0.39,0.25,0.99,0.56,0.36,0.9,0.71,0.84,0.58,0.97,0.65,0.47,0.43,1.03,0.66
PM10_1,1.27,1.27,,,1.27,0.51,,1.12,0.89,0.88,0.91,0.96,0.6,0.5,,1.14,1.73
