,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.29,,,,,0.88,0.64,0.26,0.41,0.59,,0.98,0.42,0.37,0.87,,0.71,0.88,0.6,1.5,0.76,0.97,2.23,0.57,0.46,,1.15,1.34,0.97
TEMP_0_1,,2.52,,,,0.38,0.88,0.89,0.73,0.83,,1.19,,,,,0.62,0.87,1.02,1.77,1.07,1.26,2.51,,0.21,,1.14,1.63,1.3
TEMP_0_0,,,3.32,1.18,16.29,0.66,,0.69,1.55,1.56,16.29,,2.27,,,16.29,0.44,1.25,0.47,1.86,0.62,1.53,2.83,,0.4,16.29,1.11,1.44,0.95
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.01,0.28,0.38,,,1.63,,,0.08,0.19,,0.95,0.49,,,,0.76,0.92,0.56,1.74,0.86,1.28,2.53,0.24,0.26,,1.25,1.29,0.72
PRES_1_3,0.89,0.78,,,,,2.19,,,0.05,,1.02,0.36,0.32,0.89,,0.44,0.74,0.82,1.42,0.8,0.97,2.17,0.99,0.65,,1.0,1.45,1.45
PRES_1_1,0.46,1.04,0.76,3.17,,,0.04,3.58,0.29,0.61,,0.58,1.17,,1.89,,0.84,0.7,0.58,1.77,1.22,0.75,2.12,,0.47,,1.21,1.31,0.96
PRES_1_0,0.55,0.57,1.19,,10.17,0.06,,0.14,3.79,2.62,10.17,0.77,0.82,,,10.17,0.47,1.63,0.84,1.74,0.42,1.28,2.89,,0.47,10.17,1.17,1.66,0.99
PRES_0_0,0.69,0.49,0.93,,,0.25,0.06,0.25,2.33,4.71,,0.82,0.64,1.5,1.62,,0.88,1.06,0.7,0.91,0.45,0.88,1.69,,,,0.91,1.95,1.67
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.92,0.72,,,,0.79,0.69,0.31,0.54,0.68,,1.19,0.01,0.08,0.25,,0.74,0.87,0.77,1.57,0.72,1.12,2.37,0.33,0.29,,1.14,1.48,1.11
DEWP_0_1,0.6,0.03,1.81,1.46,8.64,0.64,0.35,0.9,0.84,0.93,8.64,0.02,2.29,,0.75,8.64,0.36,1.13,0.41,1.75,1.12,1.12,2.43,0.47,0.73,8.64,1.16,1.22,0.82
DEWP_0_0,1.29,,,,,,,,2.58,3.85,,,,21.33,23.94,,1.97,,,,,,,,,,0.73,2.1,
DEWP_1_0,1.29,,,,,,,,,,,,,,24.42,,2.27,,,,,,,,,,,1.87,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,0.91,0.5,0.29,,,0.84,0.4,0.51,0.57,0.82,,1.02,0.3,0.56,0.89,,2.47,0.29,,0.53,0.06,0.22,1.06,,,,0.95,1.76,1.53
WSPM_0_1,0.81,0.51,0.62,,5.3100000000000005,0.74,0.5,0.38,0.94,1.1,5.3100000000000005,0.84,0.72,,,5.3100000000000005,0.19,2.45,0.23,1.7,0.74,1.35,3.57,0.1,0.15,5.3100000000000005,1.24,1.37,0.82
WSPM_0_2,0.74,0.81,0.39,1.74,,0.6,0.79,0.33,0.76,0.62,,1.02,0.33,,,,,0.4,3.01,0.9,0.2,0.6,1.97,,,,1.15,1.72,0.91
WSPM_0_0,0.75,0.56,0.66,,,0.84,0.5,0.6,0.54,0.64,,0.86,0.65,,,,0.15,0.71,0.54,3.43,1.04,1.72,4.17,,0.39,,1.31,0.97,0.43
WSPM_1_2,0.79,0.71,0.35,,,0.78,0.6,0.85,0.28,0.72,,0.78,0.86,,,,0.23,0.87,0.23,2.5,3.86,1.19,1.61,,0.4,,1.32,1.08,
WSPM_1_1,0.76,0.59,0.6,,,0.86,0.46,0.43,0.62,0.8,,0.91,0.56,,,,0.14,0.97,0.41,2.54,0.95,4.54,2.93,,,,1.31,1.19,0.51
WSPM_1_0,0.82,0.51,0.53,,,0.83,0.49,0.46,0.69,0.67,,0.91,0.57,,,,0.25,0.93,0.51,2.91,0.76,1.14,4.01,,,,1.27,1.04,0.55
WSPM_0_4,1.29,,,,,0.47,1.55,,,,,0.77,0.86,1.13,1.75,,,0.11,,,,0.26,0.26,5.62,,,0.52,1.8,2.44
WSPM_1_3,1.0,0.24,0.42,,,0.48,0.98,0.48,0.58,,,0.64,1.05,,,,,,,0.89,0.19,,0.58,,7.16,,1.18,1.16,1.75
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
