,ENE_0,NE_0,E_0,ESE_0,SE_0,N_0,SW_0,NNE_0,NW_0,SSW_0,SSE_0,NNW_0,S_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,E_1,NE_1,NW_2,NW_1,NE_3,ESE_1,SW_1,SW_2,NNE_2,NE_6,NNW_1,WSW_1,SE_1,WNW_1,S_1,WSW_2,ENE_2,N_1,ENE_3,ESE_2,NW_3,nan_0,NE_2,NE_4,E_2,WNW_2,SSE_1,SSW_1,WSW_4,SW_3,NW_4,WNW_3,S_2,WSW_3,ENE_7,SE_4,ENE_4,N_2,W_1,ENE_5,WNW_4,SSW_2,NNW_2,WNW_6,ESE_3,E_3,NNW_3,SSW_3,W_2,ESE_5,S_3,NNW_4,SE_3,N_3,SE_2,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE_0,1.0,0.94,1.04,0.87,0.86,0.85,0.87,0.89,0.76,,,0.78,,,0.66,,0.61,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.21,1.61,1.21,1.45,1.47,1.54,1.35,1.53,1.37,1.7,,1.65,1.04
NE_0,1.06,1.0,0.91,1.0,0.87,0.81,,0.87,0.76,,0.88,0.85,,,,,0.72,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,1.21,1.63,1.24,1.49,1.47,1.56,1.39,1.55,1.4,1.73,,1.68,0.99
E_0,0.96,1.1,1.0,0.88,0.99,0.94,0.89,0.86,0.81,,0.88,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,1.2,1.64,1.26,1.5,1.48,1.59,1.35,1.55,1.42,1.74,,1.68,1.16
ESE_0,1.16,1.0,1.14,1.0,0.93,,0.82,0.9,,,0.65,,0.9,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,1.31,1.74,1.33,1.59,1.57,1.7,1.42,1.66,1.48,1.84,,1.8,0.96
SE_0,1.17,1.15,1.01,1.07,1.0,,0.83,,,0.92,1.03,,0.81,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.35,1.87,1.43,1.7,1.71,1.81,1.56,1.8,1.57,1.99,,1.93,1.18
N_0,1.18,1.23,1.07,,,1.0,,0.85,1.24,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,1.48,1.88,1.51,1.73,1.71,1.8,1.66,1.82,1.61,2.01,,1.95,1.3
SW_0,1.14,,1.12,1.21,1.2,,1.0,,0.94,1.03,,,0.86,0.82,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,1.45,1.92,1.44,1.82,1.64,1.87,1.57,1.77,1.72,2.04,,1.94,1.43
NNE_0,1.12,1.15,1.16,1.11,,1.18,,,0.98,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,1.5,1.94,1.45,1.71,1.79,1.86,1.6,1.84,1.63,2.04,,1.98,1.26
NW_0,1.32,1.32,1.24,,,0.81,1.07,1.02,1.0,,,0.97,,,0.9,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.68,1.93,1.63,1.8,1.76,1.87,1.67,1.95,1.62,2.07,,2.04,1.32
SSW_0,,,,,1.08,,0.97,,,1.0,1.0,,1.14,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,1.51,1.93,1.58,1.86,1.67,1.94,1.6,1.86,1.7,2.09,,2.01,1.41
SSE_0,,1.13,1.13,1.55,0.97,,,,,1.0,1.0,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,1.43,2.03,1.46,1.9,1.71,1.94,1.67,1.88,1.79,2.13,,2.03,
NNW_0,1.28,1.18,,,,1.18,,1.07,1.03,,,1.0,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,1.62,1.96,1.73,1.86,1.79,1.94,1.68,1.93,1.71,2.13,,2.04,1.41
S_0,,,,1.11,1.24,,1.17,,,0.88,1.13,,1.0,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,1.46,2.06,1.44,1.9,1.74,1.97,1.67,1.89,1.81,2.15,,2.07,1.4
WSW_0,,,,,,,1.22,,,1.2,,,0.92,1.0,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,1.59,2.08,1.53,1.94,1.84,2.05,1.68,1.99,1.77,2.21,,2.18,1.21
WNW_0,1.51,,1.27,,,,0.97,,1.11,,,1.11,,,1.0,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,1.66,2.03,1.79,1.87,1.9,2.0,1.74,2.0,1.77,2.21,,2.2,1.35
W_0,,,,,1.13,,0.97,,1.12,,,,,1.05,0.99,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,1.47,2.14,1.55,1.96,1.9,2.03,1.8,1.97,1.86,2.26,,2.15,1.66
