,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.51,,0.99,0.67,0.41,0.87,0.76,0.7,0.68,0.67,0.61,0.6,0.5,0.98,0.68
PRES_0_1,1.0,1.0,,,0.99,0.67,0.38,0.87,0.75,0.7,0.69,0.67,0.62,0.6,0.48,0.98,0.69
PRES_0_0,1.34,,3.65,,1.34,,,1.08,1.47,,,,,,1.44,1.37,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.0,0.51,,1.03,,,0.86,0.79,0.7,0.71,0.67,0.58,0.62,0.51,0.99,0.7
DEWP_1_0,1.19,1.19,,,,2.16,,1.23,0.42,0.85,,0.8,1.04,,,1.16,0.62
DEWP_0_0,1.47,1.33,,,,,4.91,,,,,,1.83,,,1.51,
WSPM_0_1,1.06,1.06,0.5,,1.03,0.84,,1.27,,,,0.59,0.26,,,1.04,0.71
WSPM_0_2,1.12,1.11,0.8,,1.14,0.33,,,1.67,,,0.46,,,,1.11,0.72
WSPM_0_0,1.16,1.16,,,1.14,0.78,,,,1.65,,1.28,0.84,,,1.13,0.85
WSPM_0_3,1.18,1.18,,,1.2,,,,,,2.07,0.37,,,,1.14,0.97
WSPM_1_0,1.19,1.19,,,1.17,0.8,,0.79,0.52,1.45,0.41,1.28,,,,1.15,0.9
WSPM_1_1,1.23,1.24,,,1.14,1.17,1.15,0.65,,0.69,,,2.35,,,1.23,0.65
WSPM_0_4,1.25,1.25,,,1.27,,,,,,,,,2.66,,1.19,0.71
WSPM_1_2,1.35,1.29,1.46,,1.35,,,,,,,,,,3.63,1.38,
PM10_0,1.01,1.01,0.53,,0.99,0.67,0.44,0.88,0.77,0.71,0.67,0.68,0.63,0.59,0.53,1.03,0.42
PM10_1,1.18,1.18,,,1.18,0.6,,1.04,0.92,0.79,0.99,0.71,0.53,0.59,,0.7,1.84
