,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,1.53,,,,,1.19,1.05,0.56,0.63,0.76,,1.09,0.72,1.53,1.53,,1.08,0.95,0.89,0.92,0.95,0.89,0.95,1.53,1.17,,1.0,0.96
TEMP_0_1,,4.65,,,,0.5,1.45,1.94,1.16,1.07,,1.33,,,,,0.93,0.92,1.51,1.09,1.3,1.14,1.04,,0.51,,1.02,1.14
TEMP_0_0,,,7.53,,22.98,0.87,,1.58,2.61,2.12,22.98,,4.0,,,22.98,0.69,1.38,0.71,1.24,0.78,1.33,1.2,,0.99,22.98,0.98,0.98
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.19,0.51,0.86,,,2.22,,0.05,0.06,0.17,,1.06,0.85,,,,1.14,0.99,0.83,1.11,1.06,1.17,1.07,0.65,0.66,,1.06,0.77
PRES_1_3,1.06,1.43,,,,,3.65,,,,,1.14,0.6,1.16,1.59,,0.67,0.8,1.21,0.86,0.98,0.86,0.9,2.64,1.65,,0.9,1.23
PRES_1_1,0.55,1.91,1.71,8.82,,,,8.25,0.23,0.55,,0.64,2.04,,3.18,,1.25,0.71,0.82,1.19,1.56,0.74,0.98,,1.17,,1.06,0.88
PRES_1_0,0.65,1.05,2.68,,,0.04,,0.17,6.84,3.11,,0.86,1.43,,,,0.68,1.7,1.24,1.03,0.46,1.11,1.2,,1.14,,1.01,0.98
PRES_0_0,0.81,0.9,2.1,,,0.22,0.09,0.32,3.33,7.59,,0.9,1.12,8.0,2.8,,1.45,1.25,1.17,0.49,0.57,0.71,0.65,,,,0.87,1.77
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.09,1.33,,,,1.06,1.14,0.67,0.85,0.88,,1.33,,,0.37,,1.12,0.93,1.14,0.98,0.87,1.02,1.0,0.89,0.73,,1.0,1.04
DEWP_0_1,0.71,,4.06,4.07,12.21,0.86,0.58,2.01,1.38,1.21,12.21,0.01,4.01,,1.13,12.21,0.54,1.24,0.6,1.1,1.43,0.97,1.01,1.28,1.85,12.21,1.01,0.86
DEWP_0_0,1.53,,,,,,,,3.11,6.26,,,,113.65,45.12,,3.28,,,,,,,,,,0.89,1.54
DEWP_1_0,1.53,,,,,,,,,,,,,,66.5,,3.78,,,,,,,,,,,2.52
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.08,0.91,0.69,,,1.13,0.67,1.16,0.89,1.25,,1.13,0.53,2.97,1.9,,4.14,0.16,,0.22,,0.13,0.35,,,,0.86,1.62
WSPM_0_1,0.96,0.91,1.4,,,1.0,0.83,0.75,1.48,1.29,,0.93,1.25,,,,0.18,3.14,0.21,0.79,0.66,0.89,1.43,,0.32,,1.07,0.72
WSPM_0_2,0.88,1.5,0.81,4.77,,0.82,1.28,0.74,1.22,0.95,,1.14,0.58,,,,0.08,0.22,5.19,0.38,0.13,0.4,0.67,,,,0.99,1.27
WSPM_0_0,0.89,1.03,1.48,,,1.13,0.81,1.33,0.93,0.75,,0.96,1.13,,,,0.12,0.58,0.43,2.75,1.19,1.74,2.37,,0.73,,1.1,0.38
WSPM_1_2,0.94,1.31,0.78,,,1.02,1.0,1.85,0.44,0.96,,0.85,1.48,,,,0.24,0.73,0.26,1.55,6.15,0.89,0.51,,0.64,,1.12,0.47
WSPM_1_1,0.9,1.1,1.35,,,1.18,0.77,0.89,0.92,1.0,,1.01,0.97,,,,,0.98,0.66,1.96,0.82,5.74,1.11,0.46,,,1.12,0.59
WSPM_1_0,0.98,0.94,1.2,,,1.11,0.79,1.02,1.19,0.83,,1.01,1.0,,,,0.28,1.05,0.51,2.25,0.75,1.04,2.14,,,,1.07,0.54
WSPM_0_4,1.52,,,,,0.64,2.59,,,,,0.86,1.41,5.7,4.78,,,,,,,,,16.27,,,0.66,2.1
WSPM_1_3,1.19,0.44,0.95,,,0.65,1.64,1.09,0.87,0.76,,0.71,1.83,,4.28,,0.36,,,0.42,,,,,21.36,,1.0,0.96
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.01,0.97,0.98,1.18,3.99,1.1,0.87,1.06,0.95,0.79,3.99,0.99,1.02,0.66,0.65,3.99,0.74,1.14,0.91,1.21,1.31,1.22,1.15,0.44,1.21,3.99,1.13,0.56
PM10_1,0.96,1.06,1.08,,,0.71,1.41,0.74,1.18,1.7,,1.02,0.93,2.12,2.18,,1.83,0.54,1.28,0.32,0.06,0.33,0.5,2.8,0.33,,0.62,2.38
