,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.0,0.89,,,1.04,0.64,0.58,0.53,,,0.97,0.94,0.58,,0.96,0.59,0.51,0.5,0.44,0.39,0.18,,1.02,0.96,0.43
TEMP_0_0,1.13,1.0,,,1.18,0.71,0.66,0.59,,,1.08,1.06,0.64,,1.06,0.66,0.62,0.56,0.48,0.44,0.2,0.13,1.14,1.07,0.49
TEMP_1_1,,,1.0,,1.9,,1.06,,,,1.76,1.72,,0.21,1.72,1.07,0.94,0.91,0.78,0.71,,,1.85,1.73,0.77
TEMP_0_2,,,,1.0,,,,,0.92,0.35,,,2.13,,3.54,2.23,1.96,1.88,1.62,1.48,,,3.83,3.56,1.62
PRES_0_0,0.96,0.85,0.53,,1.0,0.6,,,,,0.93,0.91,0.55,,0.91,0.57,0.5,0.49,0.42,0.38,0.16,0.12,0.98,0.92,0.41
PRES_1_0,1.55,1.41,,,1.66,1.0,,,,,1.55,1.47,0.9,,1.51,0.93,0.82,0.77,0.65,0.62,0.29,,1.59,1.53,0.68
PRES_0_1,1.74,1.51,0.95,,,,1.0,,,,1.66,1.62,,0.2,1.63,1.02,0.89,0.86,0.74,0.67,0.31,,1.75,1.64,0.73
PRES_1_1,1.89,1.71,,,,,,1.0,,,1.76,1.81,1.09,,1.81,1.13,1.0,0.96,0.83,0.76,0.36,,1.95,1.82,0.86
PRES_1_3,,,,1.09,,,,,1.0,,,,2.32,,3.87,2.43,2.14,2.05,1.77,1.62,,,4.17,3.91,1.77
PRES_1_2,,,,2.87,,,,,,1.0,,,5.96,,9.94,,,,,,,,,9.88,
DEWP_1_0,1.03,0.92,0.57,,1.08,0.65,0.6,0.57,,,1.0,0.97,,,0.98,0.61,0.53,0.51,0.45,0.4,,,1.05,0.99,0.44
DEWP_0_0,1.06,0.94,0.58,,1.1,0.68,0.62,0.55,,,1.03,1.0,,,1.0,0.63,0.56,0.53,0.45,0.42,0.19,0.13,1.08,1.01,0.47
DEWP_0_1,1.74,1.56,,0.47,1.82,1.11,,0.92,0.43,0.17,,,1.0,,1.67,1.04,0.92,0.88,0.76,0.69,0.31,,1.79,1.69,0.75
DEWP_1_1,,,4.8,,,,5.07,,,,,,,1.0,8.04,,,,,,,,8.63,8.25,
WSPM_0_1,1.05,0.94,0.58,0.28,1.1,0.66,0.61,0.55,0.26,0.1,1.02,1.0,0.6,0.12,1.0,,0.47,0.55,0.48,,,,1.08,1.01,0.45
WSPM_0_0,1.68,1.5,0.93,0.45,1.75,1.07,0.98,0.89,0.41,,1.63,1.6,0.96,,,1.0,0.95,0.81,0.71,,,,1.72,1.6,0.71
WSPM_1_1,1.95,1.61,1.06,0.5,1.99,1.22,1.12,1.0,0.47,,1.87,1.8,1.08,,2.11,1.06,1.0,,,,,,1.93,1.86,0.84
WSPM_1_2,1.99,1.77,1.1,0.53,2.06,1.29,1.16,1.05,0.49,,1.96,1.87,1.13,,1.81,1.24,,1.0,,,,,2.01,1.91,0.91
WSPM_1_0,2.29,2.08,1.28,0.62,2.36,1.54,1.34,1.21,0.56,,2.23,2.2,1.31,,2.09,1.4,,,1.0,0.87,,,2.35,2.22,1.01
WSPM_0_2,2.54,2.25,1.41,0.67,2.64,1.61,1.49,1.31,0.62,,2.48,2.36,1.45,,,,,,1.14,1.0,,,2.55,2.48,1.07
WSPM_1_3,5.69,4.95,,,6.13,3.48,3.27,2.79,,,,5.2,3.18,,,,,,,,1.0,,5.61,5.61,
WSPM_0_3,,7.46,,,8.46,,,,,,,7.84,,,,,,,,,,1.0,,7.97,3.42
PM10_0,0.98,0.87,0.54,0.26,1.02,0.63,0.57,0.51,0.24,,0.95,0.93,0.56,0.12,0.93,0.58,0.52,0.5,0.43,0.39,0.18,,1.0,0.95,
PM10_1,1.04,0.93,0.58,0.28,1.09,0.65,0.61,0.55,0.25,0.1,1.01,0.99,0.59,0.12,0.99,0.62,0.54,0.52,0.45,0.4,0.18,0.13,1.06,1.0,0.45
PM10_2,2.34,2.04,1.28,0.62,2.42,1.47,1.35,1.16,0.57,,2.27,2.13,1.33,,2.2,1.41,1.19,1.1,0.99,0.93,,0.29,,2.2,1.0
