,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.01,23.38,191.56,1.07,6.67,72.06,2.06,3.74,7.49,6.16,11.65,12.83,11.06,28.59,1.46,3.13,56.1
PRES_0_1,1.0,1.02,,,1.06,6.7,68.28,2.06,3.67,7.5,6.18,11.63,12.89,11.1,27.62,1.46,3.14,56.32
PRES_0_0,0.35,,67.63,,0.39,,,0.67,2.14,,,3.59,,,22.3,0.58,0.56,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,0.98,0.99,22.93,195.88,1.09,,,1.97,3.8,7.3,6.3,11.41,11.66,11.31,28.23,1.43,3.09,56.16
DEWP_1_0,0.53,0.54,,,,12.27,49.54,1.35,0.84,4.13,,6.2,10.4,,,0.78,1.45,
DEWP_0_0,0.27,0.23,,,,,214.96,0.45,,2.1,,,7.85,,,0.43,,
WSPM_0_1,0.81,0.82,17.22,,0.85,6.62,36.5,2.28,0.73,4.61,,9.17,6.62,,,1.21,2.48,48.6
WSPM_0_2,0.65,0.65,23.13,292.97,0.73,1.48,,0.31,5.4,2.36,,5.0,,,,0.96,1.98,28.07
WSPM_0_0,0.58,0.58,,,0.61,3.91,,0.88,1.0,8.13,1.63,10.88,11.45,,16.17,0.85,1.84,32.04
WSPM_0_3,0.55,0.56,,,0.62,,,,,1.8,10.79,3.12,,,,0.74,1.95,49.07
WSPM_1_0,0.54,0.55,,,0.57,3.66,,1.02,1.33,6.58,1.77,8.93,8.41,,,0.76,1.76,30.19
WSPM_1_1,0.47,0.48,,,0.46,5.23,101.46,1.01,,4.1,,4.17,18.96,,,0.69,1.54,
WSPM_0_4,0.45,0.46,,,0.5,,,,,,,,,24.01,,0.64,1.33,
WSPM_1_2,0.34,0.33,,,0.38,,,,,2.43,,,,,70.89,0.55,0.67,
PM10_0,0.91,0.91,25.31,211.52,0.96,6.29,77.58,1.88,3.36,7.01,5.12,11.07,12.71,10.08,31.22,1.47,2.13,36.49
PM10_1,0.73,0.75,,,0.8,3.93,,1.49,2.86,5.02,5.26,7.5,7.47,6.96,,0.82,3.28,49.97
PM10_2,0.31,0.31,,,0.34,,,0.58,,2.54,2.91,3.71,,,,0.22,1.38,90.58
