,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,4.66,4.69,,,3.42,8.94,1.98,4.41,,,3.94,3.83,1.88,,4.27,23.88,27.52,19.87,80.05,13.24,55.48,76.96,3.45,4.79,38.33
TEMP_0_0,2.66,7.29,,,2.37,12.68,0.53,19.37,,,1.58,3.78,12.7,,3.8,25.46,25.52,15.95,88.0,31.05,208.82,430.52,3.54,4.39,39.46
TEMP_1_1,,0.43,50.16,,0.37,0.48,37.14,,,,4.96,1.98,,1117.58,4.56,23.87,30.18,24.18,83.99,11.02,,,3.99,5.17,31.71
TEMP_0_2,,,,926.01,,,,,1154.62,7069.77,,,44.66,,3.66,25.33,17.72,8.99,100.25,34.08,,,3.7,4.49,32.36
PRES_0_0,4.26,5.29,1.09,,3.98,6.91,,1.99,,,3.73,3.92,3.43,,4.28,23.36,26.14,18.5,81.96,17.69,39.81,335.67,3.34,4.81,41.38
PRES_1_0,2.99,6.49,,,2.27,27.53,,,,,2.09,4.11,8.25,,3.96,25.77,23.76,17.81,87.87,24.16,215.45,,3.67,4.42,41.97
PRES_0_1,0.96,0.63,41.37,,,,40.31,,,,5.06,1.69,,1001.63,4.79,23.2,28.42,19.96,84.36,9.88,146.09,,4.04,5.13,27.73
PRES_1_1,2.5,7.5,,,0.59,,,62.47,,,0.4,3.49,18.28,,3.02,28.58,34.39,21.51,82.99,32.65,161.62,,3.7,4.09,30.47
PRES_1_3,,,,928.63,,,,,1313.49,,,,44.78,,3.28,26.38,21.07,10.7,104.32,40.54,,,3.79,4.39,34.58
PRES_1_2,,,,906.57,,,,,,58423.82,,,43.72,,5.62,18.96,,,78.24,,,,,4.93,
DEWP_1_0,3.32,3.23,13.65,,2.62,6.31,12.52,1.47,,,5.27,2.38,0.46,,4.85,23.16,25.55,15.15,86.88,12.48,14.46,,3.5,4.98,34.81
DEWP_0_0,3.68,6.39,2.05,,2.75,11.44,1.61,11.36,,,1.94,5.79,,,3.65,26.28,30.0,22.43,79.85,16.92,171.38,468.42,3.72,4.43,38.87
DEWP_0_1,1.28,5.77,,228.87,1.54,9.42,,25.46,260.58,2420.16,,,44.87,,3.23,23.72,21.71,19.41,86.94,51.96,178.59,,3.32,4.5,43.88
DEWP_1_1,,,50.33,,,,40.43,,,,,,,25277.56,5.78,20.0,31.03,,114.62,,,,4.38,5.55,
WSPM_0_1,3.23,4.64,7.36,35.81,2.5,9.67,7.2,6.69,38.43,556.42,3.47,3.34,5.56,210.34,5.66,22.54,24.17,12.06,91.39,3.37,21.33,,3.55,4.85,33.85
WSPM_0_0,3.14,4.84,6.81,31.23,2.52,7.87,5.53,10.77,39.58,,2.99,3.45,6.03,,3.02,33.74,30.44,15.45,103.99,10.78,77.18,,3.93,4.42,32.63
WSPM_1_1,3.27,4.91,7.62,29.4,2.43,6.91,6.34,11.46,36.83,,2.88,3.72,5.67,,3.78,26.31,55.41,14.45,73.71,8.0,,,3.67,4.69,34.8
WSPM_1_2,3.14,5.08,9.09,16.39,2.67,7.6,6.71,10.52,23.18,,3.2,3.88,6.81,,2.99,24.22,12.78,69.85,58.42,13.58,,,3.7,4.59,49.37
WSPM_1_0,3.09,5.02,6.67,41.61,2.43,9.01,5.73,9.01,46.73,,2.96,3.32,7.14,,3.82,30.06,26.79,9.94,105.61,9.89,,,3.7,4.46,33.8
WSPM_0_2,2.61,5.48,4.36,69.02,2.36,10.72,3.5,13.79,70.62,,1.97,2.33,19.19,,1.36,9.85,12.34,4.44,50.06,187.97,,,2.37,4.68,61.48
WSPM_1_3,2.5,5.94,,,2.26,10.16,8.4,9.69,,,2.25,4.18,11.76,,1.64,10.5,,,14.44,,4466.53,,4.35,4.82,18.77
WSPM_0_3,4.22,7.5,,,3.21,,,,,,,5.91,,,,10.29,,,40.92,,,21993.86,,5.17,75.81
PM10_0,2.95,4.96,7.32,33.62,2.29,9.3,6.64,10.43,42.86,,2.89,3.67,6.66,219.84,3.7,27.16,29.79,22.73,85.26,15.07,173.8,,4.28,3.98,24.79
PM10_1,3.27,4.68,7.46,38.09,2.55,8.14,6.6,8.31,38.03,721.89,3.25,3.25,6.16,116.84,4.58,23.26,25.55,15.92,85.61,19.49,45.52,244.87,3.26,5.43,34.3
PM10_2,3.57,5.46,4.25,22.14,3.32,9.96,3.73,5.48,26.1,,3.38,3.05,12.34,,4.18,16.36,17.76,8.43,71.49,50.45,,1033.06,1.14,4.88,122.49
