,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,1.0,,,,,0.96,0.9,0.84,0.81,0.77,,1.01,0.9,0.58,0.54,,0.88,0.87,0.85,0.81,0.8,0.77,0.76,0.76,0.7,,1.02,0.89
TEMP_0_1,,1.0,,,,1.07,1.04,0.91,0.92,0.88,,1.15,,,,,1.0,0.99,0.96,0.91,0.91,0.86,0.86,,1.01,,1.15,1.02
TEMP_0_0,,,0.99,0.41,2.13,1.17,,0.95,0.97,0.93,2.13,,1.07,,,2.13,1.06,1.06,0.98,0.99,0.97,0.94,0.93,,0.86,2.13,1.21,1.04
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.05,0.94,0.87,,,1.0,,,1.12,0.81,,1.06,0.94,,,,0.92,0.92,0.9,0.85,0.85,0.81,0.8,0.79,0.75,,1.07,0.93
PRES_1_3,1.11,0.96,,,,,1.0,,,0.6,,1.12,0.99,0.64,0.59,,0.97,0.96,0.91,0.9,0.89,0.87,0.84,0.85,0.79,,1.12,0.98
PRES_1_1,1.17,1.08,0.99,0.59,,,,0.99,1.22,1.06,,1.22,1.07,,0.87,,1.11,1.01,1.08,0.95,0.96,0.95,0.91,,1.01,,1.23,1.12
PRES_1_0,1.23,1.09,1.03,,1.53,1.11,,0.84,1.0,0.95,1.53,1.26,1.1,,,1.53,1.02,1.13,1.0,1.04,1.4,0.95,0.97,,1.08,1.53,1.24,1.1
PRES_0_0,1.29,1.14,1.08,,,1.44,1.22,0.92,1.01,1.0,,1.34,1.12,0.77,0.66,,1.16,1.09,1.18,0.98,0.77,0.82,0.95,,,,1.32,1.15
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.99,0.87,,,,0.94,0.89,0.81,0.79,0.75,,1.0,,,0.53,,0.86,0.86,0.83,0.79,0.79,0.75,0.75,0.76,0.73,,1.0,0.88
DEWP_0_1,1.11,0.94,0.93,0.54,1.98,1.08,0.99,0.91,0.91,0.88,1.98,1.08,1.0,,0.6,1.98,1.0,0.97,0.95,0.92,0.91,0.87,0.86,0.8,0.8,1.98,1.14,0.98
DEWP_0_0,1.73,,,,,,,,1.65,1.34,,,,1.0,0.93,,1.52,,,,,,,,,,1.76,1.54
DEWP_1_0,1.86,,,,,,,,,,,,,,1.0,,1.95,,,,,,,,,,,1.93
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.14,1.0,0.9,,,1.09,1.03,0.87,0.92,0.82,,1.16,0.97,0.61,0.45,,1.0,1.1,,1.3,0.47,1.22,0.94,,,,1.16,0.95
WSPM_0_1,1.14,1.0,0.95,,,1.1,1.02,0.92,0.89,0.86,,1.16,1.03,,,,0.91,1.0,0.84,0.99,0.92,0.88,0.91,0.77,1.18,,1.14,1.02
WSPM_0_2,1.17,1.04,1.05,0.71,,1.1,1.08,0.92,0.98,0.73,,1.2,1.06,,,,,1.19,1.0,1.04,0.79,0.82,1.04,,,,1.23,0.96
WSPM_0_0,1.23,1.09,1.0,,,1.18,1.13,1.04,1.0,1.12,,1.26,1.08,,,,0.79,0.97,1.08,1.0,1.19,0.95,0.93,,1.07,,1.25,1.15
WSPM_1_2,1.25,1.1,1.04,,,1.2,1.13,1.08,1.05,1.42,,1.27,1.11,,,,2.07,1.1,1.23,0.95,1.0,0.96,0.78,,,,1.26,2.76
WSPM_1_1,1.3,1.15,1.05,,,1.23,1.12,1.08,1.1,1.19,,1.32,1.14,,,,,1.15,1.29,0.95,1.02,1.0,0.9,,,,1.32,1.52
WSPM_1_0,1.3,1.14,1.08,,,1.26,1.19,1.1,1.1,1.16,,1.33,1.16,,,,0.95,1.11,1.04,1.08,1.14,1.04,1.0,,,,1.32,1.25
WSPM_0_4,1.33,,,,,1.27,1.2,,,,,1.31,1.25,0.75,0.68,,,,,,,0.83,0.56,1.0,,,1.33,1.11
WSPM_1_3,1.4,1.2,1.16,,,1.34,1.26,1.14,1.13,,,1.41,1.24,,,,,,,0.88,,,0.77,,1.0,,1.36,2.32
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.98,0.87,0.81,0.47,1.23,0.94,0.89,0.8,0.81,0.79,1.23,1.0,0.87,0.61,1.06,1.23,0.84,0.88,0.81,0.81,0.84,0.76,0.76,0.74,0.79,1.23,1.0,0.87
PM10_1,1.12,0.99,0.94,,,1.07,1.02,0.89,0.88,0.84,,1.13,1.01,0.61,0.45,,1.03,0.86,1.01,0.81,0.31,0.76,0.79,0.85,0.42,,1.14,1.0
