,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,1.0,,,,,0.92,0.82,0.68,0.66,0.6,,1.03,0.81,0.34,0.3,,0.78,0.77,0.73,0.66,0.65,0.6,0.59,0.58,0.51,,1.03,0.8
TEMP_0_1,,1.0,,,,1.17,1.06,0.86,0.85,0.78,,1.32,,,,,1.0,0.99,0.93,0.85,0.84,0.77,0.76,,0.75,,1.33,1.03
TEMP_0_0,,,1.0,,,1.33,,0.95,0.95,0.87,,,1.15,,,,1.12,1.11,1.01,0.96,0.93,0.86,0.86,,0.75,,1.48,1.13
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.09,0.86,0.76,,,1.0,,,,0.66,,1.13,0.88,,,,0.85,0.84,0.79,0.73,0.72,0.65,0.64,0.63,0.57,,1.13,0.87
PRES_1_3,1.22,0.94,,,,,1.0,,,,,1.25,0.98,0.42,0.36,,0.95,0.94,0.86,0.81,0.79,0.74,0.72,0.71,0.63,,1.26,0.97
PRES_1_1,1.45,1.15,1.02,0.36,,,,1.0,,1.0,,1.51,1.18,,0.56,,1.17,1.09,1.09,0.97,0.94,0.9,0.88,,0.82,,1.52,1.19
PRES_1_0,1.51,1.17,1.05,,,,,,1.0,0.91,,1.56,1.21,,,,1.13,1.2,1.06,1.03,1.18,0.91,0.91,,0.87,,1.55,1.21
PRES_0_0,1.66,1.29,1.15,,,1.73,,0.94,1.08,1.0,,1.72,1.31,0.61,,,1.31,1.3,1.28,1.08,0.88,0.87,1.02,,,,1.72,1.28
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.97,0.75,,,,0.89,0.8,0.66,0.64,0.58,,1.0,,,0.29,,0.75,0.75,0.7,0.64,0.63,0.58,0.57,0.56,0.52,,1.0,0.77
DEWP_0_1,1.24,,0.87,0.3,,1.15,1.01,0.84,0.82,0.76,,,1.0,,0.37,,0.97,0.96,0.9,0.84,0.81,0.74,0.75,0.69,0.65,,1.29,0.98
DEWP_0_0,2.93,,,,,,,,,1.77,,,,1.0,0.87,,2.27,,,,,,,,,,3.26,2.33
DEWP_1_0,3.38,,,,,,,,,,,,,,1.0,,3.12,,,,,,,,,,,3.13
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.29,1.0,0.88,,,1.18,1.06,0.84,0.85,0.75,,1.33,1.02,0.44,0.31,,1.0,1.0,,1.28,,,0.82,,,,1.34,0.99
WSPM_0_1,1.29,1.0,0.9,,,1.19,1.05,0.87,0.84,0.75,,1.33,1.04,,,,1.0,1.0,0.93,0.95,0.81,0.74,0.8,,,,1.32,1.05
WSPM_0_2,1.38,1.08,1.0,,,1.25,1.15,0.91,0.93,0.76,,1.43,1.11,,,,,1.08,1.0,1.06,,0.72,0.97,,,,1.46,1.04
WSPM_0_0,1.51,1.17,1.03,,,1.38,1.25,1.03,0.98,1.03,,1.55,1.19,,,,0.84,1.07,1.1,1.0,1.19,0.86,0.9,,0.84,,1.56,1.14
WSPM_1_2,1.54,1.2,1.07,,,1.4,1.26,1.06,1.12,1.26,,1.59,1.24,,,,,1.23,,0.96,1.0,1.04,0.75,,,,1.57,2.28
WSPM_1_1,1.68,1.3,1.17,,,1.54,1.33,1.13,1.1,1.08,,1.73,1.35,,,,,1.38,1.32,1.03,0.94,1.0,0.79,,,,1.73,1.78
WSPM_1_0,1.69,1.31,1.16,,,1.55,1.39,1.16,1.13,1.03,,1.75,1.34,,,,1.14,1.3,0.99,1.14,1.28,1.16,1.0,,,,1.73,1.4
WSPM_0_4,1.74,,,,,1.6,1.43,,,,,1.77,1.44,0.6,0.52,,,,,,,,,1.0,,,1.8,1.34
WSPM_1_3,1.92,1.46,1.34,,,1.76,1.57,1.3,1.21,,,1.97,1.53,,,,,,,0.99,,,,,1.0,,1.92,2.33
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.97,0.75,0.67,0.22,0.51,0.89,0.79,0.65,0.65,0.59,0.51,1.0,0.77,0.32,,0.51,0.74,0.76,0.68,0.64,0.65,0.58,0.58,0.55,0.54,0.51,1.0,0.77
PM10_1,1.25,0.98,0.88,,,1.15,1.03,0.83,0.8,0.75,,1.29,1.02,0.45,0.3,,1.0,0.89,0.94,0.85,0.39,0.68,0.71,0.73,0.42,,1.3,1.0
