,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.47,,0.98,0.64,0.37,0.86,0.74,0.67,0.65,0.64,0.58,0.56,0.46,0.98,0.65
PRES_0_1,1.0,1.0,,,0.99,0.64,0.4,0.86,0.74,0.67,0.65,0.64,0.58,0.56,0.47,0.98,0.65
PRES_0_0,3.13,,0.63,,3.08,,,2.78,1.96,,,,,,0.98,2.99,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.47,,0.99,,,0.89,0.74,0.69,0.65,0.66,0.61,0.57,0.47,1.0,0.66
DEWP_1_0,1.97,1.96,,,,0.76,,1.55,2.23,1.32,,1.25,0.96,,,1.93,1.47
DEWP_0_0,4.39,4.5,,,,,0.57,,,,,,1.64,,,4.18,
WSPM_0_1,1.26,1.25,0.61,,1.25,0.73,,0.92,,,,0.94,0.84,,,1.23,0.81
WSPM_0_2,1.58,1.59,0.61,,1.53,1.46,,,0.83,,,1.35,,,,1.55,1.0
WSPM_0_0,1.81,1.8,,,1.78,1.14,,,,0.86,,0.86,1.3,,,1.76,1.25
WSPM_0_3,1.9,1.89,,,1.84,,,,,,0.77,1.66,,,,1.89,1.11
WSPM_1_0,1.95,1.95,,,1.92,1.25,,1.8,1.82,1.04,1.9,0.98,,,,1.89,1.42
WSPM_1_1,2.27,2.26,,,2.31,1.21,0.61,3.43,,1.28,,,0.75,,,2.19,1.75
WSPM_0_4,2.36,2.35,,,2.28,,,,,,,,,0.71,,2.33,1.69
WSPM_1_2,3.19,3.24,1.02,,3.15,,,,,,,,,,0.63,3.04,
PM10_0,1.04,1.03,0.47,,1.02,0.66,0.38,0.89,0.76,0.7,0.68,0.67,0.59,0.59,0.47,0.99,0.87
PM10_1,1.89,1.88,,,1.85,1.38,,1.65,1.47,1.2,1.13,1.1,1.23,1.17,,2.38,0.82
