,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,0.35,,,,,0.58,1.01,3.35,3.34,4.48,,0.36,1.36,40.94,77.58,,1.27,1.35,1.95,2.8,3.01,4.52,4.4,4.11,7.18,,0.47,0.99,2.48
TEMP_0_1,,0.02,,,,0.03,0.03,0.06,0.09,0.15,,0.01,,,,,0.05,0.05,0.05,0.09,0.09,0.14,0.15,,0.41,,0.02,0.03,0.09
TEMP_0_0,,,0.01,,,0.01,,0.02,0.01,0.02,,,,,,,0.01,0.01,0.02,0.02,0.03,0.03,0.03,,0.06,,,0.01,0.02
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,0.12,0.57,0.71,,,0.13,,,,,,0.11,0.38,,,,0.38,0.41,0.63,0.77,0.9,1.2,1.26,1.93,2.96,,0.14,0.31,1.01
PRES_1_3,0.03,0.08,,,,,0.04,,,,,0.02,0.11,,,,0.11,0.1,0.11,0.21,0.21,0.35,0.35,0.22,0.43,,0.04,0.07,0.14
PRES_1_1,,,0.01,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.02,0.02,,0.04,,,0.01,0.02
PRES_1_0,,0.01,0.01,,,,,,,0.01,,,,,,,0.01,,0.01,0.01,0.02,0.02,0.02,,0.03,,,,0.01
PRES_0_0,,,,,,,,,,,,,,0.02,,,,,,,,0.01,0.01,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.61,1.68,,,,0.91,1.43,4.54,4.26,6.37,,0.48,,,,,1.84,2.03,2.52,3.97,4.68,6.27,6.38,8.06,13.72,,0.71,1.4,3.69
DEWP_0_1,0.03,,0.06,,,0.04,0.07,0.09,0.12,0.2,,,0.03,,,,0.1,0.06,0.13,0.13,0.13,0.23,0.23,0.23,0.31,,0.02,0.05,0.14
DEWP_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,0.01,0.05,0.09,,,0.02,0.04,0.08,0.11,0.11,,0.01,0.05,0.9,1.68,,0.02,,,,,,0.4,,,,0.02,0.03,0.06
WSPM_0_1,0.01,0.05,0.06,,,0.02,0.04,0.1,0.07,0.12,,0.01,0.03,,,,,0.02,,,,0.3,0.19,,,,0.02,0.03,0.12
WSPM_0_2,0.01,0.01,0.03,,,0.01,0.01,0.04,0.03,0.05,,,0.02,,,,,,0.01,,,,0.13,,,,0.01,0.01,0.03
WSPM_0_0,,0.01,0.01,,,,,0.01,0.01,0.03,,,,,,,,,,,0.02,0.02,0.01,,,,,0.01,0.02
WSPM_1_2,,,0.01,,,,,0.01,0.01,0.02,,,,,,,,,,0.01,,,,,,,,0.01,
WSPM_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_1_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.3,0.98,1.58,,,0.43,0.79,1.68,1.99,4.28,,0.27,0.78,,,,1.28,0.91,1.61,1.54,1.7,2.55,2.68,7.63,4.81,,0.27,1.6,
PM10_1,0.04,0.11,0.18,,,0.06,0.09,0.24,0.21,0.27,,0.03,0.11,3.01,,,0.09,0.12,0.13,0.42,0.49,0.57,0.55,0.33,1.5,,0.1,0.05,0.35
PM10_2,,0.01,0.01,,,,,0.02,0.01,0.01,,,0.01,,,,,0.01,0.01,0.03,,,0.03,0.01,0.04,,,0.01,
