,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.83,0.74,,,,1.8299999999999998,1.18,0.51,1.16,0.25,,,1.8299999999999998,1.3,0.6,0.3,0.04,0.04,1.8299999999999998,0.82,0.74,0.5,0.67,1.01,1.85,0.68,0.32,0.17,1.8299999999999998,0.98,1.28,0.9
TEMP_0_0,0.81,1.87,0.02,,,,0.52,1.29,0.58,0.42,,,,0.75,1.25,0.01,0.49,0.7,,0.76,0.81,0.65,0.18,1.26,1.84,0.92,0.82,0.26,,1.09,1.19,0.73
TEMP_1_1,,,2.77,,,,1.19,,0.7,,1.9,,,0.38,0.06,2.17,,,,0.65,1.33,0.3,0.27,1.34,2.77,0.59,0.13,,,1.34,1.07,0.07
TEMP_0_2,,,,4.84,,,0.09,,,1.35,,3.45,,0.64,0.8,,,1.81,,0.27,0.5,0.33,1.65,1.1,1.56,0.66,0.6,,,0.98,0.98,1.04
TEMP_0_1,,,,,5.59,,0.22,0.47,0.22,1.96,,1.16,,0.08,,,3.85,,,0.24,0.16,1.84,,1.26,1.57,0.75,0.41,1.42,,0.95,1.29,1.86
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.11,0.57,0.87,0.03,0.04,2.28,2.1,0.13,0.75,0.03,,,2.28,1.06,0.36,0.79,0.08,0.07,2.28,0.73,0.89,0.54,0.58,0.96,2.01,0.44,0.34,0.11,2.28,1.0,1.32,0.84
PRES_1_1,0.88,1.57,,,0.22,,0.18,2.13,0.06,,,,,0.72,0.86,,0.68,0.82,,0.74,0.84,0.73,0.21,1.19,1.91,0.88,0.66,0.28,,1.04,1.19,0.89
PRES_1_0,1.35,0.95,0.5,,,,0.85,0.04,2.57,,,,,1.13,0.87,0.52,0.12,,,0.58,0.8,0.55,0.66,1.27,1.94,0.72,0.47,0.2,,1.2,1.19,0.41
PRES_1_2,0.8,0.93,,1.04,1.44,,0.07,,,3.56,,,,0.76,1.38,,0.97,,,0.7,0.49,0.53,0.51,1.64,2.03,1.12,0.63,0.49,,1.07,1.17,0.81
PRES_0_1,,,2.72,,,,,,,,5.16,,,,,2.81,,,,1.08,1.29,,,1.31,2.74,0.8,,,,1.29,0.96,0.09
PRES_1_3,,,,3.83,1.17,,0.11,,,,,5.62,,0.25,0.48,,0.83,2.33,,0.34,0.65,0.86,0.92,0.74,1.27,0.88,0.47,0.37,,1.03,0.84,1.57
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
