,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,0.95,,,,,0.94,0.9,0.93,0.79,0.66,,1.02,0.97,0.42,0.3,,0.82,0.78,0.81,0.6,0.67,0.59,0.5,0.67,0.58,,1.01,0.77
TEMP_0_1,,0.82,,,,1.34,1.09,0.84,0.88,0.78,,1.24,,,,,1.06,0.96,0.89,0.72,0.79,0.68,0.6,,1.38,,1.25,0.94
TEMP_0_0,,,0.76,0.21,0.81,1.44,,0.93,0.84,0.77,0.81,,0.93,,,0.81,1.25,1.02,1.06,0.81,0.98,0.77,0.66,,0.85,0.81,1.38,1.0
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.08,1.14,0.92,,,0.9,,,1.41,0.88,,1.13,1.03,,,,0.88,0.85,0.89,0.64,0.72,0.61,0.53,0.83,0.74,,1.09,0.84
PRES_1_3,1.22,0.96,,,,,0.84,,,0.83,,1.21,1.18,0.51,0.36,,1.09,0.94,0.86,0.73,0.81,0.73,0.59,0.72,0.68,,1.22,0.88
PRES_1_1,1.5,1.11,0.99,0.28,,,1.89,0.74,1.42,1.05,,1.57,1.07,,0.54,,1.21,1.01,1.22,0.75,0.87,0.83,0.63,,1.17,,1.4,1.16
PRES_1_0,1.63,1.27,0.99,,0.6000000000000001,2.04,,1.25,0.74,0.71,0.6000000000000001,1.58,1.21,,,0.6000000000000001,1.17,1.09,1.03,0.91,1.64,0.78,0.74,,1.01,0.6000000000000001,1.42,1.09
PRES_0_0,1.7,1.43,1.13,,,2.62,1.56,1.07,0.82,0.71,,1.75,1.28,0.49,0.36,,1.28,1.09,1.26,0.97,0.79,0.81,0.78,,,,1.62,1.11
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.99,0.81,,,,0.93,0.87,0.83,0.71,0.62,,0.96,1.53,0.55,0.38,,0.79,0.76,0.73,0.58,0.66,0.56,0.47,0.74,0.69,,0.98,0.74
DEWP_0_1,1.32,1.8,0.76,0.28,0.81,1.25,1.17,0.85,0.85,0.77,0.81,2.1,0.83,0.47,0.38,0.81,1.21,0.9,1.04,0.73,0.77,0.71,0.6,0.74,0.68,0.81,1.23,0.93
DEWP_0_0,2.5,,,,,,,,1.64,1.24,,,,0.51,0.42,,1.8,,,,,,,,,,2.37,1.78
DEWP_1_0,2.85,,,,,,,,,,,,,,0.49,,2.46,,,,,,,,,,2.65,2.43
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.27,1.13,1.02,,,1.19,1.24,0.86,0.9,0.73,,1.28,1.11,0.39,0.22,,0.81,1.35,1.13,1.18,0.64,1.08,0.77,,,,1.28,0.8
WSPM_0_1,1.32,1.12,0.97,,0.8699999999999999,1.27,1.18,1.02,0.79,0.74,0.8699999999999999,1.33,1.11,,,0.8699999999999999,1.05,0.83,0.99,0.75,0.82,0.75,0.6,1.42,1.29,0.8699999999999999,1.25,0.97
WSPM_0_2,1.39,1.09,1.27,0.43,,1.27,1.17,1.0,0.92,0.58,,1.37,1.35,,,,2.32,1.35,0.78,0.89,1.08,0.77,0.73,,,,1.39,0.87
WSPM_0_0,1.5,1.28,1.06,,,1.36,1.37,1.17,1.12,1.27,,1.54,1.24,,,,1.37,1.0,1.2,0.76,1.12,0.79,0.63,1.3,1.51,,1.45,1.26
WSPM_1_2,1.54,1.24,1.28,,,1.46,1.36,1.14,1.52,1.5,,1.62,1.26,,,,2.32,1.16,1.17,0.78,0.74,0.75,0.63,,1.79,,1.46,3.79
WSPM_1_1,1.68,1.39,1.16,,,1.44,1.45,1.4,1.32,1.13,,1.67,1.38,,,,1.43,1.23,1.5,0.83,1.14,0.71,0.72,,,,1.58,1.8
WSPM_1_0,1.64,1.43,1.28,,,1.54,1.54,1.37,1.22,1.2,,1.69,1.44,,,,1.39,1.11,1.27,0.89,1.17,0.95,0.73,,,,1.59,1.29
WSPM_0_4,1.56,,,,,1.76,1.24,,,,,1.68,1.51,0.41,0.33,,,1.37,,,,0.96,0.58,0.68,,,1.66,1.08
WSPM_1_3,1.8,1.83,1.51,,,1.92,1.49,1.43,1.61,,,2.02,1.43,,,,,,,0.82,0.83,,0.75,,0.65,,1.71,3.51
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.0,0.86,0.79,0.3,0.48,0.93,0.9,0.77,0.75,0.65,0.48,1.02,0.86,0.6,0.59,0.48,0.83,0.76,0.73,0.57,0.67,0.56,0.48,0.79,0.71,0.48,0.96,0.78
PM10_1,1.27,1.07,1.01,,,1.26,1.06,0.92,0.79,0.7,,1.26,1.13,0.38,0.23,,0.98,0.84,1.0,0.72,0.33,0.62,0.59,0.71,0.37,,1.28,0.83
