,ENE_0,NE_0,E_0,ESE_0,SE_0,N_0,SW_0,NNE_0,NW_0,SSW_0,SSE_0,NNW_0,S_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,E_1,NE_1,NW_2,NW_1,NE_3,ESE_1,SW_1,SW_2,NNE_2,NE_6,NNW_1,WSW_1,SE_1,WNW_1,S_1,WSW_2,ENE_2,N_1,ENE_3,ESE_2,NW_3,nan_0,NE_2,NE_4,E_2,WNW_2,SSE_1,SSW_1,WSW_4,SW_3,NW_4,WNW_3,S_2,WSW_3,ENE_7,SE_4,ENE_4,N_2,W_1,ENE_5,WNW_4,SSW_2,NNW_2,WNW_6,ESE_3,E_3,NNW_3,SSW_3,W_2,ESE_5,S_3,NNW_4,SE_3,N_3,SE_2,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE_0,1.0,0.97,0.97,0.85,0.9,0.82,0.85,0.85,0.73,0.72,0.88,0.86,0.84,0.79,0.69,0.92,0.59,0.57,0.63,0.79,,,,,,,0.56,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.19,1.6,1.19,1.43,1.48,1.54,1.33,1.52,1.35,1.7,,1.65,1.03
NE_0,1.01,1.0,0.95,0.9,0.81,0.82,0.92,0.85,0.82,0.94,0.8,0.78,0.85,0.89,0.72,0.83,0.75,0.59,0.6,0.64,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.21,1.61,1.25,1.47,1.49,1.55,1.39,1.55,1.39,1.73,,1.67,1.01
E_0,1.02,1.04,1.0,0.89,0.92,0.95,0.77,0.83,0.7,0.7,0.76,0.83,0.8,0.77,0.79,0.91,0.61,0.77,0.63,0.81,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.21,1.66,1.23,1.45,1.5,1.59,1.37,1.56,1.43,1.74,,1.68,0.98
ESE_0,1.16,1.1,1.11,1.0,0.95,0.94,0.78,0.94,0.7,0.76,0.72,1.0,0.8,0.81,0.89,0.9,0.66,,0.71,0.6,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,1.24,1.75,1.31,1.58,1.56,1.69,1.44,1.67,1.46,1.85,,1.79,1.08
SE_0,1.11,1.24,1.06,1.1,1.0,1.15,0.86,1.15,0.84,0.91,0.92,0.77,0.92,0.94,0.83,0.83,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.33,1.9,1.41,1.75,1.67,1.81,1.58,1.78,1.58,1.99,,1.93,1.45
N_0,1.16,1.18,1.1,1.01,0.92,1.0,1.04,1.01,1.05,0.8,0.75,0.9,1.19,0.96,0.89,0.88,0.9,,,,,,,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,1.48,1.86,1.54,1.75,1.76,1.8,1.67,1.86,1.6,2.01,,1.92,1.13
SW_0,1.11,1.09,1.28,1.27,1.25,0.91,1.0,0.9,0.98,1.04,1.27,0.96,1.05,0.83,0.95,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.34,1.92,1.28,1.87,1.66,1.91,1.53,1.73,1.77,2.04,,1.96,1.53
NNE_0,1.21,1.18,1.16,1.09,0.86,1.0,0.94,1.0,0.97,0.65,0.97,1.02,0.83,0.65,0.81,0.92,0.88,0.98,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,1.46,1.86,1.48,1.71,1.84,1.83,1.65,1.84,1.6,2.04,,1.96,1.16
NW_0,1.47,1.22,1.54,1.37,1.16,0.96,0.97,1.06,1.0,1.22,1.07,0.97,,0.8,0.93,0.83,,,,,0.61,0.69,,,,,,,0.72,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.85,1.93,1.77,1.83,1.77,1.85,1.76,1.97,1.62,2.08,,2.07,1.32
SSW_0,1.45,1.15,1.49,1.35,1.11,1.23,0.98,1.58,0.92,1.0,1.01,0.93,0.98,0.92,0.82,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.5,1.95,1.45,1.89,1.71,1.96,1.58,1.82,1.73,2.09,,2.02,1.44
SSE_0,1.12,1.25,1.31,1.33,1.11,1.29,0.89,1.1,0.96,0.92,1.0,0.95,0.96,0.93,0.91,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,1.43,2.03,1.48,1.92,1.67,1.96,1.67,1.87,1.85,2.13,,2.06,1.42
NNW_0,1.27,1.31,1.21,0.97,1.42,1.05,1.2,0.95,1.06,1.05,1.11,1.0,1.34,0.99,0.97,0.76,0.81,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.77,1.97,1.95,1.84,1.81,1.94,1.69,2.01,1.7,2.13,,2.09,1.35
S_0,1.17,1.16,1.3,1.22,1.04,0.91,1.04,1.26,1.03,0.99,1.03,0.71,1.0,1.03,1.01,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,1.46,2.03,1.41,1.93,1.74,2.05,1.62,1.87,1.82,2.15,,2.06,1.57
WSW_0,1.2,1.13,1.32,1.22,1.06,1.08,1.17,1.4,1.26,1.11,1.19,0.94,0.95,1.0,1.04,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,1.4,2.1,1.45,2.0,1.81,2.09,1.69,1.93,1.83,2.21,,2.14,1.49
WNW_0,1.5,1.34,1.28,1.1,1.17,1.09,1.04,1.21,1.12,1.28,1.13,1.01,0.99,0.97,1.0,1.03,,,,,0.75,0.79,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,1.98,2.04,1.91,1.94,1.91,1.95,1.83,2.02,1.73,2.21,,2.16,1.41
