,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,temp_4,temp_3,temp_5,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.01,1.05,1.01,1.0,0.91,0.85,0.9,0.63,1.01,1.05,1.05,1.29,0.88,1.04
sky is clear,1.14,1.0,,0.95,0.87,,0.82,,1.16,1.06,1.06,0.98,1.17,0.97
mist,1.22,,1.01,,,0.97,,1.03,1.19,1.12,1.02,1.12,1.33,1.27
broken clouds,0.99,0.99,,0.98,1.12,1.02,0.95,,1.26,1.17,0.95,1.18,1.07,1.09
few clouds,1.03,1.05,,0.97,0.99,,0.87,,0.97,1.14,1.02,1.27,1.12,1.1
light rain,1.83,,1.09,,,1.04,,1.01,1.42,1.16,1.29,1.23,1.69,1.49
scattered clouds,1.23,1.23,,1.0,0.86,,0.99,,1.22,1.05,,1.31,0.95,1.0
light intensity drizzle,1.9,,1.09,,,1.11,,1.04,1.32,,,1.35,1.63,1.45
moderate rain,,,1.25,,,1.19,,1.44,1.77,,,1.41,,
haze,,,1.22,,,,,,,,,,,1.34
drizzle,,,1.29,,,1.22,,1.21,1.52,,,,,
fog,,,1.25,,,,,,,,,,,
heavy snow,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,
temp_4,1.1,0.89,0.86,0.85,0.89,0.79,0.75,0.8,1.0,0.87,1.18,1.08,0.95,0.96
temp_3,0.95,0.9,0.91,0.87,0.83,1.03,0.83,1.27,1.24,1.01,,1.03,1.16,1.14
temp_5,1.1,1.1,0.96,0.95,1.11,0.93,,0.9,1.03,,0.99,1.22,0.97,1.03
temp_2,1.1,1.1,,1.12,0.93,,0.88,,0.88,1.11,,0.74,1.68,1.31
temp_6,,1.15,,,0.87,,0.93,,,,0.93,1.54,,
temp_7,,,,,,,,,,,,,,
traffic_volume_2,0.87,0.97,0.95,0.87,0.8,0.93,0.78,0.93,0.96,1.03,0.8,0.99,1.48,0.98
traffic_volume_0,1.24,0.76,0.8,0.87,0.83,0.79,0.76,0.77,1.18,0.94,1.23,0.82,1.0,1.05
traffic_volume_1,1.13,1.03,0.9,0.89,0.96,0.87,0.91,0.87,1.05,0.92,1.14,1.55,0.77,1.0
