,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,temp_4,temp_3,temp_5,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,0.88,1.2,1.06,0.82,0.88,0.7,0.79,0.5,1.15,1.1,1.14,1.46,0.93,0.98
sky is clear,1.42,0.85,,0.91,0.7,,0.7,,1.35,1.19,1.19,1.14,1.27,0.96
mist,1.42,,0.82,,,0.74,,0.72,1.42,1.5,1.08,1.38,1.5,1.31
broken clouds,1.05,1.07,,0.83,1.04,1.08,0.76,,1.57,1.38,1.11,1.46,1.26,1.14
few clouds,1.29,1.05,,0.93,0.81,,0.72,,1.29,1.38,1.27,1.64,1.33,1.2
light rain,2.3,,1.01,,,0.82,,0.72,1.84,1.67,1.71,1.7,2.13,1.75
scattered clouds,1.53,1.35,,0.96,0.81,,0.81,,1.65,1.32,,1.76,1.23,1.17
light intensity drizzle,2.42,,1.09,,,0.93,,0.79,1.78,,,2.01,2.18,1.83
moderate rain,,,1.32,,,1.07,,1.22,2.78,,,2.16,,
haze,,,1.34,,,,,,,,,,,1.85
drizzle,,,1.4,,,1.12,,1.0,2.29,,,,,
fog,,,1.43,,,,,,,,,,,
heavy snow,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,
temp_4,0.99,0.82,0.68,0.69,0.74,0.55,0.57,0.48,0.92,0.99,1.28,1.12,0.9,0.83
temp_3,0.87,0.86,0.82,0.72,0.68,0.81,0.64,1.06,1.46,0.9,,1.1,1.14,1.02
temp_5,1.14,1.27,0.86,0.9,1.15,0.75,,0.68,1.35,,0.83,1.39,1.12,1.07
temp_2,1.52,1.1,,1.09,0.81,,0.77,,1.44,1.34,,1.06,1.98,1.49
temp_6,,1.26,,,0.88,,0.92,,,,1.08,2.24,,
temp_7,,,,,,,,,,,,,,
traffic_volume_2,0.77,0.84,0.77,0.68,0.62,0.66,0.56,0.62,0.95,1.01,0.71,0.93,1.58,0.88
traffic_volume_0,1.2,0.72,0.69,0.73,0.68,0.6,0.62,0.55,1.28,0.99,1.33,0.99,0.9,0.92
traffic_volume_1,1.09,1.05,0.81,0.78,0.85,0.69,0.76,0.62,1.16,0.99,1.25,1.87,0.81,0.91
