,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,drizzle,haze,fog,heavy snow,proximity thunderstorm,heavy intensity rain,snow,heavy intensity drizzle,proximity shower rain,proximity thunderstorm with rain,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,0.83,0.82,0.8,0.75,0.73,0.6,0.72,0.5,0.66,0.65,0.5,1.18,0.7,0.37,1.15,0.65,0.57,0.2,0.77,1.01,1.01,1.16,0.63,1.12,1.02,0.88,0.83
sky is clear,0.78,0.74,0.87,0.71,0.62,0.74,0.58,0.63,1.38,0.3,0.18,,,,,,,0.97,,0.95,0.96,0.78,0.87,0.51,1.0,0.86,0.8
mist,1.04,1.21,0.75,1.02,0.86,0.69,0.73,0.66,0.48,0.43,0.86,0.44,0.38,0.92,0.37,0.28,0.46,,0.35,1.08,1.12,0.97,1.67,0.67,1.13,1.05,0.91
broken clouds,0.86,0.9,0.88,0.73,0.77,0.69,0.67,0.84,0.6,1.26,0.52,1.52,0.36,,,,,0.19,,1.09,1.04,0.94,0.67,0.61,1.09,0.93,0.87
few clouds,0.97,0.81,1.48,0.81,0.7,0.93,0.6,0.64,0.75,,0.47,1.24,2.34,,,,,0.37,,1.09,1.03,0.92,0.77,0.82,1.12,0.96,0.9
light rain,1.22,1.73,0.84,1.08,1.05,0.7,0.78,0.62,0.51,0.53,1.72,0.61,0.35,0.58,0.29,0.45,,0.59,0.32,1.28,1.18,1.97,0.7,1.06,1.28,1.19,1.0
scattered clouds,0.99,0.93,1.08,0.77,0.72,0.84,0.68,0.91,0.77,,0.97,0.84,0.49,,,,,0.85,,1.16,1.05,0.85,0.79,0.88,1.17,1.01,0.95
light intensity drizzle,1.44,1.9,0.91,1.5,1.54,0.73,1.0,0.65,0.54,0.51,1.19,0.68,,0.71,,,,,,1.29,1.25,2.59,0.9,,1.39,1.22,1.06
moderate rain,1.38,1.91,0.94,1.07,0.9,0.84,1.24,0.91,0.61,0.74,1.04,0.87,0.33,0.69,0.48,0.55,,,0.35,1.75,1.16,2.27,,,1.46,1.39,1.22
drizzle,1.88,,1.02,1.42,,0.84,,0.8,0.59,0.61,2.0,0.95,,,,0.55,,,,1.54,0.99,2.65,,,1.67,1.67,1.21
haze,2.23,4.63,0.95,1.9,1.93,0.77,1.76,0.86,0.52,0.35,0.58,0.49,,1.05,,,0.28,,,1.54,1.49,1.19,1.48,,1.54,1.2,1.13
fog,1.27,,1.0,0.67,0.53,2.64,0.49,2.3,0.85,0.84,1.34,0.54,,,,,,,,1.35,0.95,0.71,,,1.45,1.38,1.24
heavy snow,1.24,,1.18,0.56,0.42,1.61,1.17,,1.13,,,,0.53,,,,,,,5.27,1.37,,1.2,,1.54,1.33,1.26
proximity thunderstorm,3.53,,1.05,,,0.88,,0.75,0.7,,0.6,,,0.46,,,,,,,,1.23,,,1.67,3.8,1.85
heavy intensity rain,2.78,,1.24,1.48,,1.02,,,0.75,,,1.05,,,0.51,,,,0.37,3.33,1.02,,,,1.79,3.0,1.87
thunderstorm with light rain,,,1.44,,,1.18,,1.03,0.87,,0.82,,,0.55,,,,,,,,1.54,,,2.09,,
snow,1.68,,1.44,,,1.18,,,0.87,0.82,,,,,,,,,,2.0,1.85,,,,2.09,1.81,1.7
heavy intensity drizzle,,,1.44,,,,,,,,0.82,,,,,,,,,2.0,1.85,,,,2.09,1.81,1.7
proximity shower rain,1.68,1.54,,1.38,1.28,1.18,1.17,,,,,,,,,,,,,2.0,,1.54,,,2.09,1.81,1.7
proximity thunderstorm with rain,,,1.44,,,1.18,,,0.87,,,,,,0.48,,,,,,1.85,,,,2.09,,
temp_4,0.82,0.78,0.68,0.69,0.62,0.58,0.55,0.52,0.44,0.45,0.56,0.52,0.33,0.19,0.19,0.24,0.27,0.68,,0.87,0.83,1.02,0.8,0.79,0.95,0.81,0.74
temp_3,0.82,0.76,0.85,0.66,0.6,0.67,0.61,0.97,0.67,0.74,0.7,2.08,0.45,,1.38,0.33,0.39,,1.1,1.06,0.87,1.45,0.6,,0.99,0.88,0.81
temp_5,0.96,1.04,0.72,0.99,1.06,0.59,0.99,0.51,0.47,0.26,0.54,0.45,,0.46,,,,0.2,,1.08,1.92,0.75,,0.59,1.01,0.98,0.86
temp_2,0.98,0.9,1.12,0.87,0.74,1.59,0.64,0.69,,,0.49,,0.35,,,,,,,1.17,1.03,,0.68,,1.16,1.0,0.93
temp_6,0.92,0.88,1.48,0.84,0.76,1.11,0.62,,,,,,,,,,,,,1.13,1.35,0.86,,0.54,1.17,1.02,0.96
temp_7,,1.27,,,1.26,,,,,,,,,,,,,,,1.65,,1.27,,0.78,1.72,1.49,1.41
traffic_volume_2,0.77,0.73,0.75,0.63,0.62,0.64,0.59,0.62,0.5,0.54,0.56,0.52,0.46,0.5,1.54,0.66,0.41,0.31,,0.93,0.89,0.85,0.71,0.63,0.91,0.82,0.75
traffic_volume_0,0.87,0.79,0.73,0.76,0.65,0.6,0.6,0.51,0.47,0.46,0.56,0.7,0.45,0.46,0.22,0.25,0.54,0.31,0.19,0.95,0.92,0.92,0.68,0.64,0.96,0.84,0.78
traffic_volume_1,0.88,0.87,0.72,0.79,0.69,0.58,0.6,0.61,0.53,0.51,0.6,0.46,0.5,0.51,0.3,0.25,0.28,0.4,0.2,0.97,0.92,1.01,0.68,0.68,1.05,0.89,0.81
