,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,drizzle,haze,fog,heavy snow,proximity thunderstorm,heavy intensity rain,heavy intensity drizzle,proximity thunderstorm with rain,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.02,0.97,0.9,0.97,0.96,0.72,0.98,0.56,0.81,0.67,0.53,1.17,0.74,0.41,1.52,0.51,1.05,1.11,1.12,1.12,0.73,0.94,1.18,1.05,1.04
sky is clear,0.97,0.97,0.76,0.9,0.81,0.81,0.78,0.61,0.72,,0.13,,,,,,,1.12,1.07,0.87,1.03,0.67,1.17,1.07,1.0
mist,1.31,1.17,1.0,1.04,0.81,0.94,0.69,0.94,0.75,0.67,1.16,0.67,0.4,1.08,0.58,0.59,0.58,1.23,1.09,1.11,0.64,0.6,1.31,1.38,1.2
broken clouds,1.06,1.15,0.91,0.99,1.03,0.98,0.91,1.06,0.58,1.47,0.56,1.31,0.48,,,,,1.26,1.21,1.04,0.81,0.73,1.28,1.17,1.12
few clouds,1.23,1.08,1.38,1.1,0.99,1.0,0.86,0.51,0.8,,,1.03,,,,,,1.27,1.21,0.95,0.98,1.0,1.31,1.2,1.15
light rain,1.73,1.65,1.14,1.35,0.97,1.03,0.78,0.95,0.83,0.9,1.8,0.69,0.46,0.64,0.49,,0.49,1.51,1.19,2.02,,0.87,1.55,1.55,1.37
scattered clouds,1.17,1.19,1.21,1.03,0.92,1.06,0.99,1.47,1.19,,1.36,0.77,0.71,,,,,1.4,1.24,0.95,1.04,1.08,1.37,1.25,1.24
light intensity drizzle,1.93,1.79,1.23,1.77,2.27,1.09,0.83,1.02,0.87,0.84,1.35,0.98,,0.85,,,,1.53,1.0,2.65,0.63,,1.68,1.68,1.51
moderate rain,1.99,,1.34,1.07,0.72,1.31,0.84,1.4,1.08,1.3,1.18,1.0,0.45,0.94,0.93,,0.75,2.14,1.34,2.49,,,1.82,2.08,1.7
drizzle,2.51,,1.43,2.04,,1.28,,1.3,0.98,1.07,2.0,1.9,,,,,,1.84,1.14,2.71,,,2.09,2.31,1.58
haze,4.43,4.57,1.35,1.92,,1.18,1.23,1.7,0.9,0.63,1.04,1.03,,1.69,,0.52,,1.87,1.61,1.45,1.77,,2.01,1.68,1.58
fog,1.37,,1.47,0.9,0.73,3.07,0.61,2.83,1.2,0.74,1.92,1.05,,,,,,1.61,1.2,0.95,,,1.82,1.98,1.68
heavy snow,1.73,,1.83,0.77,,2.3,1.4,,1.8,,,,1.0,,,,,5.07,1.83,,1.42,,1.96,1.91,1.85
proximity thunderstorm,4.27,,1.56,,,1.35,,1.28,1.46,,1.25,,,1.0,,,,,,1.82,,,2.17,4.46,3.04
heavy intensity rain,3.61,,1.91,1.86,,1.7,,,1.42,,,,,,1.0,,0.83,4.0,1.27,,,,2.36,3.77,2.57
thunderstorm with light rain,,,2.3,,,2.05,,1.89,1.72,,1.65,,,1.31,,,,,,2.39,,,2.85,,
snow,2.51,,2.3,,,2.05,,,1.72,1.65,,,,,,,,2.78,2.66,,,,2.85,2.62,2.53
heavy intensity drizzle,,,2.3,,,,,,,,1.65,,,,,,,2.78,2.66,,,,,2.62,2.53
proximity shower rain,,,,2.24,,2.05,,,,,,,,,,,,2.78,,2.39,,,2.85,2.62,2.53
proximity thunderstorm with rain,,,2.3,,,2.05,,,1.72,,,,,,1.21,,,,2.66,,,,2.85,,
temp_4,1.01,0.89,0.8,0.83,0.74,0.75,0.65,0.71,0.57,0.6,0.64,0.6,0.43,,0.26,0.32,,1.0,0.83,1.09,0.86,0.83,1.09,0.97,0.92
temp_3,1.01,0.89,0.92,0.83,0.75,0.8,0.76,1.07,0.83,0.94,0.79,0.72,0.59,,1.42,0.58,1.25,1.16,1.02,1.01,0.68,0.48,1.12,1.07,1.01
temp_5,1.17,1.07,0.91,1.11,1.2,0.81,1.32,0.69,0.7,0.32,0.75,0.7,,0.71,,,,1.14,1.73,0.98,,0.62,1.17,1.25,1.12
temp_2,1.27,1.2,1.43,1.28,1.05,1.4,0.96,,,,0.7,,0.21,,,,,1.38,1.23,,1.0,,1.38,1.27,1.15
temp_6,0.93,1.19,1.43,0.98,0.98,1.32,0.85,,,,,,,,,,,1.37,1.37,1.15,,0.89,1.4,1.26,1.24
temp_7,,1.88,,,1.38,,,,,,,,,,,,,2.2,,1.89,,1.42,2.25,2.07,2.0
traffic_volume_2,0.93,0.84,0.85,0.75,0.69,0.8,0.72,0.75,0.64,0.68,0.68,0.58,0.45,0.58,1.51,0.41,,1.01,0.92,0.9,0.76,0.63,1.0,1.0,0.93
traffic_volume_0,1.09,0.88,0.83,0.98,0.83,0.74,0.74,0.65,0.63,0.59,0.72,0.71,0.55,0.47,0.17,,0.09,1.08,0.99,0.95,0.77,0.65,1.13,1.0,0.96
traffic_volume_1,1.07,1.07,0.85,0.97,0.92,0.74,0.78,0.8,0.68,0.67,0.65,0.59,0.63,0.58,0.41,0.24,0.4,1.1,1.02,1.03,0.76,0.75,1.21,1.1,1.02
