,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,drizzle,haze,fog,heavy snow,proximity thunderstorm,heavy intensity drizzle,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,0.88,0.94,0.9,0.77,0.8,0.6,0.76,0.44,0.8,0.54,0.41,0.76,0.5,0.36,0.17,1.15,1.07,1.13,0.71,0.93,1.29,0.9,0.9
sky is clear,1.19,0.83,0.83,0.84,0.64,2.42,0.61,1.12,,,,,,,,1.2,1.09,0.97,0.82,0.52,1.19,1.12,0.93
mist,1.43,1.3,0.81,0.93,0.9,0.69,0.77,0.68,0.49,0.47,0.74,0.45,0.36,0.61,0.3,1.37,1.45,1.1,1.11,0.98,1.44,1.5,1.17
broken clouds,0.97,1.09,1.06,0.8,0.96,1.01,0.73,1.4,0.67,1.36,0.56,0.8,0.79,,,1.41,1.32,1.09,0.8,0.66,1.36,1.18,1.04
few clouds,1.14,1.0,1.95,0.94,0.79,0.86,0.71,0.71,0.78,,,0.81,,,,1.33,1.29,1.05,0.85,1.3,1.44,1.24,1.08
light rain,1.82,1.76,1.0,1.37,1.73,0.77,1.01,0.68,0.54,0.59,1.67,0.6,0.36,0.52,,1.79,1.55,2.13,,,1.79,1.84,1.49
scattered clouds,1.28,1.17,1.28,0.89,0.79,1.59,0.78,2.08,1.54,,0.77,0.63,0.67,,,1.63,1.42,1.13,0.93,0.96,1.52,1.24,1.17
light intensity drizzle,2.23,2.47,1.11,1.77,,0.86,0.91,0.75,0.63,0.56,1.01,0.97,,0.68,,1.76,1.63,3.18,,,2.08,2.07,1.72
moderate rain,2.49,,1.28,1.31,2.06,1.11,1.83,1.12,0.75,1.02,1.44,0.92,0.39,0.71,,2.96,2.01,2.5,,,2.26,2.54,2.25
drizzle,3.83,,1.4,2.9,,1.08,,1.03,0.75,0.74,1.54,,,,,2.31,2.29,3.82,,,2.77,2.93,2.12
haze,5.48,,1.34,2.01,,1.14,1.62,2.71,0.74,0.59,0.72,0.98,,1.11,0.26,2.94,2.18,1.72,1.93,,2.83,1.69,1.94
fog,1.52,,1.47,1.56,2.82,3.33,0.72,2.31,0.99,0.79,1.17,0.67,,,,2.19,2.28,1.61,,,2.31,2.91,2.24
heavy snow,1.71,,2.02,0.93,,3.02,1.96,,1.51,,,,0.65,,,8.61,2.3,,,,2.56,3.17,2.63
proximity thunderstorm,6.22,,1.78,,,1.67,,1.15,0.94,,1.47,,,0.62,,,,2.12,,,3.15,6.86,4.19
heavy intensity rain,4.47,,2.23,,,1.73,,,1.16,,,,,,,6.62,2.54,,,,3.61,,3.54
thunderstorm with light rain,,,3.0,,,2.32,,1.94,,,,,,0.86,,,,3.27,,,4.86,,
snow,,,3.0,,,2.32,,,1.56,,,,,,,,4.16,,,,4.86,4.03,3.73
heavy intensity drizzle,,,3.0,,,,,,,,1.43,,,,,4.61,4.16,,,,,,3.73
proximity shower rain,,,,2.84,,,,,,,,,,,,,,3.27,,,4.86,,3.73
proximity thunderstorm with rain,,,3.0,,,2.32,,,1.56,,,,,,,,4.16,,,,4.86,,
temp_4,0.91,0.81,0.64,0.63,0.63,0.53,0.51,0.47,0.4,0.37,0.46,0.39,,,0.12,0.91,0.9,1.15,0.81,0.66,1.06,0.84,0.77
temp_3,0.85,0.81,0.82,0.67,0.62,0.67,0.6,0.92,0.57,0.73,0.63,0.87,0.34,,0.35,1.33,0.91,0.89,0.6,0.79,1.11,1.03,0.88
temp_5,1.14,1.07,0.82,0.97,1.16,0.67,1.26,0.55,0.47,0.36,0.52,0.49,,0.38,,1.29,2.58,0.82,,0.61,1.24,1.16,1.04
temp_2,1.61,1.1,2.43,1.16,0.86,,0.72,,,,1.2,,,,,1.47,1.23,,0.77,,1.4,1.92,1.21
temp_6,1.07,1.19,1.95,1.2,0.78,,0.86,,,,,,,,,1.69,3.46,1.04,,0.64,1.74,1.16,1.24
temp_7,,2.24,,,1.21,,,,,,,,,,,3.77,,2.25,,1.19,3.34,2.47,2.57
traffic_volume_2,0.76,0.75,0.74,0.59,0.56,0.61,0.53,0.56,0.4,0.51,0.48,0.47,0.33,0.4,0.24,0.94,0.96,0.73,0.87,0.4,0.93,1.01,0.78
traffic_volume_0,1.1,0.78,0.68,0.79,0.69,0.56,0.58,0.5,0.46,0.44,0.56,0.4,0.37,0.3,,1.09,0.9,1.07,0.51,0.74,1.18,0.9,0.84
traffic_volume_1,1.0,0.96,0.76,0.75,0.76,0.62,0.66,0.6,0.56,0.44,0.54,0.46,0.54,0.44,0.15,1.2,1.04,1.19,0.63,1.04,1.24,0.82,0.88
