,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,drizzle,haze,fog,heavy snow,proximity thunderstorm,heavy intensity drizzle,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,0.85,0.92,0.89,0.76,0.8,0.61,0.77,0.46,0.86,0.59,0.44,0.83,0.56,0.41,0.2,1.08,1.02,1.11,0.72,0.98,1.21,0.86,0.87
sky is clear,1.12,0.8,0.81,0.82,0.63,2.42,0.61,1.15,,,,,,,,1.1,1.02,0.93,0.82,0.54,1.09,1.05,0.88
mist,1.34,1.23,0.78,0.9,0.87,0.68,0.76,0.68,0.5,0.49,0.77,0.48,0.38,0.67,0.35,1.25,1.33,1.04,1.09,1.0,1.3,1.39,1.09
broken clouds,0.89,1.02,1.0,0.76,0.93,0.99,0.71,1.4,0.68,1.4,0.58,0.83,0.84,,,1.27,1.21,1.03,0.78,0.67,1.22,1.08,0.96
few clouds,1.04,0.92,1.82,0.88,0.75,0.83,0.69,0.7,0.78,,,0.83,,,,1.18,1.16,0.97,0.81,1.29,1.27,1.12,0.98
light rain,1.63,1.6,0.92,1.27,1.61,0.73,0.95,0.66,0.53,0.59,1.67,0.61,0.37,0.54,,1.56,1.37,1.93,,,1.55,1.62,1.33
scattered clouds,1.14,1.06,1.17,0.82,0.74,1.5,0.74,1.99,1.52,,0.77,0.63,0.69,,,1.41,1.25,1.02,0.87,0.94,1.31,1.1,1.04
light intensity drizzle,1.93,2.17,0.98,1.58,,0.78,0.83,0.7,0.6,0.54,0.98,0.95,,0.7,,1.48,1.39,2.79,,,1.74,1.77,1.49
moderate rain,2.08,,1.1,1.12,1.79,0.98,1.61,1.01,0.69,0.95,1.34,0.87,0.37,0.7,,2.41,1.66,2.12,,,1.83,2.1,1.87
drizzle,3.15,,1.18,2.46,,0.94,,0.91,0.68,0.68,1.41,,,,,1.85,1.85,3.19,,,2.21,2.38,1.74
haze,4.5,,1.13,1.7,,0.99,1.41,2.4,0.67,0.54,0.66,0.91,,1.08,0.27,2.35,1.77,1.43,1.67,,2.25,1.37,1.59
fog,1.22,,1.21,1.29,2.37,2.83,0.62,2.01,0.88,0.71,1.05,0.61,,,,1.72,1.81,1.31,,,1.8,2.32,1.8
heavy snow,1.34,,1.61,0.75,,2.49,1.62,,1.31,,,,0.58,,,6.56,1.77,,,,1.94,2.45,2.05
proximity thunderstorm,4.68,,1.37,,,1.32,,0.93,0.78,,1.23,,,0.55,,,,1.62,,,2.29,5.11,3.14
heavy intensity rain,3.25,,1.66,,,1.33,,,0.93,,,,,,,4.69,1.82,,,,2.55,,2.57
thunderstorm with light rain,,,2.08,,,1.66,,1.41,,,,,,0.69,,,,2.24,,,3.18,,
snow,,,2.08,,,1.66,,,1.17,,,,,,,,2.77,,,,3.18,2.7,2.52
heavy intensity drizzle,,,2.08,,,,,,,,1.08,,,,,3.04,2.77,,,,,,2.52
proximity shower rain,,,,1.98,,,,,,,,,,,,,,2.24,,,3.18,,2.52
proximity thunderstorm with rain,,,2.08,,,1.66,,,1.17,,,,,,,,2.77,,,,3.18,,
temp_4,0.92,0.82,0.66,0.65,0.66,0.56,0.54,0.51,0.44,0.42,0.51,0.45,,,0.15,0.9,0.89,1.18,0.85,0.72,1.04,0.84,0.77
temp_3,0.84,0.81,0.83,0.68,0.64,0.7,0.62,0.98,0.63,0.8,0.69,0.98,0.39,,0.43,1.28,0.88,0.89,0.62,0.85,1.07,1.0,0.87
temp_5,1.08,1.03,0.79,0.95,1.14,0.67,1.26,0.56,0.49,0.38,0.55,0.52,,0.43,,1.19,2.41,0.79,,0.63,1.14,1.09,0.98
temp_2,1.45,1.0,2.23,1.07,0.8,,0.69,,,,1.2,,,,,1.28,1.09,,0.73,,1.21,1.7,1.09
temp_6,0.91,1.02,1.7,1.05,0.69,,0.77,,,,,,,,,1.4,2.9,0.89,,0.59,1.43,0.98,1.05
temp_7,,1.69,,,0.93,,,,,,,,,,,2.72,,1.69,,0.96,2.4,1.81,1.9
traffic_volume_2,0.78,0.77,0.77,0.62,0.59,0.66,0.57,0.61,0.45,0.57,0.54,0.54,0.39,0.48,0.31,0.93,0.96,0.76,0.93,0.45,0.91,1.02,0.8
traffic_volume_0,1.08,0.78,0.68,0.8,0.71,0.58,0.6,0.53,0.5,0.48,0.62,0.44,0.43,0.35,,1.04,0.87,1.07,0.53,0.79,1.12,0.88,0.83
traffic_volume_1,0.98,0.94,0.75,0.75,0.77,0.64,0.68,0.62,0.6,0.48,0.59,0.51,0.61,0.51,0.19,1.14,0.99,1.17,0.65,1.11,1.17,0.78,0.85
