,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,drizzle,haze,fog,heavy snow,proximity thunderstorm,heavy intensity drizzle,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.44,1.02,0.94,1.53,1.2,1.11,1.32,0.77,1.29,0.83,0.61,0.35,1.15,0.74,0.29,1.09,1.16,0.98,0.7,0.59,1.36,1.15,1.43
sky is clear,1.11,1.53,0.36,1.28,1.38,1.1,1.19,0.63,,,,,,,,1.29,1.14,0.95,1.26,1.04,1.28,1.38,1.42
mist,1.49,0.58,1.66,0.67,0.48,1.64,0.59,1.86,1.7,1.6,2.13,1.51,0.51,1.73,1.66,1.28,0.83,1.17,0.22,0.47,1.38,1.6,1.64
broken clouds,1.2,1.37,0.68,1.63,1.56,1.06,1.68,1.21,0.53,0.58,0.69,0.49,0.7,,,1.29,1.27,0.96,1.06,0.83,1.35,1.36,1.49
few clouds,1.15,1.49,0.92,1.52,1.71,0.52,1.58,0.36,0.45,,,0.56,,,,1.16,1.36,0.8,1.36,1.31,1.36,1.29,1.47
light rain,1.96,0.62,1.72,1.11,0.68,1.88,0.58,2.0,1.92,2.29,2.32,0.95,0.5,0.89,,1.61,0.95,1.55,,,1.48,1.77,1.83
scattered clouds,1.28,1.5,0.78,1.57,1.32,1.1,1.78,1.32,0.74,,0.9,0.4,1.09,,,1.41,1.33,0.78,1.38,1.25,1.37,1.24,1.48
light intensity drizzle,2.19,0.92,1.71,1.31,,1.99,0.35,2.14,1.93,1.98,1.69,1.37,,1.28,,1.57,0.6,2.08,,,1.56,1.83,1.89
moderate rain,2.21,,1.99,0.62,0.61,2.35,0.64,2.68,2.47,3.28,1.95,1.56,0.84,1.7,,1.94,1.16,1.7,,,1.69,1.99,2.16
drizzle,2.58,,2.11,1.64,,2.35,,2.64,2.43,2.7,1.42,,,,,1.82,0.79,1.96,,,1.69,2.2,2.12
haze,2.88,,1.95,0.86,,1.66,0.95,3.36,1.71,0.88,2.58,2.37,,4.12,2.01,1.33,1.34,1.48,0.71,,1.87,1.34,1.92
fog,0.97,,2.14,0.62,1.29,3.62,0.52,2.85,1.71,0.83,2.27,2.7,,,,1.41,0.53,1.24,,,1.66,2.21,2.16
heavy snow,1.41,,2.33,0.59,,3.61,1.05,,3.45,,,,2.95,,,3.03,1.95,,,,1.68,2.36,2.31
proximity thunderstorm,3.55,,2.04,,,2.16,,2.45,2.35,,3.67,,,3.3,,,,2.29,,,1.94,3.4,2.86
heavy intensity rain,2.41,,2.51,,,2.8,,,3.31,,,,,,,2.9,1.14,,,,2.04,,2.58
thunderstorm with light rain,,,2.81,,,3.13,,3.38,,,,,,4.77,,,,2.7,,,2.28,,
snow,,,2.81,,,3.13,,,3.7,,,,,,,,2.44,,,,2.28,2.47,2.56
heavy intensity drizzle,,,2.81,,,,,,,,3.84,,,,,2.34,2.44,,,,,,2.56
proximity shower rain,,,,2.87,,,,,,,,,,,,,,2.7,,,2.28,,2.56
proximity thunderstorm with rain,,,2.81,,,3.13,,,3.7,,,,,,,,2.44,,,,2.28,,
temp_4,1.34,1.07,1.08,1.16,1.01,1.24,0.97,1.36,1.17,1.23,0.76,0.75,,,0.19,1.24,0.74,1.07,0.84,0.77,1.25,1.18,1.34
temp_3,1.29,1.02,1.05,1.19,1.09,1.2,1.16,1.3,1.25,1.62,1.18,0.39,1.13,,1.96,1.17,1.36,0.27,0.79,0.23,1.26,1.34,1.48
temp_5,1.36,0.97,1.28,1.31,1.29,1.37,1.56,1.22,1.38,0.5,1.57,1.59,,2.09,,1.04,0.79,1.55,,0.86,1.35,1.32,1.49
temp_2,1.27,1.57,1.08,1.88,1.72,,1.7,,,,1.26,,,,,1.24,1.42,,1.89,,1.25,1.91,1.58
temp_6,0.56,1.61,1.02,1.24,1.1,,1.23,,,,,,,,,1.33,1.1,1.26,,1.94,1.34,1.0,1.33
temp_7,,2.35,,,1.07,,,,,,,,,,,2.21,,2.35,,3.08,1.98,1.75,2.22
traffic_volume_2,1.14,1.07,1.14,1.11,1.0,1.26,1.11,1.31,1.14,1.25,1.05,1.04,0.68,1.08,0.7,1.1,1.05,0.9,1.08,0.52,1.19,1.4,1.37
traffic_volume_0,1.44,1.0,0.95,1.35,1.16,1.08,1.09,1.02,1.11,1.14,1.04,0.57,0.51,0.56,,1.2,0.91,1.07,0.58,0.92,1.32,1.32,1.43
traffic_volume_1,1.35,1.13,1.06,1.23,1.17,1.21,1.15,1.24,1.26,1.06,1.08,0.66,0.99,0.8,0.48,1.22,1.07,0.96,0.78,0.96,1.22,0.86,1.39
