,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,haze,drizzle,heavy snow,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,0.88,0.85,0.81,0.75,0.72,0.58,0.69,0.46,0.58,0.43,0.56,0.57,1.14,1.11,1.2,0.61,1.0,1.16,0.96,0.89
sky is clear,0.87,0.8,0.92,0.75,0.63,0.74,0.58,0.6,,,,,1.11,1.1,0.85,0.87,0.47,1.18,0.97,0.9
mist,1.18,1.34,0.82,1.1,0.91,0.71,0.74,0.65,0.45,0.79,0.4,,1.31,1.32,1.08,,,1.38,1.23,1.05
broken clouds,1.0,1.02,0.97,0.8,0.83,0.73,0.7,0.84,,,,,1.34,1.25,1.07,0.71,0.6,1.35,1.11,1.03
few clouds,1.18,0.95,1.7,0.92,0.78,1.01,0.65,,,,,,1.39,1.28,1.09,0.84,0.83,1.44,1.18,1.1
light rain,1.52,,1.0,1.27,1.21,0.79,,0.67,0.53,,0.53,,1.69,1.52,2.39,,,1.71,1.52,1.26
scattered clouds,1.24,1.14,1.3,0.91,0.83,0.95,0.76,0.99,,,,,1.54,1.36,1.05,0.9,,1.57,1.3,1.2
light intensity drizzle,1.91,,1.15,1.88,,0.87,,0.75,0.59,,0.55,,1.81,1.71,,,,1.98,1.67,1.42
moderate rain,1.98,,1.28,,,1.08,,1.12,0.72,,0.86,,2.65,,,,,2.23,2.03,1.76
haze,,,1.34,,,,,,,0.69,,,2.4,,,,,2.43,1.82,1.68
drizzle,,,1.45,,,1.12,,1.03,0.72,,0.73,,2.4,,,,,2.64,2.53,1.8
fog,1.95,,1.47,,,,,,,,,,,,,,,2.38,2.17,1.91
heavy snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,,,,,,,
temp_4,0.81,0.75,0.64,0.64,0.56,0.52,0.49,0.44,0.36,0.45,0.35,,0.91,0.85,0.98,0.71,0.66,1.0,0.81,0.73
temp_3,0.84,0.75,0.83,0.64,0.57,0.62,0.55,0.85,0.56,0.57,0.61,0.35,1.15,0.92,1.44,0.56,,1.08,0.92,0.83
temp_5,1.06,1.12,0.77,1.04,1.08,0.59,0.98,0.49,0.43,0.49,,,1.26,2.2,0.81,,0.55,1.2,1.12,0.96
temp_2,1.22,1.09,,1.02,0.85,,0.71,0.74,,0.49,,,1.54,1.31,,0.76,,1.53,1.27,1.16
temp_6,,1.19,,1.1,0.97,,,,,,,,1.65,,1.17,,0.63,1.74,1.44,1.33
temp_7,,,,,,,,,,,,,,,,,,,,
traffic_volume_2,0.75,0.69,0.7,0.58,0.55,0.56,0.51,0.52,0.4,0.44,0.42,0.33,0.95,0.89,0.81,0.63,0.51,0.94,0.81,0.73
traffic_volume_0,0.9,0.79,0.72,0.74,0.62,0.56,0.56,0.46,0.4,0.46,0.38,0.35,1.04,0.97,0.93,0.64,0.56,1.06,0.88,0.8
traffic_volume_1,0.93,0.9,0.73,0.79,0.68,0.56,0.57,0.55,0.46,0.51,0.44,0.4,1.09,1.01,1.04,0.65,0.6,1.19,0.97,0.86
