,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,drizzle,haze,fog,heavy snow,proximity thunderstorm,heavy intensity rain,heavy intensity drizzle,proximity thunderstorm with rain,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,0.89,0.88,0.87,0.76,0.77,0.56,0.74,0.45,0.63,0.52,0.42,1.25,0.51,0.28,1.22,0.32,0.7,1.14,1.1,1.17,0.65,0.91,1.19,0.95,0.9
sky is clear,0.95,0.82,0.85,0.77,0.62,0.81,0.6,0.61,0.95,,0.14,,,,,,,1.13,1.08,0.89,0.87,0.51,1.2,1.01,0.89
mist,1.27,1.41,0.81,1.06,0.9,0.7,0.73,0.65,0.47,0.42,0.78,0.42,0.33,0.69,0.35,0.3,0.31,1.32,1.38,1.1,1.11,0.72,1.39,1.36,1.1
broken clouds,1.0,1.06,1.04,0.8,0.85,0.96,0.68,1.02,0.61,1.79,0.5,1.31,0.38,,,,,1.34,1.28,1.1,0.72,0.64,1.37,1.13,1.03
few clouds,1.24,0.99,1.73,0.96,0.79,1.11,0.67,0.59,0.87,,,1.07,,,,,,1.39,1.28,1.07,0.84,0.94,1.44,1.19,1.09
light rain,1.77,2.11,1.01,1.39,1.22,0.79,0.93,0.68,0.54,0.57,1.54,0.54,0.39,0.52,0.29,,0.25,1.7,1.51,2.34,,1.28,1.78,1.63,1.36
scattered clouds,1.19,1.16,1.42,0.89,0.8,1.14,0.77,1.58,1.54,,1.17,0.83,0.56,,,,,1.57,1.37,1.13,0.92,1.0,1.55,1.27,1.2
light intensity drizzle,2.08,2.32,1.15,1.94,3.0,0.87,1.04,0.75,0.61,0.56,1.13,0.81,,0.68,,,,1.78,1.48,3.3,0.95,,2.03,1.86,1.57
moderate rain,2.24,,1.28,1.35,1.07,1.11,1.21,1.12,0.76,0.9,1.02,0.8,0.35,0.71,0.54,,0.37,2.81,1.8,3.02,,,2.3,2.47,1.88
drizzle,3.01,,1.4,2.42,,1.08,,1.03,0.69,0.73,2.03,1.81,,,,,,2.31,1.79,3.82,,,2.76,2.85,1.74
haze,6.1,6.67,1.34,2.65,,1.14,1.62,1.56,0.69,0.59,0.72,0.77,,1.11,,0.26,,2.62,2.18,1.72,2.55,,2.64,1.95,1.74
fog,1.66,,1.47,1.19,0.88,3.33,0.67,2.77,1.01,0.79,1.55,0.69,,,,,,2.19,2.28,1.11,,,2.38,2.42,1.91
heavy snow,2.02,,2.02,0.92,,2.37,1.71,,1.51,,,,0.65,,,,,8.61,2.3,,2.04,,2.69,2.39,2.21
proximity thunderstorm,6.22,,1.78,,,1.4,,1.15,1.16,,0.97,,,0.58,,,,,,2.12,,,3.15,6.86,4.19
heavy intensity rain,5.25,,2.23,2.63,,1.73,,,1.16,,,,,,0.66,,0.43,6.62,1.99,,,,3.61,5.8,3.54
thunderstorm with light rain,,,3.0,,,2.32,,1.94,1.56,,1.43,,,0.86,,,,,,3.27,,,4.86,,
snow,3.66,,3.0,,,2.32,,,1.56,1.43,,,,,,,,4.61,4.16,,,,4.86,4.03,3.73
heavy intensity drizzle,,,3.0,,,,,,,,1.43,,,,,,,4.61,4.16,,,,,4.03,3.73
proximity shower rain,,,,2.84,,2.32,,,,,,,,,,,,4.61,,3.27,,,4.86,4.03,3.73
proximity thunderstorm with rain,,,3.0,,,2.32,,,1.56,,,,,,0.71,,,,4.16,,,,4.86,,
temp_4,0.85,0.78,0.64,0.64,0.58,0.53,0.48,0.46,0.37,0.37,0.47,0.41,0.42,,0.15,0.2,,0.91,0.86,1.06,0.77,0.71,1.03,0.83,0.74
temp_3,0.86,0.78,0.82,0.66,0.58,0.62,0.57,0.89,0.59,0.65,0.57,0.87,0.35,,0.89,0.26,0.66,1.18,0.91,1.28,0.56,0.61,1.09,0.94,0.85
temp_5,1.11,1.08,0.79,1.01,1.09,0.61,1.15,0.5,0.45,0.26,0.48,0.43,,0.36,,,,1.23,2.52,0.81,,0.51,1.2,1.2,1.01
temp_2,1.34,1.12,1.91,1.13,0.86,1.98,0.73,,,,0.62,,0.19,,,,,1.54,1.27,,0.77,,1.53,1.28,1.12
temp_6,1.17,1.19,1.95,1.03,0.91,1.65,0.8,,,,,,,,,,,1.65,2.08,1.15,,0.63,1.74,1.42,1.33
temp_7,,2.24,,,1.6,,,,,,,,,,,,,3.17,,2.25,,1.19,3.34,2.77,2.57
traffic_volume_2,0.78,0.71,0.7,0.57,0.53,0.59,0.52,0.52,0.41,0.45,0.45,0.39,0.32,0.36,1.02,0.21,,0.94,0.88,0.8,0.64,0.5,0.93,0.85,0.75
traffic_volume_0,0.97,0.78,0.72,0.8,0.66,0.56,0.56,0.47,0.43,0.4,0.53,0.54,0.4,0.31,0.12,,0.06,1.05,0.97,0.94,0.66,0.57,1.11,0.89,0.81
traffic_volume_1,0.95,0.97,0.74,0.79,0.74,0.57,0.6,0.6,0.48,0.46,0.48,0.44,0.45,0.42,0.25,0.14,0.26,1.11,1.04,1.08,0.66,0.7,1.22,1.0,0.87
