,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,haze,drizzle,heavy snow,temp_4,temp_3,temp_5,temp_2,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,0.82,0.9,0.88,0.76,0.81,0.62,0.79,0.48,0.91,0.48,0.63,0.62,1.02,0.97,1.08,0.73,1.13,0.83,0.84
sky is clear,1.07,0.77,,0.8,0.62,,0.61,,,,,,1.02,0.95,0.9,0.82,1.0,0.98,0.83
mist,1.25,1.16,0.74,0.86,,0.67,,0.69,0.52,0.81,0.51,,1.13,1.23,0.98,,1.18,1.28,1.02
broken clouds,0.83,0.96,0.95,0.72,0.89,0.97,0.69,,,,,,1.15,1.1,0.96,0.76,1.09,0.99,0.89
few clouds,0.94,0.85,,0.82,0.71,,0.66,,,,,,1.04,1.04,0.89,0.78,1.12,1.01,0.89
light rain,1.46,,0.84,1.17,,0.69,,0.63,0.53,,0.59,,1.35,1.21,1.75,,1.34,1.44,1.19
scattered clouds,1.01,0.96,,0.75,0.69,,0.69,,,,,,1.23,1.1,0.92,0.82,1.13,0.97,0.92
light intensity drizzle,1.67,,0.87,,,0.72,,0.65,0.58,,0.53,,1.25,,,,1.46,1.52,1.29
moderate rain,,,0.94,,,0.86,,0.91,0.64,,,,1.96,,,,1.48,1.73,1.56
haze,,,0.95,,,,,,,0.6,,,,,,,1.79,1.11,1.3
drizzle,,,0.99,,,0.81,,0.8,0.62,,0.62,,1.48,,,,1.75,,1.42
fog,,,1.0,,,,,,,,,,,,,,1.41,,
heavy snow,,,,,,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,,,,,,
temp_4,0.93,0.84,0.68,0.68,0.69,0.6,0.57,0.55,0.49,0.58,0.47,,0.88,0.88,1.2,0.9,1.01,0.83,0.78
temp_3,0.83,0.81,0.84,0.7,0.66,0.73,0.65,1.05,0.68,0.76,0.89,0.45,1.23,0.86,,0.65,1.02,0.98,0.86
temp_5,1.03,0.99,0.77,0.93,1.13,0.67,1.26,0.57,0.52,0.58,,,1.1,,0.76,,1.05,1.02,0.93
temp_2,1.3,0.91,,0.99,0.75,,0.65,,,,,,1.12,0.97,,0.69,1.05,1.51,0.97
temp_6,,0.88,,0.91,0.61,,,,,,,,1.16,,0.77,,1.17,0.82,0.89
temp_7,,,,,,,,,,,,,,,,,,,
traffic_volume_2,0.79,0.8,0.8,0.65,0.62,0.7,0.61,0.67,0.5,0.61,0.65,0.45,0.92,0.96,0.78,0.99,0.9,1.02,0.81
traffic_volume_0,1.07,0.78,0.69,0.81,0.72,0.6,0.62,0.56,0.55,0.68,0.53,,1.0,0.84,1.07,0.55,1.07,0.85,0.81
traffic_volume_1,0.95,0.93,0.75,0.75,0.78,0.65,0.69,0.65,0.65,0.64,0.51,0.68,1.08,0.95,1.15,0.66,1.1,0.75,0.82
