,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,drizzle,haze,fog,heavy snow,proximity thunderstorm,heavy intensity rain,heavy intensity drizzle,proximity thunderstorm with rain,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.36,1.12,0.88,1.41,1.28,0.96,1.38,0.68,0.92,0.73,0.55,0.64,0.92,0.46,1.15,0.56,0.99,1.15,1.22,0.98,0.78,0.72,1.32,1.35,1.4
sky is clear,1.05,1.37,0.57,1.17,1.25,0.7,1.13,0.5,0.3,,0.09,,,,,,,1.27,1.16,0.84,1.27,0.86,1.3,1.34,1.32
mist,1.51,0.83,1.52,0.96,0.62,1.54,0.54,1.64,1.44,1.22,1.88,1.19,0.37,1.55,0.84,1.05,0.86,1.29,0.79,1.18,0.19,0.33,1.44,1.63,1.55
broken clouds,1.31,1.41,0.72,1.53,1.44,0.94,1.48,0.98,0.41,0.74,0.52,0.91,0.51,,,,,1.38,1.28,0.98,0.97,0.78,1.41,1.47,1.48
few clouds,1.4,1.43,0.94,1.53,1.54,0.78,1.36,0.34,0.55,,,0.71,,,,,,1.37,1.35,0.84,1.27,0.96,1.45,1.5,1.52
light rain,2.01,1.16,1.63,1.39,0.64,1.73,0.55,1.71,1.62,1.83,2.0,0.87,0.48,0.65,0.85,,0.91,1.6,0.96,1.74,,0.36,1.62,1.77,1.73
scattered clouds,1.39,1.45,1.0,1.53,1.29,0.92,1.65,1.18,0.61,,1.49,0.52,0.83,,,,,1.52,1.32,0.78,1.32,1.12,1.49,1.54,1.62
light intensity drizzle,2.18,1.33,1.71,1.74,1.47,1.81,0.58,1.86,1.61,1.62,1.69,1.19,,0.95,,,,1.66,0.63,2.15,0.31,,1.73,1.89,1.86
moderate rain,2.26,,1.93,0.86,0.41,2.16,0.48,2.37,2.22,2.58,1.5,1.44,0.63,1.28,1.96,,1.85,2.0,1.13,2.32,,,1.86,2.21,2.04
drizzle,2.62,,2.06,1.94,,2.18,,2.36,2.05,2.32,1.94,1.99,,,,,,1.94,0.73,1.94,,,2.04,2.37,1.96
haze,3.52,3.07,1.91,1.35,,1.54,0.88,2.28,1.6,0.74,2.16,1.72,,3.12,,1.35,,1.57,1.4,1.47,1.07,,1.99,1.96,1.96
fog,1.47,,2.11,0.75,0.69,3.39,0.66,3.53,1.84,0.7,3.13,2.39,,,,,,1.51,0.55,1.03,,,1.9,2.19,2.06
heavy snow,2.14,,2.33,0.82,,3.04,1.31,,3.02,,,,2.4,,,,,3.3,2.08,,0.98,,2.01,2.17,2.21
proximity thunderstorm,3.76,,2.08,,,1.92,,2.29,3.0,,2.62,,,2.93,,,,,,2.38,,,2.18,3.68,3.04
heavy intensity rain,3.46,,2.6,1.7,,2.75,,,3.01,,,,,,2.31,,2.54,3.28,1.12,,,,2.33,3.38,2.8
thunderstorm with light rain,,,3.02,,,3.19,,3.33,3.49,,3.56,,,3.99,,,,,,2.96,,,2.71,,
snow,2.89,,3.02,,,3.19,,,3.49,3.56,,,,,,,,2.74,2.8,,,,2.71,2.82,2.87
heavy intensity drizzle,,,3.02,,,,,,,,3.56,,,,,,,2.74,2.8,,,,,2.82,2.87
proximity shower rain,,,,3.05,,3.19,,,,,,,,,,,,2.74,,2.96,,,2.71,2.82,2.87
proximity thunderstorm with rain,,,3.02,,,3.19,,,3.49,,,,,,4.16,,,,2.8,,,,2.71,,
temp_4,1.26,1.02,1.01,1.16,0.93,1.09,0.89,1.14,0.87,0.96,0.73,0.74,0.23,,0.34,0.3,,1.2,0.76,1.0,0.81,0.75,1.23,1.26,1.27
temp_3,1.32,1.06,0.98,1.11,1.0,1.04,1.04,1.11,1.07,1.23,0.97,0.3,0.96,,1.65,1.1,1.75,1.18,1.3,0.56,0.8,0.2,1.27,1.36,1.37
temp_5,1.37,1.05,1.18,1.28,1.32,1.2,1.49,1.02,1.23,0.33,1.27,1.21,,1.55,,,,1.13,0.91,1.42,,0.69,1.31,1.5,1.46
temp_2,1.38,1.59,0.9,1.76,1.65,0.69,1.64,,,,0.73,,0.19,,,,,1.48,1.48,,1.7,,1.52,1.57,1.49
temp_6,0.83,1.57,0.98,1.09,1.33,0.97,1.08,,,,,,,,,,,1.44,0.87,1.51,,1.74,1.42,1.44,1.51
temp_7,,2.45,,,1.74,,,,,,,,,,,,,2.27,,2.45,,2.83,2.25,2.34,2.38
traffic_volume_2,1.17,1.0,0.99,1.02,0.91,1.08,0.99,1.05,0.94,0.91,0.92,0.71,0.48,0.7,1.41,0.55,,1.12,0.95,0.96,0.78,0.63,1.17,1.28,1.27
traffic_volume_0,1.33,1.01,0.96,1.27,1.09,1.01,1.03,0.9,0.92,0.84,0.86,0.76,0.61,0.55,0.17,,0.09,1.21,1.03,0.89,0.82,0.59,1.28,1.28,1.3
traffic_volume_1,1.32,1.21,1.01,1.31,1.19,1.01,1.08,1.07,0.95,0.91,0.8,0.66,0.75,0.58,0.53,0.28,0.38,1.19,1.04,0.88,0.81,0.62,1.33,1.38,1.37
