,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,haze,drizzle,heavy snow,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,0.86,0.86,0.86,0.76,0.78,0.57,0.76,0.47,0.67,0.46,0.56,0.57,1.08,1.05,1.15,0.66,0.96,1.11,0.91,0.87
sky is clear,0.9,0.78,0.83,0.75,0.61,0.81,0.6,0.62,,,,,1.04,1.01,0.85,0.87,0.53,1.1,0.94,0.85
mist,1.19,1.34,0.78,1.02,0.87,0.69,0.72,0.65,0.48,0.81,0.44,,1.2,1.27,1.04,,,1.26,1.25,1.03
broken clouds,0.93,1.0,0.98,0.76,0.82,0.93,0.66,1.01,,,,,1.21,1.17,1.04,0.7,0.65,1.22,1.03,0.95
few clouds,1.13,0.91,,0.9,0.75,,0.64,,,,,,1.23,1.14,0.99,0.81,,1.27,1.07,0.99
light rain,1.59,,0.92,1.28,,0.74,,0.66,0.54,,0.57,,1.48,1.33,2.12,,,1.54,1.45,1.21
scattered clouds,1.06,1.05,1.3,0.82,0.74,,0.72,,,,,,1.36,1.2,1.02,0.87,,1.33,1.12,1.07
light intensity drizzle,1.8,,1.02,,,0.8,,0.7,0.59,,0.54,,1.5,,,,,1.7,1.59,1.36
moderate rain,1.87,,1.1,,,0.98,,1.01,0.7,,0.84,,2.28,,,,,1.86,2.04,1.57
haze,,,1.13,,,,,,,0.66,,,,,,,,2.1,1.58,1.43
drizzle,,,1.18,,,0.94,,0.91,0.62,,0.66,,1.85,,,,,2.19,,1.43
fog,,,1.21,,,,,,,,,,,,,,,1.86,,1.54
heavy snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,,,,,,,
temp_4,0.86,0.79,0.66,0.66,0.61,0.57,0.51,0.5,0.41,0.53,0.42,,0.89,0.85,1.08,0.82,0.78,1.01,0.83,0.75
temp_3,0.85,0.78,0.83,0.67,0.6,0.65,0.6,0.94,0.64,0.63,0.72,0.39,1.14,0.89,1.28,0.58,,1.04,0.92,0.84
temp_5,1.06,1.04,0.76,0.98,1.08,0.61,1.15,0.51,0.47,0.51,,,1.14,2.35,0.78,,0.53,1.1,1.13,0.95
temp_2,1.2,1.02,,1.05,0.8,,0.69,,,,,,1.34,1.12,,0.72,,1.33,1.13,1.0
temp_6,,1.02,,0.9,0.81,,,,,,,,1.36,,0.99,,0.59,1.43,1.19,1.13
temp_7,,,,,,,,,,,,,,,,,,,,
traffic_volume_2,0.79,0.73,0.73,0.6,0.56,0.63,0.56,0.57,0.46,0.51,0.51,0.37,0.93,0.88,0.83,0.69,0.56,0.92,0.85,0.76
traffic_volume_0,0.95,0.78,0.73,0.81,0.67,0.58,0.58,0.5,0.47,0.58,0.43,0.45,1.01,0.94,0.94,0.68,0.61,1.05,0.87,0.79
traffic_volume_1,0.92,0.95,0.74,0.79,0.75,0.58,0.61,0.62,0.51,0.52,0.5,0.5,1.05,0.99,1.06,0.68,0.74,1.15,0.96,0.85
