,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,drizzle,haze,fog,heavy snow,proximity thunderstorm,heavy intensity rain,snow,heavy intensity drizzle,proximity shower rain,proximity thunderstorm with rain,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,3.2,1.42,0.52,2.58,1.71,0.73,2.02,0.4,0.59,0.55,0.39,0.2,2.04,0.57,0.81,1.38,0.75,0.53,1.03,0.54,1.94,0.82,1.02,1.27,1.63,2.73,2.73,2.96
sky is clear,0.23,3.73,0.24,0.72,2.22,0.36,1.15,0.29,0.06,0.02,0.06,0.31,0.4,,0.29,,,1.46,0.3,0.88,1.66,0.66,2.54,1.75,0.48,0.23,0.23,0.23
mist,1.53,0.23,22.84,0.34,0.21,5.29,0.18,6.07,4.11,2.53,5.08,3.79,0.42,4.17,1.55,1.94,2.39,0.9,1.37,0.78,0.28,1.7,0.06,0.18,,,,
broken clouds,0.89,3.14,0.3,6.01,2.82,0.34,4.21,0.34,0.12,0.13,0.32,0.46,0.9,,0.42,,,1.04,0.22,2.51,1.88,0.77,1.48,1.38,2.92,1.39,1.39,1.0
few clouds,0.7,2.44,0.42,2.01,3.76,0.24,2.29,0.18,0.15,0.17,0.24,0.36,1.66,,0.74,,,1.36,0.57,1.04,2.12,0.6,2.49,1.36,0.9,0.7,0.7,0.77
light rain,,0.32,7.07,0.54,0.23,8.29,0.17,4.85,4.69,7.23,2.22,1.44,0.49,0.63,1.8,3.57,3.91,1.18,1.96,5.37,0.4,1.72,0.08,0.24,,,,
scattered clouds,0.81,3.25,0.32,2.81,1.51,0.28,4.4,0.44,0.08,0.12,1.01,0.19,1.28,,0.5,,,3.25,,2.48,1.68,0.49,2.58,2.18,2.56,1.57,1.57,1.71
light intensity drizzle,,0.33,5.4,0.75,0.37,6.63,0.2,6.88,3.76,4.06,2.07,1.9,,1.05,,2.82,2.13,,,,0.25,1.97,0.28,,,,,
moderate rain,,0.09,24.82,0.17,0.07,25.42,0.09,11.32,17.91,18.47,2.02,4.35,0.97,1.96,6.45,2.43,2.9,,6.48,3.74,0.42,4.87,,0.34,,,,
drizzle,,0.08,,0.57,,,,29.12,21.75,19.71,1.55,2.81,,,,3.15,3.8,,,,0.13,0.95,,,,,,
haze,,0.73,9.17,0.14,0.29,0.99,0.36,2.22,2.3,0.43,9.43,3.55,,12.34,,,3.8,,,0.28,0.77,1.46,0.5,,,,,
fog,0.99,,,0.14,0.14,,0.17,,2.56,0.62,20.2,22.34,,7.61,2.61,,,,,0.29,0.05,0.9,,,,,,
heavy snow,,,8.63,0.15,0.1,8.84,0.28,5.66,8.96,12.93,0.42,,21.26,,54.83,,,,86.24,1.3,,5.69,0.76,,,,,
proximity thunderstorm,,0.17,4.32,,,1.66,3.98,6.47,,,13.47,,,54.82,,,,,,,,,,1.98,,,,
heavy intensity rain,,,,0.26,,,,,,,,12.18,,,7.83,,,,12.32,,0.35,3.25,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temp_4,1.2,0.82,1.34,1.37,0.76,1.32,0.84,1.7,0.92,1.43,0.74,1.29,0.1,0.03,0.51,0.2,0.2,1.07,,7.29,0.5,1.01,0.78,1.12,1.27,1.66,1.66,1.81
temp_3,1.76,1.13,0.88,0.77,0.93,0.82,0.91,0.67,0.98,1.48,1.02,0.31,3.45,,2.76,3.14,3.22,,3.49,0.54,23.55,0.23,1.52,,,2.55,2.55,2.77
temp_5,0.79,0.62,1.5,0.74,1.04,1.69,1.25,1.11,2.65,0.19,2.49,2.91,,9.18,,,,2.48,,0.48,0.18,23.04,,2.1,0.71,0.49,0.49,0.53
temp_2,0.92,8.86,0.17,2.83,11.05,0.22,4.52,0.29,,,0.61,,0.79,,,,,,,1.14,,,29.29,,,,,0.93
temp_6,0.08,2.27,0.21,0.37,1.5,0.16,0.47,,,,,,,,,,,5.78,,0.56,0.17,5.57,,19.38,9.36,0.08,0.08,0.09
temp_7,,,,,,,,,,,,,,,,,,,,,,,,,117.0,,,
traffic_volume_2,0.83,1.07,1.02,0.83,0.94,1.09,0.92,1.1,1.13,0.98,1.13,0.95,1.01,1.23,1.37,1.3,0.99,1.19,1.61,1.24,0.92,1.42,0.89,1.26,1.36,0.87,0.87,0.95
traffic_volume_0,1.21,0.86,1.02,1.0,1.09,0.95,1.07,0.88,0.88,1.05,0.84,1.24,0.87,0.91,0.5,0.86,1.42,0.82,0.61,1.02,1.12,0.78,1.16,0.75,0.55,0.99,0.99,0.94
traffic_volume_1,1.23,1.05,0.94,1.5,1.03,0.9,1.08,0.96,0.91,0.99,0.95,0.82,1.15,0.67,0.91,0.58,0.53,0.84,0.32,0.69,1.03,0.63,1.03,0.82,0.84,1.43,1.43,1.23
