,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,drizzle,haze,fog,heavy snow,proximity thunderstorm,heavy intensity rain,snow,heavy intensity drizzle,proximity shower rain,proximity thunderstorm with rain,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,0.86,0.84,0.8,0.75,0.72,0.59,0.71,0.48,0.61,0.6,0.46,1.08,0.63,0.32,0.98,0.53,0.47,0.16,0.62,1.07,1.06,1.18,0.62,1.06,1.09,0.92,0.86
sky is clear,0.83,0.77,0.89,0.73,0.62,0.74,0.58,0.61,1.32,0.28,0.17,,,,,,,0.81,,1.03,1.03,0.81,0.87,0.49,1.09,0.91,0.85
mist,1.11,1.27,0.78,1.05,0.88,0.7,0.73,0.65,0.46,0.41,0.83,0.42,0.35,0.83,0.33,0.24,0.39,,0.29,1.19,1.22,1.02,1.7,0.66,1.25,1.14,0.98
broken clouds,0.93,0.96,0.92,0.76,0.8,0.71,0.68,0.84,0.58,1.22,0.5,1.45,0.34,,,,,0.16,,1.21,1.14,1.01,0.69,0.61,1.21,1.02,0.95
few clouds,1.07,0.88,1.59,0.87,0.74,0.97,0.63,0.66,0.75,,0.47,1.2,2.23,,,,,0.32,,1.23,1.14,1.0,0.81,0.83,1.27,1.07,0.99
light rain,1.36,1.9,0.91,1.17,1.13,0.74,0.83,0.65,0.52,0.53,1.73,0.6,0.34,0.54,0.27,0.4,,0.52,0.29,1.47,1.34,2.17,0.75,1.09,1.48,1.34,1.13
scattered clouds,1.11,1.03,1.19,0.84,0.77,0.9,0.72,0.95,0.78,,0.98,0.83,0.48,,,,,0.75,,1.34,1.19,0.94,0.85,0.9,1.35,1.15,1.07
light intensity drizzle,1.66,2.16,1.02,1.68,1.7,0.8,1.09,0.7,0.57,0.53,1.23,0.69,,0.7,,,,,,1.53,1.46,2.95,0.99,,1.66,1.43,1.23
moderate rain,1.65,2.26,1.1,1.24,1.03,0.95,1.4,1.01,0.67,0.8,1.12,0.92,0.34,0.7,0.48,0.52,,,0.33,2.16,1.42,2.68,,,1.8,1.68,1.47
drizzle,2.28,,1.22,1.68,,0.97,,0.91,0.66,0.66,2.19,1.02,,,,0.52,,,,1.92,1.22,3.19,,,2.1,2.06,1.48
haze,2.71,5.56,1.13,2.25,2.25,0.89,2.03,0.97,0.57,0.38,0.63,0.53,,1.08,,,0.27,,,1.92,1.84,1.43,1.71,,1.94,1.48,1.38
fog,1.57,,1.21,0.81,0.63,3.11,0.57,2.65,0.96,0.93,1.49,0.6,,,,,,,,1.72,1.19,0.87,,,1.86,1.73,1.54
heavy snow,1.58,,1.47,0.69,0.52,1.95,1.41,,1.31,,,,0.58,,,,,,,6.92,1.77,,1.46,,2.03,1.72,1.61
proximity thunderstorm,4.68,,1.37,,,1.11,,0.93,0.84,,0.71,,,0.52,,,,,,,,1.62,,,2.29,5.11,2.47
heavy intensity rain,3.82,,1.66,1.97,,1.33,,,0.93,,,1.28,,,0.58,,,,0.4,4.69,1.43,,,,2.55,4.17,2.57
thunderstorm with light rain,,,2.08,,,1.66,,1.41,1.17,,1.08,,,0.69,,,,,,,,2.24,,,3.18,,
snow,2.48,,2.08,,,1.66,,,1.17,1.08,,,,,,,,,,3.04,2.77,,,,3.18,2.7,2.52
heavy intensity drizzle,,,2.08,,,,,,,,1.08,,,,,,,,,3.04,2.77,,,,3.18,2.7,2.52
proximity shower rain,2.48,2.24,,1.98,1.82,1.66,1.63,,,,,,,,,,,,,3.04,,2.24,,,3.18,2.7,2.52
proximity thunderstorm with rain,,,2.08,,,1.66,,,1.17,,,,,,0.58,,,,,,2.77,,,,3.18,,
temp_4,0.82,0.76,0.66,0.66,0.59,0.55,0.52,0.48,0.4,0.4,0.5,0.46,0.28,0.16,0.16,0.19,0.21,0.53,,0.89,0.84,1.0,0.75,0.72,0.98,0.81,0.74
temp_3,0.83,0.76,0.84,0.65,0.59,0.64,0.58,0.91,0.62,0.67,0.63,1.86,0.4,,1.15,0.26,0.31,,0.88,1.11,0.89,1.45,0.58,,1.03,0.9,0.82
temp_5,1.01,1.08,0.74,1.01,1.07,0.59,0.99,0.5,0.45,0.25,0.51,0.42,,0.41,,,,0.16,,1.17,2.06,0.78,,0.57,1.1,1.05,0.91
temp_2,1.09,0.99,1.22,0.94,0.79,1.68,0.68,0.71,,,0.49,,0.34,,,,,,,1.34,1.16,,0.72,,1.33,1.13,1.04
temp_6,1.08,1.02,1.7,0.96,0.86,1.24,0.69,,,,,,,,,,,,,1.36,1.61,1.0,,0.59,1.43,1.21,1.13
temp_7,,1.69,,,1.63,,,,,,,,,,,,,,,2.29,,1.69,,0.96,2.4,2.03,1.9
traffic_volume_2,0.76,0.71,0.73,0.6,0.58,0.6,0.55,0.57,0.45,0.47,0.5,0.45,0.39,0.41,1.26,0.51,0.32,0.24,,0.94,0.89,0.83,0.67,0.57,0.92,0.82,0.74
traffic_volume_0,0.88,0.79,0.72,0.75,0.64,0.58,0.58,0.48,0.43,0.42,0.51,0.63,0.4,0.39,0.19,0.2,0.44,0.25,0.15,1.0,0.94,0.93,0.66,0.6,1.01,0.86,0.79
traffic_volume_1,0.91,0.89,0.73,0.79,0.69,0.57,0.59,0.58,0.49,0.47,0.55,0.42,0.45,0.44,0.26,0.2,0.23,0.33,0.16,1.03,0.96,1.03,0.66,0.64,1.12,0.93,0.83
