,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,haze,drizzle,heavy snow,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.17,1.01,0.66,1.33,1.24,0.87,1.35,0.52,0.67,0.44,0.57,1.84,0.87,1.28,0.85,0.95,0.85,1.0,1.0,1.02
sky is clear,0.65,1.64,0.28,0.9,1.46,0.32,1.13,0.21,,,,,1.06,1.2,0.84,1.89,2.17,0.97,0.95,0.91
mist,1.0,0.34,2.1,0.44,0.25,1.78,0.21,2.13,2.2,2.81,1.94,,0.95,0.44,1.33,,,1.02,1.03,1.02
broken clouds,0.96,1.33,0.37,1.49,1.42,0.49,1.69,0.48,,,,,1.07,1.23,0.9,1.32,1.39,1.0,1.01,1.0
few clouds,0.88,1.48,0.38,1.24,1.76,0.29,1.46,,,,,,1.01,1.36,0.69,1.95,1.46,1.0,0.99,0.99
light rain,1.26,0.45,1.94,0.71,,2.02,,2.19,2.38,1.62,3.23,,1.13,0.59,1.36,,,1.02,1.01,1.03
scattered clouds,0.89,1.29,0.52,1.34,1.22,0.39,1.85,,,1.18,,,1.1,1.22,0.56,1.94,1.85,0.98,0.98,1.02
light intensity drizzle,1.26,0.55,1.86,0.8,,1.99,,2.36,2.11,1.57,2.56,,1.16,,1.47,,,1.01,1.01,1.03
moderate rain,1.26,,2.14,,,2.23,,2.55,3.21,,4.07,,1.06,,1.87,,,1.03,1.04,1.03
haze,1.13,,2.0,,,,,1.69,,4.05,,,0.7,,,,,1.03,1.04,1.03
drizzle,1.26,,2.24,,,2.33,,2.76,3.04,,4.11,,1.22,,,,,1.03,1.04,1.03
fog,,,2.24,,,1.83,,2.29,,,,,,,,,,1.03,1.04,1.03
heavy snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,,,,,,,
temp_4,1.04,0.94,1.17,1.07,0.88,1.19,0.86,1.45,1.02,0.71,1.36,,1.18,0.64,0.99,0.87,1.17,1.01,1.0,1.01
temp_3,1.11,1.03,0.85,0.95,1.0,0.91,0.99,0.71,0.97,1.03,1.27,2.95,0.88,1.76,0.26,1.16,,1.01,1.03,1.03
temp_5,0.93,0.72,1.3,0.83,0.92,1.24,1.02,1.06,1.66,2.07,,,0.78,0.31,2.6,,1.38,0.98,0.99,0.98
temp_2,0.79,1.59,,1.4,1.84,,1.94,,,,,,1.06,1.66,,3.86,,1.03,1.01,0.92
temp_6,,1.48,,0.59,1.14,,,,,,,,0.94,,2.08,,7.1,0.8,0.77,0.8
temp_7,,,,,,,,,,,,,,,,,,,,
traffic_volume_2,0.98,1.01,1.03,0.93,0.91,1.05,0.98,1.09,1.05,1.16,1.02,0.81,1.0,0.98,1.19,0.96,1.16,1.0,1.02,1.01
traffic_volume_0,1.01,0.92,0.94,1.03,1.06,0.96,1.01,0.86,0.97,0.87,0.98,1.01,1.03,1.04,0.89,1.05,0.9,1.01,0.97,0.98
traffic_volume_1,1.02,1.08,1.0,1.11,1.11,0.95,1.03,0.99,0.93,0.84,0.99,1.37,0.96,1.0,0.75,1.01,0.81,0.98,1.0,1.01
