,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,haze,drizzle,heavy snow,temp_4,temp_3,temp_5,temp_2,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.54,1.11,1.04,1.72,1.38,1.3,1.55,0.93,1.63,0.79,1.07,1.58,1.11,1.21,1.07,0.82,1.37,1.21,1.52
sky is clear,1.18,1.65,,1.42,1.56,,1.39,,,,,,1.3,1.18,1.02,1.46,1.28,1.43,1.5
mist,1.56,0.62,1.82,0.74,,1.89,,2.22,2.11,2.7,2.03,,1.29,0.85,1.26,,1.37,1.65,1.72
broken clouds,1.25,1.46,0.74,1.8,1.75,1.21,1.93,,,,,,1.29,1.3,1.03,1.21,1.34,1.4,1.55
few clouds,1.19,1.58,,1.66,1.9,,1.8,,,,,,1.15,1.37,0.85,1.54,1.33,1.32,1.52
light rain,2.02,,1.84,1.2,,2.12,,2.33,2.34,,2.84,,1.58,0.95,1.63,,1.44,1.78,1.87
scattered clouds,1.32,1.57,,1.7,1.45,,2.01,,,,,,1.38,1.33,0.82,1.55,1.33,1.24,1.51
light intensity drizzle,2.22,,1.8,,,2.21,,2.46,2.31,,2.41,,1.52,,,,1.49,1.81,1.91
moderate rain,,,2.06,,,2.56,,3.02,2.91,,,,1.84,,,,1.59,1.93,2.13
haze,,,2.0,,,,,,,3.07,,,,,,,1.74,1.29,1.88
drizzle,,,2.16,,,2.54,,2.96,2.84,,3.22,,1.71,,,,1.57,,2.08
fog,,,2.17,,,,,,,,,,,,,,1.52,,
heavy snow,,,,,,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,,,,,,
temp_4,1.46,1.19,1.23,1.33,1.18,1.48,1.16,1.69,1.51,1.0,1.62,,1.29,0.79,1.2,1.0,1.28,1.26,1.46
temp_3,1.39,1.13,1.18,1.36,1.26,1.42,1.37,1.6,1.6,1.54,2.12,1.57,1.21,1.43,,0.93,1.28,1.42,1.59
temp_5,1.44,1.05,1.41,1.45,1.46,1.59,1.81,1.47,1.73,2.01,,,1.05,,1.68,,1.34,1.37,1.57
temp_2,1.31,1.65,,2.04,1.91,,1.93,,,,,,1.22,1.42,,2.12,1.22,1.92,1.62
temp_6,,1.65,,1.31,1.18,,,,,,,,1.27,,1.29,,1.27,0.98,1.32
temp_7,,,,,,,,,,,,,,,,,,,
traffic_volume_2,1.25,1.2,1.3,1.28,1.18,1.52,1.34,1.63,1.48,1.39,1.65,0.95,1.15,1.13,1.01,1.29,1.23,1.5,1.49
traffic_volume_0,1.55,1.1,1.07,1.53,1.34,1.28,1.29,1.25,1.41,1.35,1.48,,1.23,0.95,1.18,0.69,1.35,1.39,1.53
traffic_volume_1,1.45,1.23,1.18,1.38,1.35,1.42,1.35,1.51,1.6,1.39,1.38,1.35,1.25,1.12,1.05,0.91,1.23,0.91,1.48
