,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,haze,drizzle,heavy snow,temp_4,temp_3,temp_5,temp_2,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.35,0.93,0.84,1.36,1.05,0.95,1.12,0.63,1.01,0.48,0.64,0.84,1.06,1.12,0.9,0.6,1.35,1.1,1.34
sky is clear,1.05,1.41,,1.15,1.21,,1.03,,,,,,1.28,1.11,0.87,1.09,1.29,1.33,1.35
mist,1.42,0.54,1.52,0.61,,1.42,,1.55,1.36,1.68,1.26,,1.28,0.81,1.09,,1.39,1.56,1.57
broken clouds,1.15,1.28,0.62,1.49,1.39,0.92,1.46,,,,,,1.3,1.25,0.9,0.93,1.37,1.33,1.43
few clouds,1.11,1.41,,1.39,1.53,,1.38,,,,,,1.18,1.35,0.75,1.21,1.39,1.28,1.43
light rain,1.91,,1.61,1.03,,1.67,,1.71,1.57,,1.84,,1.64,0.95,1.47,,1.53,1.76,1.79
scattered clouds,1.25,1.43,,1.46,1.2,,1.58,,,,,,1.44,1.33,0.75,1.23,1.42,1.23,1.45
light intensity drizzle,2.17,,1.62,,,1.8,,1.86,1.6,,1.62,,1.63,,,,1.64,1.85,1.88
moderate rain,,,1.93,,,2.16,,2.37,2.1,,,,2.05,,,,1.81,2.04,2.18
haze,,,1.91,,,,,,,2.16,,,,,,,2.01,1.39,1.96
drizzle,,,2.06,,,2.18,,2.36,2.07,,2.27,,1.94,,,,1.82,,2.16
fog,,,2.11,,,,,,,,,,,,,,1.8,,
heavy snow,,,,,,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,,,,,,
temp_4,1.23,0.96,0.95,1.01,0.86,1.03,0.81,1.1,0.9,0.58,0.93,,1.19,0.7,0.96,0.71,1.21,1.1,1.24
temp_3,1.19,0.92,0.93,1.05,0.94,1.01,0.97,1.06,0.98,0.9,1.24,0.82,1.14,1.29,,0.67,1.23,1.27,1.38
temp_5,1.28,0.9,1.16,1.17,1.13,1.18,1.34,1.02,1.1,1.23,,,1.03,,1.43,,1.35,1.27,1.42
temp_2,1.24,1.49,,1.74,1.56,,1.5,,,,,,1.26,1.42,,1.68,1.29,1.89,1.55
temp_6,,1.57,,1.18,1.03,,,,,,,,1.4,,1.23,,1.42,1.02,1.33
temp_7,,,,,,,,,,,,,,,,,,,
traffic_volume_2,1.04,0.96,1.0,0.97,0.85,1.05,0.92,1.05,0.88,0.8,0.94,0.48,1.06,0.99,0.81,0.9,1.15,1.3,1.25
traffic_volume_0,1.33,0.91,0.85,1.19,1.0,0.92,0.92,0.84,0.86,0.8,0.87,,1.16,0.87,0.97,0.5,1.3,1.25,1.33
traffic_volume_1,1.26,1.03,0.95,1.09,1.02,1.03,0.98,1.02,0.99,0.83,0.82,0.72,1.2,1.03,0.88,0.67,1.21,0.82,1.3
