,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,haze,drizzle,heavy snow,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.38,1.25,0.9,1.44,1.35,1.0,1.44,0.72,0.92,0.62,0.8,1.1,1.19,1.24,1.04,0.85,0.97,1.32,1.37,1.4
sky is clear,1.07,1.35,0.71,1.2,1.32,0.9,1.18,0.72,,,,,1.24,1.21,0.81,1.34,0.76,1.27,1.32,1.34
mist,1.56,0.96,1.54,1.2,0.83,1.6,0.71,1.71,1.46,2.06,1.19,,1.33,0.85,1.21,,,1.44,1.56,1.52
broken clouds,1.39,1.5,0.8,1.56,1.56,0.86,1.59,0.91,,,,,1.43,1.31,0.96,1.04,0.78,1.42,1.47,1.49
few clouds,1.47,1.42,1.2,1.56,1.55,0.89,1.43,,,,,,1.4,1.35,0.88,1.31,0.91,1.45,1.5,1.53
light rain,1.86,,1.62,1.47,1.01,1.74,,1.7,1.63,,1.77,,1.64,1.03,1.82,,,1.61,1.73,1.67
scattered clouds,1.53,1.59,0.95,1.59,1.42,0.91,1.67,1.1,,,,,1.54,1.35,0.8,1.38,,1.52,1.59,1.62
light intensity drizzle,2.09,,1.71,1.92,,1.81,,1.86,1.65,,1.6,,1.72,0.92,,,,1.73,1.82,1.77
moderate rain,2.12,,1.93,,,2.13,,2.37,2.22,,2.51,,2.04,,,,,1.83,2.0,1.98
haze,,,1.91,,,,,,,2.12,,,1.57,,,,,1.92,1.9,1.93
drizzle,,,2.1,,,2.22,,2.36,2.24,,2.32,,1.98,,,,,1.99,2.23,2.0
fog,1.95,,2.11,,,,,,,,,,,,,,,1.9,2.07,2.06
heavy snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,,,,,,,
temp_4,1.27,1.05,1.04,1.23,1.01,1.11,1.0,1.13,0.86,0.84,0.94,,1.2,0.82,1.0,0.83,0.74,1.22,1.26,1.26
temp_3,1.32,1.13,1.06,1.12,1.07,1.08,1.09,1.19,1.1,1.09,1.24,1.07,1.2,1.3,0.69,0.93,,1.27,1.34,1.35
temp_5,1.42,1.21,1.16,1.42,1.51,1.26,1.57,1.07,1.3,1.35,,,1.24,0.93,1.42,,0.88,1.31,1.45,1.43
temp_2,1.53,1.65,,1.68,1.73,,1.62,0.8,,0.81,,,1.48,1.57,,1.72,,1.52,1.58,1.58
temp_6,,1.57,,1.23,1.54,,,,,,,,1.44,,1.56,,1.74,1.42,1.48,1.51
temp_7,,,,,,,,,,,,,,,,,,,,
traffic_volume_2,1.19,1.07,1.01,1.08,1.05,1.11,1.05,1.1,0.97,0.99,0.88,0.62,1.17,0.98,1.0,0.82,0.69,1.17,1.25,1.25
traffic_volume_0,1.34,1.1,1.03,1.27,1.16,1.07,1.14,0.96,0.89,0.9,0.86,0.6,1.21,1.07,0.9,0.91,0.57,1.25,1.31,1.32
traffic_volume_1,1.37,1.22,1.02,1.39,1.19,1.05,1.16,1.09,0.97,1.0,0.9,0.72,1.2,1.07,0.88,0.88,0.62,1.33,1.37,1.36
