,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,temp_4,temp_3,temp_5,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.33,0.74,0.76,1.21,0.72,0.84,0.79,0.57,0.94,1.06,0.82,1.29,0.84,1.19
sky is clear,0.81,1.41,,0.9,1.1,,0.83,,1.15,1.04,0.84,1.02,1.2,1.1
mist,1.06,,1.51,,,1.35,,1.45,1.21,0.83,0.98,1.11,1.36,1.43
broken clouds,1.08,0.97,,1.38,1.18,0.76,1.26,,1.25,1.18,0.79,1.25,1.05,1.27
few clouds,0.89,1.31,,1.14,1.48,,1.13,,0.91,1.2,0.81,1.33,1.18,1.26
light rain,1.71,,1.58,,,1.66,,1.69,1.56,0.94,1.0,1.23,1.71,1.64
scattered clouds,1.18,1.38,,1.29,1.09,,1.48,,1.23,1.11,,1.4,0.93,1.11
light intensity drizzle,2.05,,1.59,,,1.82,,1.79,1.53,,,1.34,1.73,1.62
moderate rain,,,1.96,,,2.03,,2.41,1.84,,,1.61,,
haze,,,1.91,,,,,,,,,,,1.61
drizzle,,,2.06,,,2.22,,2.27,1.83,,,,,
fog,,,2.01,,,,,,,,,,,
heavy snow,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,
temp_4,1.11,0.78,0.95,0.86,0.76,0.93,0.7,1.02,1.18,0.63,0.74,1.07,0.94,1.07
temp_3,1.02,0.81,0.83,0.92,0.82,1.02,0.83,0.94,0.98,1.26,,1.02,1.16,1.3
temp_5,1.13,0.83,1.12,0.93,0.84,1.08,,1.0,0.8,,1.42,1.32,0.88,1.06
temp_2,0.85,1.45,,1.36,1.32,,1.11,,0.6,1.23,,0.67,1.92,1.51
temp_6,,1.65,,,1.18,,1.21,,,,1.22,1.78,,
temp_7,,,,,,,,,,,,,,
traffic_volume_2,0.87,0.91,0.95,0.9,0.75,0.99,0.79,0.96,0.93,0.93,0.71,1.13,1.11,0.97
traffic_volume_0,1.2,0.7,0.83,0.91,0.83,0.83,0.71,0.81,1.13,0.88,0.89,0.66,1.25,1.28
traffic_volume_1,1.18,0.89,0.93,0.92,0.9,0.91,0.85,0.94,1.05,0.87,0.83,1.34,0.74,1.2
