,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,haze,drizzle,heavy snow,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.02,0.98,0.92,1.0,1.01,0.77,1.05,0.62,0.91,0.6,0.77,0.89,1.07,1.1,1.14,0.78,1.05,1.13,1.04,1.03
sky is clear,0.95,0.97,0.77,0.92,0.84,0.85,0.82,0.66,,,,,1.06,1.03,0.87,1.08,0.73,1.1,1.04,0.98
mist,1.27,1.15,1.0,1.04,0.83,0.98,0.71,1.0,0.82,1.29,0.75,,1.16,1.04,1.1,,,1.22,1.32,1.16
broken clouds,1.02,1.12,0.9,0.99,1.04,1.01,0.94,1.12,,,,,1.18,1.14,1.02,0.84,0.79,1.18,1.11,1.08
few clouds,1.17,1.04,,1.09,0.99,,0.87,,,,,,1.17,1.13,0.92,0.99,,1.2,1.13,1.09
light rain,1.62,,1.1,1.31,,1.03,,0.98,0.88,,0.97,,1.37,1.1,1.92,,,1.39,1.43,1.28
scattered clouds,1.09,1.13,1.17,1.0,0.91,,0.99,,,,,,1.27,1.14,0.9,1.03,,1.23,1.15,1.15
light intensity drizzle,1.76,,1.16,,,1.06,,1.02,0.9,,0.87,,1.35,,,,,1.47,1.51,1.38
moderate rain,1.76,,1.22,,,1.24,,1.36,1.08,,1.31,,1.83,,,,,1.54,1.81,1.5
haze,,,1.22,,,,,,,1.04,,,,,,,,1.69,1.45,1.37
drizzle,,,1.29,,,1.19,,1.24,0.96,,1.07,,1.55,,,,,1.75,,1.37
fog,,,1.3,,,,,,,,,,,,,,,1.5,,1.44
heavy snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,,,,,,,
temp_4,1.04,0.94,0.85,0.89,0.8,0.82,0.72,0.8,0.67,0.76,0.71,,1.0,0.85,1.15,0.95,0.96,1.08,0.99,0.94
temp_3,1.03,0.93,0.96,0.87,0.8,0.87,0.83,1.19,0.95,0.93,1.09,0.72,1.14,1.02,1.04,0.74,,1.09,1.08,1.03
temp_5,1.15,1.07,0.92,1.14,1.25,0.85,1.39,0.74,0.78,0.85,,,1.08,1.67,0.98,,0.68,1.1,1.22,1.1
temp_2,1.19,1.15,,1.25,1.04,,0.96,,,,,,1.25,1.13,,1.0,,1.24,1.17,1.08
temp_6,,1.08,,0.91,0.92,,,,,,,,1.18,,1.05,,0.89,1.2,1.11,1.11
temp_7,,,,,,,,,,,,,,,,,,,,
traffic_volume_2,0.97,0.89,0.91,0.81,0.76,0.89,0.8,0.86,0.75,0.81,0.81,0.56,1.01,0.94,0.96,0.84,0.73,1.0,1.03,0.97
traffic_volume_0,1.11,0.91,0.87,1.03,0.89,0.8,0.81,0.72,0.73,0.84,0.69,0.67,1.06,0.98,0.98,0.83,0.73,1.1,1.0,0.97
traffic_volume_1,1.07,1.09,0.88,1.01,0.97,0.79,0.84,0.88,0.77,0.75,0.76,0.76,1.07,1.01,1.05,0.81,0.84,1.16,1.09,1.02
