,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,haze,drizzle,heavy snow,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,0.83,0.84,0.85,0.75,0.78,0.58,0.77,0.49,0.72,0.49,0.61,0.64,1.01,1.0,1.13,0.67,1.01,1.04,0.87,0.84
sky is clear,0.85,0.75,0.81,0.74,0.6,0.81,0.6,0.63,,,,,0.97,0.95,0.82,0.86,0.54,1.01,0.89,0.8
mist,1.11,1.27,0.75,0.99,0.85,0.68,0.71,0.66,0.5,0.85,0.46,,1.09,1.17,0.99,,,1.14,1.16,0.96
broken clouds,0.86,0.94,0.93,0.73,0.79,0.91,0.65,1.01,,,,,1.09,1.06,0.97,0.68,0.65,1.1,0.94,0.88
few clouds,1.03,0.84,,0.84,0.71,,0.61,,,,,,1.09,1.03,0.91,0.77,,1.12,0.96,0.9
light rain,1.42,,0.84,1.18,,0.7,,0.63,0.53,,0.57,,1.29,1.17,1.92,,,1.33,1.28,1.08
scattered clouds,0.95,0.95,1.18,0.75,0.69,,0.68,,,,,,1.18,1.05,0.92,0.81,,1.15,0.99,0.95
light intensity drizzle,1.56,,0.91,,,0.73,,0.65,0.56,,0.53,,1.27,,,,,1.43,1.36,1.17
moderate rain,1.56,,0.94,,,0.86,,0.91,0.64,,0.78,,1.86,,,,,1.5,1.68,1.3
haze,,,0.95,,,,,,,0.6,,,,,,,,1.67,1.29,1.17
drizzle,,,0.99,,,0.81,,0.8,0.57,,0.61,,1.48,,,,,1.74,,1.17
fog,,,1.0,,,,,,,,,,,,,,,1.45,,1.24
heavy snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,,,,,,,
temp_4,0.87,0.81,0.68,0.69,0.64,0.6,0.54,0.54,0.45,0.59,0.47,,0.88,0.84,1.1,0.86,0.85,0.98,0.83,0.75
temp_3,0.84,0.78,0.85,0.68,0.62,0.68,0.62,1.01,0.7,0.69,0.79,0.45,1.09,0.86,1.29,0.61,,1.0,0.9,0.83
temp_5,1.0,1.0,0.74,0.96,1.07,0.61,1.15,0.52,0.49,0.54,,,1.05,2.2,0.75,,0.55,1.01,1.06,0.9
temp_2,1.08,0.93,,0.97,0.75,,0.65,,,,,,1.17,0.99,,0.68,,1.16,1.01,0.9
temp_6,,0.88,,0.79,0.71,,,,,,,,1.13,,0.85,,0.54,1.17,1.0,0.96
temp_7,,,,,,,,,,,,,,,,,,,,
traffic_volume_2,0.8,0.75,0.76,0.63,0.59,0.67,0.6,0.62,0.52,0.58,0.58,0.43,0.92,0.88,0.85,0.73,0.62,0.9,0.86,0.77
traffic_volume_0,0.94,0.78,0.73,0.82,0.69,0.6,0.6,0.53,0.51,0.63,0.48,0.51,0.97,0.92,0.93,0.71,0.65,1.0,0.84,0.78
traffic_volume_1,0.9,0.94,0.73,0.78,0.76,0.6,0.63,0.65,0.55,0.56,0.54,0.56,0.99,0.95,1.05,0.69,0.78,1.08,0.92,0.82
