,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,haze,drizzle,heavy snow,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.56,1.34,1.09,1.78,1.68,1.32,1.91,1.0,1.48,0.91,1.22,1.73,1.2,1.32,1.16,1.05,1.12,1.34,1.48,1.59
sky is clear,1.18,1.61,0.69,1.45,1.61,0.94,1.53,0.72,,,,,1.29,1.24,0.99,1.69,1.31,1.3,1.45,1.47
mist,1.67,0.95,1.82,1.17,0.79,2.03,0.72,2.34,2.24,3.02,1.97,,1.3,0.83,1.36,,,1.41,1.73,1.7
broken clouds,1.43,1.61,0.85,1.84,1.81,1.23,1.95,1.38,,,,,1.37,1.33,1.11,1.25,1.15,1.37,1.54,1.61
few clouds,1.51,1.61,,1.82,1.91,,1.77,,,,,,1.34,1.37,0.94,1.62,,1.38,1.54,1.62
light rain,2.12,,1.86,1.63,,2.2,,2.33,2.4,,2.81,,1.54,0.96,1.92,,,1.53,1.79,1.81
scattered clouds,1.46,1.6,1.14,1.78,1.57,,2.09,,,,,,1.46,1.32,0.85,1.66,,1.4,1.55,1.69
light intensity drizzle,2.22,,1.89,,,2.22,,2.46,2.33,,2.41,,1.54,,,,,1.57,1.86,1.89
moderate rain,2.22,,2.06,,,2.56,,3.02,3.08,,3.71,,1.79,,,,,1.63,2.09,1.99
haze,,,2.0,,,,,,,3.07,,,,,,,,1.72,1.83,1.89
drizzle,,,2.16,,,2.54,,2.96,2.81,,3.29,,1.71,,,,,1.76,,1.89
fog,,,2.17,,,,,,,,,,,,,,,1.6,,1.94
heavy snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,,,,,,,
temp_4,1.5,1.27,1.3,1.52,1.28,1.56,1.27,1.76,1.45,1.27,1.66,,1.29,0.85,1.24,1.14,1.2,1.3,1.43,1.49
temp_3,1.53,1.3,1.24,1.43,1.34,1.45,1.47,1.68,1.77,1.66,2.09,1.84,1.25,1.43,0.69,1.11,,1.32,1.52,1.59
temp_5,1.53,1.23,1.43,1.59,1.7,1.61,2.02,1.48,1.94,2.08,,,1.15,0.97,1.66,,1.04,1.31,1.61,1.62
temp_2,1.46,1.76,,2.07,2.01,,2.1,,,,,,1.43,1.49,,2.15,,1.43,1.59,1.56
temp_6,,1.65,,1.21,1.54,,,,,,,,1.31,,1.58,,2.36,1.27,1.39,1.5
temp_7,,,,,,,,,,,,,,,,,,,,
traffic_volume_2,1.41,1.26,1.29,1.35,1.25,1.55,1.43,1.64,1.58,1.61,1.6,0.95,1.22,1.08,1.2,1.11,1.02,1.25,1.48,1.51
traffic_volume_0,1.54,1.22,1.21,1.63,1.46,1.4,1.45,1.35,1.5,1.46,1.42,1.15,1.27,1.13,1.08,1.14,0.92,1.32,1.43,1.5
traffic_volume_1,1.52,1.45,1.25,1.66,1.57,1.39,1.5,1.59,1.53,1.34,1.53,1.4,1.24,1.13,1.05,1.11,0.96,1.35,1.52,1.56
