,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,haze,drizzle,heavy snow,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.02,0.95,0.87,0.93,0.91,0.67,0.91,0.52,0.71,0.46,0.59,0.62,1.15,1.14,1.1,0.69,0.84,1.23,1.07,1.04
sky is clear,0.98,0.97,0.75,0.89,0.78,0.77,0.74,0.57,,,,,1.18,1.11,0.87,0.98,0.61,1.23,1.11,1.02
mist,1.35,1.18,1.0,1.03,0.79,0.91,0.66,0.88,0.68,1.04,0.6,,1.31,1.14,1.13,,,1.41,1.44,1.24
broken clouds,1.09,1.17,0.92,0.99,1.02,0.95,0.88,1.0,,,,,1.35,1.28,1.06,0.79,0.68,1.38,1.23,1.17
few clouds,1.3,1.12,,1.12,0.99,,0.84,,,,,,1.38,1.3,0.99,0.97,,1.44,1.28,1.22
light rain,1.85,,1.18,1.39,,1.03,,0.92,0.78,,0.84,,1.67,1.3,2.12,,,1.72,1.68,1.47
scattered clouds,1.25,1.25,1.26,1.07,0.94,,0.99,,,,,,1.56,1.35,1.0,1.04,,1.53,1.36,1.33
light intensity drizzle,2.11,,1.32,,,1.11,,1.02,0.85,,0.8,,1.74,,,,,1.92,1.87,1.66
moderate rain,2.25,,1.47,,,1.39,,1.44,1.08,,1.28,,2.51,,,,,2.14,2.38,1.93
haze,,,1.51,,,,,,,1.04,,,,,,,,2.4,1.95,1.81
drizzle,,,1.59,,,1.37,,1.36,0.99,,1.07,,2.18,,,,,2.49,,1.81
fog,,,1.66,,,,,,,,,,,,,,,2.21,,1.96
heavy snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,,,,,,,
temp_4,0.97,0.85,0.75,0.78,0.68,0.68,0.59,0.62,0.49,0.54,0.51,,1.0,0.82,1.04,0.78,0.72,1.1,0.95,0.89
temp_3,0.99,0.86,0.87,0.78,0.7,0.74,0.7,0.96,0.72,0.68,0.8,0.49,1.18,1.02,0.97,0.63,,1.14,1.07,1.0
temp_5,1.19,1.07,0.9,1.09,1.16,0.77,1.25,0.64,0.63,0.67,,,1.2,1.79,0.98,,0.56,1.23,1.29,1.14
temp_2,1.35,1.26,,1.31,1.07,,0.95,,,,,,1.52,1.33,,1.0,,1.53,1.37,1.23
temp_6,,1.3,,1.05,1.04,,,,,,,,1.57,,1.26,,0.89,1.63,1.42,1.39
temp_7,,,,,,,,,,,,,,,,,,,,
traffic_volume_2,0.89,0.8,0.79,0.69,0.63,0.72,0.65,0.66,0.54,0.57,0.57,0.36,1.0,0.9,0.85,0.68,0.54,1.0,0.97,0.9
traffic_volume_0,1.07,0.85,0.79,0.93,0.78,0.68,0.68,0.59,0.55,0.62,0.51,0.46,1.1,0.99,0.92,0.71,0.57,1.16,1.0,0.95
traffic_volume_1,1.06,1.04,0.82,0.93,0.87,0.69,0.73,0.72,0.6,0.57,0.58,0.53,1.14,1.04,1.01,0.71,0.67,1.26,1.12,1.02
