,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,haze,drizzle,heavy snow,temp_4,temp_3,temp_5,temp_2,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.02,0.97,0.93,1.0,0.97,0.8,0.99,0.6,1.11,0.56,0.75,0.85,1.05,1.05,1.08,0.76,1.2,0.94,1.02
sky is clear,1.1,0.99,,0.97,0.85,,0.8,,,,,,1.11,1.02,0.94,0.99,1.09,1.11,1.01
mist,1.35,0.94,1.0,0.82,,0.95,,1.01,0.83,1.21,0.81,,1.18,1.09,1.07,,1.24,1.4,1.21
broken clouds,0.95,1.11,0.87,0.98,1.12,1.04,0.98,,,,,,1.19,1.16,0.98,0.89,1.17,1.11,1.07
few clouds,1.02,1.04,,1.04,0.99,,0.92,,,,,,1.08,1.14,0.88,0.98,1.18,1.1,1.06
light rain,1.62,,1.09,1.18,,1.0,,0.98,0.87,,1.0,,1.42,1.12,1.7,,1.37,1.54,1.38
scattered clouds,1.11,1.13,,0.99,0.88,,0.99,,,,,,1.27,1.17,0.89,1.01,1.2,1.05,1.09
light intensity drizzle,1.84,,1.11,,,1.04,,1.02,0.92,,0.87,,1.33,,,,1.47,1.61,1.47
moderate rain,,,1.22,,,1.24,,1.36,1.06,,,,1.92,,,,1.51,1.8,1.73
haze,,,1.22,,,,,,,1.04,,,,,,,1.77,1.17,1.47
drizzle,,,1.29,,,1.19,,1.24,1.03,,1.07,,1.55,,,,1.69,,1.62
fog,,,1.3,,,,,,,,,,,,,,1.44,,
heavy snow,,,,,,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,,,,,,
temp_4,1.08,0.94,0.83,0.85,0.83,0.81,0.72,0.8,0.71,0.69,0.71,,1.0,0.85,1.2,0.93,1.09,0.96,0.96
temp_3,0.99,0.91,0.94,0.87,0.81,0.91,0.83,1.21,0.91,0.96,1.19,0.68,1.22,1.02,,0.73,1.1,1.11,1.06
temp_5,1.15,1.01,0.94,1.08,1.23,0.89,1.43,0.78,0.77,0.88,,,1.08,,0.99,,1.14,1.12,1.11
temp_2,1.3,1.11,,1.26,1.02,,0.93,,,,,,1.15,1.1,,1.0,1.11,1.64,1.16
temp_6,,1.08,,1.03,0.76,,,,,,,,1.19,,0.91,,1.2,0.87,1.01
temp_7,,,,,,,,,,,,,,,,,,,
traffic_volume_2,0.92,0.91,0.94,0.81,0.77,0.91,0.79,0.9,0.72,0.81,0.89,0.58,0.99,1.01,0.85,1.08,1.0,1.16,0.99
traffic_volume_0,1.21,0.87,0.8,1.0,0.89,0.78,0.79,0.73,0.75,0.86,0.74,,1.07,0.88,1.1,0.59,1.15,1.0,1.0
traffic_volume_1,1.09,1.02,0.87,0.92,0.93,0.84,0.87,0.86,0.87,0.82,0.71,0.85,1.13,1.0,1.12,0.73,1.14,0.8,1.0
