,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,drizzle,haze,fog,heavy snow,proximity thunderstorm,heavy intensity rain,snow,heavy intensity drizzle,proximity shower rain,proximity thunderstorm with rain,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.58,1.5,1.11,1.82,1.78,1.38,1.99,1.06,1.47,1.34,1.04,0.99,2.06,0.93,2.22,2.56,2.05,0.74,2.51,1.24,1.35,1.24,1.15,1.5,1.34,1.51,1.58
sky is clear,1.2,1.58,0.86,1.48,1.7,1.2,1.6,1.04,0.77,0.2,0.26,,,,,,,2.68,,1.26,1.28,0.95,1.79,1.15,1.26,1.42,1.48
mist,1.72,1.11,1.84,1.46,1.06,2.12,0.95,2.44,2.28,1.92,3.31,2.14,0.73,3.56,1.72,1.98,3.14,,1.93,1.33,0.89,1.4,0.53,0.47,1.42,1.65,1.67
broken clouds,1.51,1.72,0.95,1.88,1.96,1.13,2.11,1.29,0.68,0.96,0.98,1.68,1.03,,,,,1.01,,1.42,1.36,1.1,1.35,1.15,1.38,1.54,1.61
few clouds,1.58,1.6,1.4,1.85,1.92,1.15,1.86,0.86,0.86,,0.82,1.36,3.44,,,,,1.59,,1.37,1.37,0.99,1.68,1.32,1.38,1.55,1.63
light rain,1.96,1.49,1.85,1.71,1.22,2.21,0.97,2.32,2.42,2.73,3.8,1.76,0.77,1.23,1.61,3.28,,1.88,2.21,1.57,1.03,2.0,0.4,0.67,1.51,1.75,1.75
scattered clouds,1.61,1.75,1.09,1.85,1.73,1.16,2.13,1.5,0.65,,2.18,0.83,1.42,,,,,3.66,,1.47,1.34,0.88,1.72,1.66,1.43,1.61,1.69
light intensity drizzle,2.13,1.59,1.89,2.17,1.75,2.22,1.17,2.46,2.38,2.38,3.09,2.08,,1.74,,,,,,1.6,0.89,2.37,0.81,,1.57,1.78,1.8
moderate rain,2.09,0.98,2.06,1.19,0.69,2.52,0.92,3.02,3.08,3.61,2.87,3.11,1.01,2.26,3.5,3.07,,,3.85,1.82,1.03,2.6,,,1.61,1.9,1.93
drizzle,2.44,,2.2,1.99,,2.58,,2.96,3.07,3.29,3.66,2.83,,,,3.43,,,,1.74,0.62,1.97,,,1.72,2.08,1.92
haze,2.66,3.12,2.0,1.46,1.81,1.7,1.95,2.39,2.08,0.88,3.0,2.2,,5.43,,,3.0,,,1.39,1.38,1.5,1.33,,1.65,1.77,1.86
fog,1.85,,2.17,0.87,0.7,4.58,0.75,5.13,2.74,1.59,4.93,3.38,,,,,,,,1.31,0.41,1.0,,,1.6,1.89,1.94
heavy snow,1.98,,2.23,0.81,0.55,3.37,1.46,,3.94,,,,3.63,,,,,,,3.05,1.83,,1.42,,1.65,1.86,1.95
proximity thunderstorm,3.34,,2.0,,,2.05,,2.63,3.51,,3.18,,,4.68,,,,,,,,2.21,,,1.72,3.14,2.37
heavy intensity rain,2.97,,2.42,1.61,,2.84,,,3.64,,,4.34,,,3.86,,,,5.01,2.57,0.91,,,,1.78,2.79,2.38
thunderstorm with light rain,,,2.61,,,3.06,,3.44,3.93,,4.15,,,5.71,,,,,,,,2.47,,,1.93,,
snow,2.3,,2.61,,,3.06,,,3.93,4.15,,,,,,,,,,1.99,2.12,,,,1.93,2.17,2.27
heavy intensity drizzle,,,2.61,,,,,,,,4.15,,,,,,,,,1.99,2.12,,,,1.93,2.17,2.27
proximity shower rain,2.3,2.47,,2.7,2.87,3.06,3.1,,,,,,,,,,,,,1.99,,2.47,,,1.93,2.17,2.27
proximity thunderstorm with rain,,,2.61,,,3.06,,,3.93,,,,,,6.46,,,,,,2.12,,,,1.93,,
temp_4,1.51,1.31,1.33,1.62,1.38,1.58,1.44,1.74,1.43,1.62,1.46,1.56,0.35,0.17,0.72,0.6,0.73,1.92,,1.3,0.92,1.25,1.17,1.19,1.29,1.44,1.49
temp_3,1.54,1.38,1.34,1.45,1.43,1.51,1.54,1.8,1.81,2.11,1.85,1.63,2.04,,4.25,2.66,3.31,,5.29,1.27,1.44,0.85,1.29,,1.32,1.5,1.56
temp_5,1.58,1.42,1.41,1.76,1.95,1.69,2.13,1.55,2.06,0.52,2.21,1.97,,3.3,,,,1.55,,1.26,0.99,1.67,,1.33,1.31,1.56,1.58
temp_2,1.62,1.83,0.86,1.97,2.11,1.45,2.08,1.1,,,1.26,,0.95,,,,,,,1.43,1.58,,2.17,,1.43,1.61,1.66
temp_6,0.97,1.65,1.06,1.37,1.78,1.07,1.28,,,,,,,,,,,,,1.31,0.8,1.63,,2.36,1.27,1.43,1.5
temp_7,,2.25,,,2.84,,,,,,,,,,,,,,,1.81,,2.25,,3.36,1.75,1.97,2.07
traffic_volume_2,1.43,1.35,1.32,1.44,1.46,1.59,1.53,1.7,1.65,1.54,1.73,1.37,1.22,1.55,3.29,2.51,1.98,1.37,,1.28,1.11,1.26,1.17,1.12,1.25,1.44,1.49
traffic_volume_0,1.55,1.33,1.29,1.63,1.55,1.49,1.6,1.44,1.45,1.46,1.53,1.77,1.14,1.29,0.77,1.27,2.7,1.15,0.96,1.28,1.17,1.09,1.25,0.9,1.29,1.46,1.51
traffic_volume_1,1.57,1.46,1.26,1.77,1.57,1.44,1.61,1.61,1.56,1.51,1.67,1.21,1.36,1.18,1.2,1.03,1.22,1.32,0.72,1.25,1.16,1.06,1.2,0.96,1.36,1.51,1.55
