,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,haze,drizzle,heavy snow,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.48,1.37,1.0,1.62,1.55,1.17,1.7,0.88,1.16,0.81,1.03,1.51,1.22,1.29,1.13,0.99,1.2,1.33,1.44,1.48
sky is clear,1.13,1.46,0.78,1.33,1.5,1.04,1.38,0.87,,,,,1.25,1.25,0.88,1.55,0.94,1.27,1.37,1.41
mist,1.64,1.03,1.68,1.32,0.94,1.85,0.82,2.04,1.83,2.61,1.51,,1.33,0.87,1.3,,,1.43,1.61,1.59
broken clouds,1.45,1.61,0.87,1.71,1.75,0.99,1.83,1.09,,,,,1.43,1.34,1.03,1.18,0.94,1.4,1.51,1.55
few clouds,1.52,1.51,1.3,1.7,1.73,1.02,1.63,,,,,,1.38,1.36,0.94,1.49,1.09,1.41,1.53,1.58
light rain,1.91,,1.73,1.58,1.11,1.96,,1.98,1.98,,2.2,,1.6,1.03,1.91,,,1.56,1.74,1.71
scattered clouds,1.57,1.67,1.02,1.72,1.57,1.03,1.89,1.28,,,,,1.5,1.35,0.84,1.54,,1.48,1.6,1.65
light intensity drizzle,2.11,,1.8,2.04,,2.01,,2.14,1.99,,1.95,,1.66,0.91,,,,1.65,1.8,1.79
moderate rain,2.11,,1.99,,,2.32,,2.68,2.61,,3.01,,1.93,,,,,1.72,1.95,1.95
haze,,,1.95,,,,,,,2.52,,,1.48,,,,,1.78,1.83,1.89
drizzle,,,2.15,,,2.39,,2.64,2.62,,2.77,,1.86,,,,,1.85,2.16,1.96
fog,1.9,,2.14,,,,,,,,,,,,,,,1.74,1.98,2.0
heavy snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,,,,,,,
temp_4,1.39,1.17,1.18,1.42,1.18,1.33,1.2,1.41,1.11,1.11,1.23,,1.25,0.87,1.12,0.98,0.94,1.26,1.34,1.37
temp_3,1.43,1.25,1.19,1.28,1.24,1.27,1.3,1.47,1.41,1.42,1.62,1.48,1.23,1.37,0.77,1.09,,1.29,1.42,1.45
temp_5,1.5,1.31,1.28,1.58,1.71,1.46,1.83,1.29,1.64,1.73,,,1.25,0.96,1.54,,1.08,1.31,1.5,1.5
temp_2,1.58,1.74,,1.82,1.91,,1.84,0.94,,1.01,,,1.45,1.58,,1.93,,1.48,1.6,1.62
temp_6,,1.61,,1.3,1.66,,,,,,,,1.38,,1.59,,2.03,1.34,1.46,1.51
temp_7,,,,,,,,,,,,,,,,,,,,
traffic_volume_2,1.31,1.2,1.15,1.25,1.24,1.33,1.27,1.37,1.27,1.31,1.16,0.87,1.22,1.04,1.12,0.98,0.88,1.21,1.34,1.37
traffic_volume_0,1.44,1.21,1.15,1.44,1.34,1.26,1.35,1.17,1.13,1.18,1.12,0.83,1.24,1.12,0.99,1.06,0.71,1.27,1.38,1.41
traffic_volume_1,1.46,1.34,1.13,1.57,1.37,1.23,1.36,1.32,1.23,1.29,1.17,0.99,1.22,1.11,0.97,1.03,0.77,1.34,1.44,1.45
