,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,drizzle,haze,heavy snow,proximity thunderstorm,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,0.83,1.15,1.04,0.81,0.89,0.73,0.82,0.54,1.19,0.77,0.43,0.76,0.69,1.02,1.0,1.09,1.21,1.15,1.28,0.85,0.92
sky is clear,1.28,0.78,1.28,0.87,0.68,2.19,0.7,1.86,,,,,,1.15,1.04,1.1,0.82,0.61,0.96,1.11,0.86
mist,1.24,0.73,0.75,0.92,1.35,0.72,1.14,0.73,0.56,0.57,0.74,0.53,0.58,1.17,1.28,0.96,1.07,,1.13,1.28,1.14
broken clouds,0.9,0.94,0.99,0.75,0.97,1.03,0.72,2.29,1.2,1.44,0.65,0.88,,1.27,1.15,0.98,0.73,0.74,1.17,1.06,0.98
few clouds,1.07,0.89,1.01,0.82,0.73,,0.67,,,,,,,1.01,1.11,1.08,0.79,1.28,1.27,1.08,0.99
light rain,1.84,1.51,0.85,1.13,,0.73,,0.67,0.58,0.62,3.13,0.38,0.58,1.39,1.29,1.4,,,1.28,1.67,1.4
scattered clouds,1.22,1.1,1.1,0.81,0.7,,0.72,0.88,1.13,,0.85,0.68,,1.24,1.02,0.9,0.91,0.95,1.31,0.96,0.92
light intensity drizzle,1.81,1.55,0.86,1.03,,0.78,1.47,0.68,0.6,0.56,1.03,,0.61,1.27,1.27,1.93,,,1.42,1.6,1.37
moderate rain,2.03,,0.96,1.46,,0.83,1.42,0.98,0.75,1.08,1.25,0.4,0.59,1.84,1.36,1.64,,,1.41,2.02,1.72
drizzle,2.11,,0.99,,,0.84,,0.79,0.59,0.69,0.98,,,1.47,1.31,1.89,,,1.65,1.79,1.52
haze,3.05,,0.95,1.09,,0.78,1.22,2.83,0.87,0.67,0.59,,0.68,1.99,1.66,1.19,1.44,,1.87,1.12,1.24
fog,,,0.97,1.07,,2.43,,1.88,1.05,,0.66,,,1.29,,1.31,,,1.26,1.59,1.5
heavy snow,0.86,,1.23,1.58,,2.06,1.34,,1.13,,,0.53,,3.03,1.37,,,,1.47,,2.24
proximity thunderstorm,3.22,,1.21,,,1.05,,1.3,0.77,,,,0.49,,,1.23,,,1.36,,1.93
heavy intensity rain,1.79,,1.24,,,1.3,,,0.75,,,,,3.33,1.31,,,,1.16,,2.4
thunderstorm with light rain,,,1.44,,,1.18,,1.03,,,,,0.55,,,1.54,,,2.09,,
snow,,,1.44,,,1.18,,,0.87,,,,,,1.85,,,,,1.81,1.7
heavy intensity drizzle,,,1.44,,,,,,,,0.82,,,2.0,1.85,,,,,,1.7
proximity shower rain,,,,1.38,,,,,,,,,,,,1.54,,,2.09,,
proximity thunderstorm with rain,,,1.44,,,1.18,,,0.87,,,,,,1.85,,,,,,
temp_4,1.0,0.85,0.72,0.74,0.82,0.61,0.65,0.57,0.58,0.5,0.68,,,0.88,0.97,1.34,1.22,0.71,1.06,0.9,0.83
temp_3,0.85,0.87,0.84,0.75,0.73,0.88,0.7,1.2,0.66,1.11,0.84,0.44,,1.36,0.86,0.75,0.73,,1.01,1.09,0.99
temp_5,1.03,1.17,0.81,0.86,1.12,0.75,1.53,0.71,0.58,0.58,0.64,,0.46,1.15,5.2,0.76,,0.9,1.17,0.98,0.96
temp_2,1.22,0.91,2.05,0.94,0.7,,0.69,,,,1.13,,,1.1,1.05,,0.69,,0.8,1.56,1.2
temp_6,1.57,0.93,,1.3,0.69,,0.74,,,,,,,1.67,,0.8,,0.6,1.51,,0.53
temp_7,,2.91,,,0.72,,,,,,,,,,,,,0.78,1.72,,
traffic_volume_2,0.8,0.89,0.84,0.74,0.7,0.75,0.65,0.74,0.57,0.74,0.7,0.47,0.6,0.93,1.01,0.75,1.45,0.48,0.9,1.6,0.91
traffic_volume_0,1.17,0.72,0.7,0.75,0.71,0.65,0.67,0.61,0.71,0.57,0.71,,,1.17,0.93,1.32,0.56,2.61,0.9,0.85,0.89
traffic_volume_1,1.03,1.01,0.8,0.78,0.87,0.72,0.8,0.68,0.56,0.59,0.75,2.0,0.82,1.03,0.9,1.21,0.61,1.31,1.65,0.75,0.85
