,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,haze,drizzle,heavy snow,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.03,0.99,0.86,0.97,0.93,0.74,0.95,0.59,0.76,0.56,0.72,0.84,1.12,1.13,1.17,0.73,1.1,1.17,1.07,1.03
sky is clear,0.92,0.95,0.86,0.89,0.84,0.83,0.77,0.69,,,,,1.1,1.1,0.83,1.05,0.61,1.14,1.05,1.01
mist,1.26,1.19,1.01,1.14,0.9,0.97,0.76,0.95,0.73,1.21,0.64,,1.23,1.09,1.11,,,1.31,1.28,1.15
broken clouds,1.08,1.14,0.91,1.0,1.04,0.79,0.95,0.91,,,,,1.28,1.2,1.01,0.83,0.7,1.27,1.16,1.12
few clouds,1.2,1.05,1.48,1.08,0.98,0.99,0.86,,,,,,1.28,1.21,0.98,0.99,0.91,1.31,1.2,1.16
light rain,1.52,,1.13,1.29,1.12,1.03,,0.94,0.81,,0.85,,1.52,1.23,2.08,,,1.51,1.46,1.29
scattered clouds,1.25,1.21,1.13,1.06,0.98,0.94,0.99,1.05,,,,,1.39,1.24,0.91,1.03,,1.39,1.28,1.24
light intensity drizzle,1.8,,1.23,1.79,,1.09,,1.02,0.86,,0.82,,1.57,1.25,,,,1.65,1.54,1.39
moderate rain,1.79,,1.34,,,1.28,,1.4,1.05,,1.24,,2.08,,,,,1.78,1.76,1.62
haze,,,1.35,,,,,,,1.0,,,1.76,,,,,1.88,1.59,1.53
drizzle,,,1.47,,,1.31,,1.3,1.04,,1.07,,1.9,,,,,2.01,2.09,1.62
fog,1.67,,1.47,,,,,,,,,,,,,,,1.82,1.81,1.68
heavy snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,,,,,,,
temp_4,0.97,0.88,0.8,0.85,0.74,0.74,0.68,0.68,0.56,0.65,0.58,,1.0,0.85,1.04,0.82,0.79,1.06,0.96,0.91
temp_3,0.99,0.89,0.94,0.81,0.75,0.81,0.76,1.06,0.81,0.83,0.9,0.61,1.15,1.03,1.17,0.72,,1.11,1.05,0.99
temp_5,1.15,1.15,0.89,1.18,1.25,0.8,1.21,0.69,0.69,0.77,,,1.19,1.6,0.98,,0.7,1.17,1.18,1.08
temp_2,1.23,1.2,,1.17,1.06,,0.94,0.78,,0.62,,,1.38,1.28,,1.0,,1.38,1.27,1.21
temp_6,,1.19,,1.06,1.07,,,,,,,,1.37,,1.17,,0.89,1.4,1.29,1.24
temp_7,,,,,,,,,,,,,,,,,,,,
traffic_volume_2,0.91,0.85,0.85,0.77,0.75,0.78,0.73,0.76,0.63,0.68,0.64,0.51,1.03,0.94,0.92,0.76,0.65,1.01,0.96,0.91
traffic_volume_0,1.04,0.91,0.84,0.93,0.82,0.75,0.77,0.65,0.59,0.67,0.58,0.51,1.07,1.0,0.95,0.77,0.63,1.09,1.01,0.96
traffic_volume_1,1.06,1.02,0.84,1.0,0.86,0.74,0.78,0.76,0.67,0.73,0.64,0.59,1.09,1.01,1.01,0.77,0.68,1.19,1.08,1.0
