,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,drizzle,haze,heavy snow,proximity thunderstorm,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.01,1.02,0.95,0.93,0.82,0.74,0.79,0.52,0.98,0.63,0.33,0.64,0.52,1.08,1.09,1.02,0.92,0.64,1.4,0.9,1.05
sky is clear,1.18,1.0,0.87,0.91,0.81,1.42,0.74,1.04,,,,,,1.28,1.14,1.06,0.87,0.63,1.1,1.24,1.01
mist,1.29,0.5,1.01,0.76,1.0,0.9,0.95,0.91,0.7,0.69,0.85,0.45,0.57,1.35,1.23,1.04,0.62,,1.28,1.45,1.35
broken clouds,1.06,1.03,0.8,0.98,1.09,0.96,0.9,1.78,0.86,0.94,0.52,0.56,,1.45,1.31,0.99,0.73,0.66,1.38,1.19,1.18
few clouds,1.14,1.13,0.77,1.0,0.99,,0.84,,,,,,,1.15,1.31,1.09,0.92,1.22,1.53,1.28,1.22
light rain,2.08,1.22,1.17,1.13,,1.04,,0.96,0.8,0.89,2.91,0.37,0.56,1.74,1.38,1.43,,,1.53,1.98,1.71
scattered clouds,1.4,1.36,1.02,1.06,0.89,,0.99,0.64,0.8,,0.76,0.64,,1.5,1.24,0.9,1.02,1.01,1.63,1.12,1.15
light intensity drizzle,2.29,1.36,1.24,1.02,,1.17,1.1,1.04,0.86,0.81,1.18,,0.62,1.7,1.24,2.02,,,1.76,2.02,1.76
moderate rain,2.45,,1.5,1.42,,1.33,1.25,1.53,1.17,1.64,1.5,0.51,0.7,2.43,1.69,1.96,,,1.96,2.56,2.3
drizzle,2.61,,1.59,,,1.41,,1.32,0.96,1.14,1.0,,,2.13,1.46,2.0,,,2.06,2.44,2.16
haze,3.48,,1.51,1.06,,1.05,1.32,3.38,1.25,0.82,1.0,,0.91,2.36,2.13,1.63,1.35,,2.48,1.47,1.76
fog,,,1.6,1.14,,2.85,,2.22,1.38,,0.87,,,1.83,,1.75,,,1.71,2.24,2.14
heavy snow,1.19,,1.98,1.77,,3.15,1.56,,1.9,,,1.0,,3.34,2.22,,,,2.3,,2.95
proximity thunderstorm,4.71,,2.09,,,1.8,,2.28,1.42,,,,1.0,,,2.2,,,2.16,,2.92
heavy intensity rain,2.64,,2.35,,,2.47,,,1.6,,,,,5.24,2.01,,,,1.8,,3.78
thunderstorm with light rain,,,3.01,,,2.58,,2.32,,,,,1.44,,,3.16,,,4.0,,
snow,,,3.01,,,2.58,,,2.04,,,,,,3.65,,,,,3.58,3.42
heavy intensity drizzle,,,3.01,,,,,,,,1.94,,,3.88,3.65,,,,,,3.42
proximity shower rain,,,,2.91,,,,,,,,,,,,3.16,,,4.0,,
proximity thunderstorm with rain,,,3.01,,,2.58,,,2.04,,,,,,3.65,,,,,,
temp_4,1.02,0.81,0.76,0.74,0.75,0.65,0.61,0.62,0.56,0.53,0.52,,,1.0,0.85,1.07,0.82,0.45,1.1,0.92,0.9
temp_3,0.92,0.84,0.82,0.78,0.73,0.87,0.7,1.02,0.64,0.96,0.72,0.42,,1.28,1.01,0.35,0.65,,1.08,1.15,1.1
temp_5,1.14,1.1,0.94,0.91,1.03,0.85,1.35,0.77,0.66,0.5,0.72,,0.53,1.14,2.82,0.99,,0.84,1.37,1.03,1.07
temp_2,1.25,1.21,1.82,1.18,0.95,,0.87,,,,1.05,,,1.07,1.3,,1.0,,0.91,1.96,1.5
temp_6,1.56,1.38,,1.7,0.97,,1.01,,,,,,,1.89,,1.12,,0.98,2.07,,0.66
temp_7,,4.62,,,1.16,,,,,,,,,,,,,1.59,2.93,,
traffic_volume_2,0.8,0.86,0.83,0.74,0.66,0.75,0.63,0.71,0.57,0.65,0.57,0.39,0.48,0.95,0.98,0.71,1.13,0.38,0.99,1.4,0.91
traffic_volume_0,1.2,0.71,0.73,0.79,0.73,0.67,0.65,0.62,0.66,0.58,0.64,,,1.23,0.95,1.16,0.52,1.66,0.86,1.0,1.03
traffic_volume_1,1.12,0.99,0.85,0.82,0.86,0.76,0.79,0.72,0.54,0.58,0.7,1.27,0.59,1.12,0.95,1.09,0.51,1.02,1.67,0.79,1.0
