,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,drizzle,haze,fog,heavy snow,proximity thunderstorm,heavy intensity rain,heavy intensity drizzle,proximity thunderstorm with rain,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.46,1.22,0.98,1.58,1.47,1.12,1.62,0.82,1.17,0.95,0.71,0.85,1.26,0.65,1.72,0.91,1.6,1.18,1.26,1.07,0.91,0.9,1.33,1.41,1.49
sky is clear,1.11,1.49,0.63,1.3,1.41,0.81,1.31,0.6,0.38,,0.11,,,,,,,1.28,1.2,0.91,1.46,1.06,1.3,1.39,1.39
mist,1.59,0.89,1.67,1.06,0.7,1.77,0.63,1.96,1.8,1.55,2.38,1.54,0.49,2.18,1.23,1.66,1.37,1.3,0.81,1.27,0.22,0.41,1.43,1.68,1.62
broken clouds,1.37,1.51,0.78,1.68,1.62,1.07,1.7,1.16,0.5,0.94,0.66,1.18,0.68,,,,,1.38,1.3,1.04,1.1,0.94,1.39,1.51,1.54
few clouds,1.46,1.52,1.01,1.67,1.72,0.88,1.55,0.4,0.68,,,0.91,,,,,,1.36,1.36,0.89,1.43,1.16,1.41,1.52,1.57
light rain,2.06,1.21,1.74,1.51,0.7,1.95,0.63,2.0,1.97,2.27,2.48,1.1,0.63,0.89,1.22,,1.42,1.57,0.96,1.83,,0.43,1.57,1.78,1.77
scattered clouds,1.42,1.52,1.06,1.65,1.43,1.03,1.86,1.38,0.74,,1.85,0.66,1.09,,,,,1.49,1.32,0.82,1.48,1.33,1.44,1.54,1.65
light intensity drizzle,2.2,1.38,1.8,1.85,1.6,2.01,0.64,2.14,1.94,1.98,2.07,1.49,,1.28,,,,1.6,0.62,2.22,0.34,,1.65,1.88,1.88
moderate rain,2.24,,1.99,0.9,0.44,2.35,0.52,2.68,2.61,3.09,1.8,1.77,0.8,1.7,2.71,,2.79,1.89,1.09,2.36,,,1.74,2.15,2.02
drizzle,2.58,,2.11,2.01,,2.35,,2.64,2.4,2.77,2.31,2.43,,,,,,1.82,0.7,1.96,,,1.89,2.29,1.92
haze,3.47,3.09,1.95,1.4,,1.66,0.95,2.55,1.87,0.88,2.58,2.1,,4.12,,2.01,,1.48,1.34,1.48,1.15,,1.85,1.89,1.92
fog,1.43,,2.14,0.77,0.72,3.62,0.7,3.91,2.13,0.83,3.68,2.88,,,,,,1.41,0.53,1.03,,,1.74,2.09,2.0
heavy snow,2.06,,2.33,0.83,,3.2,1.38,,3.45,,,,2.95,,,,,3.03,1.95,,1.03,,1.82,2.05,2.12
proximity thunderstorm,3.55,,2.04,,,1.98,,2.45,3.36,,2.98,,,3.7,,,,,,2.29,,,1.94,3.4,2.86
heavy intensity rain,3.2,,2.51,1.65,,2.8,,,3.31,,,,,,2.99,,3.57,2.9,1.01,,,,2.04,3.07,2.58
thunderstorm with light rain,,,2.81,,,3.13,,3.38,3.7,,3.84,,,4.77,,,,,,2.7,,,2.28,,
snow,2.58,,2.81,,,3.13,,,3.7,3.84,,,,,,,,2.34,2.44,,,,2.28,2.47,2.56
heavy intensity drizzle,,,2.81,,,,,,,,3.84,,,,,,,2.34,2.44,,,,,2.47,2.56
proximity shower rain,,,,2.87,,3.13,,,,,,,,,,,,2.34,,2.7,,,2.28,2.47,2.56
proximity thunderstorm with rain,,,2.81,,,3.13,,,3.7,,,,,,5.18,,,,2.44,,,,2.28,,
temp_4,1.38,1.13,1.15,1.33,1.09,1.3,1.06,1.42,1.12,1.26,0.96,1.0,0.33,,0.52,0.49,,1.24,0.8,1.12,0.96,0.95,1.27,1.34,1.38
temp_3,1.42,1.17,1.1,1.26,1.16,1.23,1.23,1.37,1.38,1.6,1.27,0.39,1.33,,2.48,1.81,2.87,1.21,1.36,0.62,0.94,0.25,1.29,1.44,1.48
temp_5,1.44,1.13,1.3,1.43,1.5,1.39,1.74,1.23,1.54,0.43,1.63,1.58,,2.19,,,,1.14,0.94,1.53,,0.85,1.31,1.56,1.54
temp_2,1.42,1.67,0.96,1.91,1.82,0.78,1.85,,,,0.91,,0.25,,,,,1.45,1.48,,1.91,,1.48,1.58,1.52
temp_6,0.83,1.61,1.02,1.15,1.43,1.06,1.18,,,,,,,,,,,1.38,0.85,1.55,,2.03,1.34,1.41,1.51
temp_7,,2.35,,,1.74,,,,,,,,,,,,,2.03,,2.35,,3.08,1.98,2.15,2.22
traffic_volume_2,1.28,1.12,1.13,1.17,1.07,1.29,1.19,1.31,1.22,1.21,1.21,0.96,0.67,1.03,2.16,0.91,,1.17,1.01,1.07,0.93,0.8,1.21,1.38,1.39
traffic_volume_0,1.43,1.11,1.08,1.44,1.27,1.19,1.23,1.1,1.17,1.09,1.12,1.02,0.84,0.79,0.26,,0.15,1.24,1.08,0.98,0.97,0.73,1.3,1.35,1.4
traffic_volume_1,1.42,1.33,1.12,1.48,1.37,1.18,1.27,1.31,1.2,1.18,1.04,0.87,1.02,0.83,0.79,0.46,0.62,1.22,1.08,0.96,0.95,0.77,1.34,1.45,1.46
