,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,scattered clouds_1,scattered clouds_0,few clouds_0,few clouds_2,scattered clouds_2,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,1.58,0.86,1.29,1.67,1.2,0.96,1.9,1.79,1.04,1.27,1.19,2.22,1.85,2.05,0.9,1.26,1.28,0.95,1.79,1.15,1.26,1.42,1.48
mist_0,,2.06,,1.8,2.15,1.92,,2.35,2.51,,,,,,,1.52,0.98,1.61,,,1.47,1.71,1.71
overcast clouds_2,1.88,0.9,2.04,2.51,0.99,1.94,2.16,2.1,,1.92,1.96,2.96,3.49,,,1.31,1.45,1.42,1.47,,1.42,1.59,1.67
broken clouds_0,1.65,0.98,0.99,2.06,1.45,2.04,1.43,2.11,1.42,1.81,1.94,2.2,2.1,,,1.42,1.3,1.24,1.21,1.31,1.41,1.58,1.64
light rain_0,,2.03,,1.86,2.21,2.15,,2.42,2.32,,,,,,,1.57,1.03,2.0,,,1.51,1.75,1.75
overcast clouds_1,1.42,2.06,1.06,1.86,2.04,2.38,1.33,1.93,2.2,,,1.82,2.12,,,1.59,1.62,1.55,,,1.52,1.71,1.8
few clouds_1,1.56,,0.95,2.07,,1.87,2.14,2.33,,,,2.27,2.02,,2.25,1.42,1.34,1.02,1.51,,1.4,1.58,1.66
overcast clouds_0,1.63,1.55,1.06,2.0,1.69,1.62,1.7,2.17,1.55,1.75,,2.45,2.22,,,1.48,1.2,1.41,,,1.44,1.61,1.69
light intensity drizzle_0,,2.08,,2.41,2.22,,,2.57,2.46,,,,,,,1.6,0.89,,,,1.57,1.78,1.8
broken clouds_1,1.99,,1.35,2.29,,,,1.8,,2.62,2.01,,,,,1.67,1.66,,1.55,,1.52,1.7,1.79
overcast clouds_3,1.22,,,,1.68,,1.71,,,,,2.1,,,,,1.73,,1.69,,1.57,1.77,1.86
moderate rain_0,,2.26,,,2.52,,,,3.02,,,,,,,1.82,,,,,1.61,1.9,1.93
scattered clouds_1,1.98,,,2.09,,,,2.12,,,2.69,,2.53,,,1.55,1.36,,,,1.55,1.74,1.83
mist_3,,2.44,,,,,,,,,,,,,,1.56,,,,,1.57,1.9,1.86
drizzle_0,,2.42,,,2.58,,,,2.96,,,,,,,1.74,,,,,1.72,2.08,1.92
haze_0,,2.2,,,,,,,,,,,,,,1.39,,,,,1.65,1.77,1.86
scattered clouds_0,1.92,,,2.33,,,,2.66,,,,,,,,1.53,1.53,,,,1.51,1.7,1.79
few clouds_0,1.94,,,2.3,,,,,,,,,,,,1.41,1.48,,,,1.61,1.78,1.87
few clouds_2,1.95,,,2.74,,,,,,,,,,3.15,,1.64,1.85,,,,1.58,1.78,1.87
scattered clouds_2,,,,,,,,,,,,,,,,1.67,,,,,1.61,1.81,1.91
mist_1,,2.13,,,2.28,,,,,,,,,,,,,,,,1.65,,
fog_0,,,,,,,,,,,,,,,,,,,,,1.63,,
mist_4,,,,,,,,,,,,,,,,,,,,,1.63,1.83,1.93
scattered clouds_3,,,,,,,,,,,,,,,,,,,,,,,
broken clouds_2,,,,,,,,,,,,,,,,,,,,,,,
heavy snow_0,,,,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm_0,,,,,,,,,,,,,,,,,,,,,,,
heavy intensity rain_0,,,,,,,,,,,,,,,,,,,,,,,
heavy snow_1,,,,,,,,,,,,,,,,,,,,,,,
fog_2,,,,,,,,,,,,,,,,,,,,,,,
snow_0,,,,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain_0,,,,,,,,,,,,,,,,,,,,,,,
proximity shower rain_0,,,,,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle_0,,,,,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain_0,,,,,,,,,,,,,,,,,,,,,,,
temp_4,1.31,1.4,1.61,1.79,1.58,1.62,1.25,1.81,1.74,0.97,1.51,1.39,1.66,0.94,1.46,1.3,0.92,1.25,1.17,1.19,1.29,1.44,1.49
temp_3,1.38,1.46,1.11,1.53,1.51,1.59,1.53,1.72,1.8,1.38,1.68,1.78,1.82,0.87,1.2,1.27,1.44,0.85,1.29,,1.32,1.5,1.56
temp_5,1.42,1.47,1.52,1.93,1.69,1.37,1.6,2.29,1.55,1.56,,2.89,3.02,,1.06,1.26,0.99,1.67,,1.33,1.31,1.56,1.58
temp_2,1.83,,1.47,2.31,,1.62,2.19,2.57,1.1,2.13,1.44,3.14,2.37,2.29,1.55,1.43,1.58,,2.17,,1.43,1.61,1.66
temp_6,1.65,,,1.35,,,1.63,,,,,,,,,1.31,,1.63,,2.36,1.27,1.43,1.5
temp_7,,,,,,,,,,,,,,,,,,,,,,,
traffic_volume_2,1.35,1.39,1.32,1.6,1.59,1.35,1.39,1.9,1.7,1.2,1.35,1.88,1.74,1.25,1.29,1.28,1.11,1.26,1.17,1.12,1.25,1.44,1.49
traffic_volume_0,1.33,1.34,1.37,1.76,1.49,1.65,1.54,1.89,1.44,1.3,1.48,1.82,1.86,1.1,1.07,1.28,1.17,1.09,1.25,0.9,1.29,1.46,1.51
traffic_volume_1,1.46,1.36,1.38,1.88,1.44,1.7,1.48,1.75,1.61,1.35,1.64,1.69,2.08,0.92,1.24,1.25,1.16,1.06,1.2,0.96,1.36,1.51,1.55
